record_type,source_file,record_id,study_or_system,doi_or_sources,route_or_context_axis,contrast_axis,level_1,state_1,level_2,state_2,interpretation,counted_in_route_N
sign_switch,SIGN_SWITCH_LEDGER_V1.csv,SS001,Galen_et_al_2011_Polemonium,10.1086/657993,D_to_pollination,trait_expression_or_dose,moderate_2PE,no_detected_pollination_cost,high_2PE,negative_pollinator_visitation_and_pollination,Pollinator interference emerges only at the high floral 2-phenylethanol level while antagonist deterrence is retained; do not average moderate and high expression into one D effect.,not_added_as_separate_route_N
sign_switch,SIGN_SWITCH_LEDGER_V1.csv,SS002,Jones_Agrawal_2016_Asclepias,10.1002/ecy.1483,D_to_pollination,exposure_duration,single_foraging_bout,no_detected_avoidance_at_highest_natural_concentration,multi_day_colony_foraging,negative_deterrence_emerges,The same cardenolide treatment has different pollinator expression over exposure duration; time points are dependent effects.,not_added_as_separate_route_N
sign_switch,SIGN_SWITCH_LEDGER_V1.csv,SS003,Kessler_Baldwin_2007_Nicotiana,10.1111/j.1365-313X.2006.02995.x,D_to_pollination,outcome_construct,visit_number,positive_more_visits,residence_time_or_nectar_removed,negative_less_time_or_removal,A generic pollinator-response endpoint would mix opposite signs from the same nectar-repellent experiment.,not_added_as_separate_route_N
sign_switch,SIGN_SWITCH_LEDGER_V1.csv,SS004,Gegear_Manson_Thomson_2007,10.1111/j.1461-0248.2007.01027.x,D_to_pollination,reward_context,equal_sugar_higher_gelsemine,negative_preference,high_gelsemine_with_higher_sugar,near_zero_preference_difference,Reward compensation removes the preference difference caused by defensive nectar chemistry; assays are dependent and remain one cluster.,not_added_as_separate_route_N
sign_switch,SIGN_SWITCH_LEDGER_V1.csv,SS005,Villalona_Ezray_et_al_2020,10.1007/s00442-020-04701-0,D_to_pollination,dose_naturalness,0_to_100_ng_per_uL,natural_range_null_or_nonmonotonic_species_specific,1000_ng_per_uL,strong_negative_consumption_with_toxicity_context,Strong negative use appears at the elevated dose; natural-range responses are absent or non-monotonic and differ among bumblebee species.,not_added_as_separate_route_N
sign_switch,SIGN_SWITCH_LEDGER_V1.csv,SS006,Gorden_Adler_2018_Impatiens_capensis,10.1002/ajb2.1182,direct_AxD,outcome_scale,CH_fruits_per_plant_per_day,negative_point_estimate,seeds_per_CH_fruit,positive_point_estimate,"The first direct observational A x D cluster changes point direction across reproductive components, but neither component resolves a non-zero sign; classify as outcome-scale-dependent unresolved rather than a confirmed biological reversal.",not_added_as_separate_route_N
sign_switch,SIGN_SWITCH_LEDGER_V1.csv,SS007,Andrews_Theis_Adler_2007,10.1007/s10886-007-9337-7,A_to_pollination_and_A_to_antagonism,compound_identity,indole,herbivore_positive_pollinator_not_detected,E_cinnamaldehyde,pollinator_positive_herbivore_not_detected,"Different components of one floral scent bouquet map onto different consumers; 1,2,4-trimethoxybenzene attracts both. This is mechanism partitioning across A compounds rather than one compound changing sign.",not_added_as_separate_route_N
sign_switch,SIGN_SWITCH_LEDGER_V1.csv,SS008,Adler_Irwin_2005_Gelsemium,10.1890/05-0118,D_to_antagonism,decision_stage_or_outcome_construct,total_robber_plant_visits,no_detected_treatment_effect,within_plant_proportion_flowers_robbed_or_probed,negative_reduction_after_entry,"Nectar gelsemine does not reduce initial Xylocopa plant visits, but after entry high gelsemine reduces within-plant exploitation; 2002 supra-natural treatment reduced the proportion of flowers probed by 22%, while the natural-range 2004 effect was weaker/marginal.",not_added_as_separate_route_N
sign_switch,SIGN_SWITCH_LEDGER_V1.csv,SS009,Kessler_et_al_2015_Nicotiana,10.7554/eLife.07641,A_to_pollination,pollinator_identity,Manduca_sexta,scent_silencing_strongly_reduces_pollinator_mediated_seed_set,Hyles_lineata,scent_silencing_alone_no_detected_seed_set_reduction,CHAL scent-silenced plants produced 17.4% of EV seed output under single M. sexta pollination (p<0.001) but 96.6% under H. lineata pollination (p=0.853). Floral scent value is therefore strongly consumer-specific within one 2x2 plant panel.,not_added_as_separate_route_N
sign_switch,SIGN_SWITCH_LEDGER_V1.csv,SS010,Barlow_et_al_2017_Aconitum,10.1016/j.cub.2017.07.012,D_to_pollination_and_D_to_antagonism,consumer_role_x_dose_threshold,Bombus_terrestris_nectar_robber,20_ppm_cells_show_87_to_89_percent_lower_mean_consumption_than_sucrose,Bombus_hortorum_pollinator,source_reports_sharp_visitation_decline_around_200_to_380_ppm,"The same nectar-alkaloid D axis affects robbers at substantially lower concentrations than the sharp pollinator-visitation decline: deposited bioassays show mean consumption already reduced by 89.3% in A. lycoctonum and 87.4% in A. napellus at 20 ppm, while the source places pronounced pollinator interference around 200–380 ppm. Field deposited visitation data also retain a negative alkaloid association, but its exact fitted statistic is held behind a source/subset reconciliation flag.",not_added_as_separate_route_N
