source_file,batch_id,source,doi_or_locator,plant_system,target_or_pattern_axis,decision,new_admissible_pattern_class,reason,next_action
FIXED_258_PRIORITY_RESCREEN_BATCH_1_V1.csv,B1,Sun_Huang_2015_Pedicularis_rex,10.1093/aobpla/plv019,Pedicularis rex,direct D manipulation; seed-predator protection + pollinator null + nectar-robber null; consumer/attack-mode switch,PROMOTE_SOURCE_LEDGER,not_explicit,direct D manipulation; seed-predator protection + pollinator null + nectar-robber null; consumer/attack-mode switch,added MPX001-MPX003 and SSX001-SSX002
FIXED_258_PRIORITY_RESCREEN_BATCH_1_V1.csv,B1,Perez_Barrales_2013_Dalechampia,10.1111/j.1600-0706.2013.20780.x,Dalechampia scandens,visual A tracked by bees and seed predators; quantitative shared-tracking replication across signal modality,PROMOTE_SOURCE_LEDGER,not_explicit,visual A tracked by bees and seed predators; quantitative shared-tracking replication across signal modality,added MPX004-MPX005 from primary article; do not depend on unverified later package relation
FIXED_258_PRIORITY_RESCREEN_BATCH_1_V1.csv,B1,Ye_et_al_2017_Iris_bulleyana,10.1111/plb.12581,Iris bulleyana,"florivory changes legitimate visitation, robber behavior, and seed production; same Bombus species can switch pollinator/robber role",PROMOTE_ENVIRONMENTAL_CONTEXT_ONLY,not_explicit,"florivory changes legitimate visitation, robber behavior, and seed production; same Bombus species can switch pollinator/robber role",audit as H-mediated pollinator/reproduction coupling; do not relabel florivory treatment as D
FIXED_258_PRIORITY_RESCREEN_BATCH_1_V1.csv,B1,Zhu_et_al_2017_Iris_bulleyana,10.1098/rsbl.2017.0271,Iris bulleyana,nectary protection redirects herbivore damage to tepals and lowers pollinator visitation; Dryad dataset public,PROMOTE_ENVIRONMENTAL_CONTEXT_ONLY,not_explicit,nectary protection redirects herbivore damage to tepals and lowers pollinator visitation; Dryad dataset public,audit linked alternative-resource/tissue-allocation Pattern; keep separate from focal D
FIXED_258_PRIORITY_RESCREEN_BATCH_1_V1.csv,B1,Eilers_et_al_2020_Tanacetum,10.3389/fpls.2020.611877,Tanacetum vulgare,floral traits/volatiles linked to Olibrus response but no pollination channel and no independently established D,HOLD_DESCRIPTIVE,not_explicit,floral traits/volatiles linked to Olibrus response but no pollination channel and no independently established D,do not inflate A_to_antagonism count unless source yields a distinct quantitative/context cell
FIXED_258_PRIORITY_RESCREEN_BATCH_1_V1.csv,B1,Sun_Armbruster_Huang_2016_Pedicularis_rex,10.1093/aob/mcw097,Pedicularis rex,corolla exsertion predicts pollen receipt and seed predation across populations; A/protection geometry conflated,LINK_CONTEXT_NOT_NEW_D,not_explicit,corolla exsertion predicts pollen receipt and seed predation across populations; A/protection geometry conflated,use to strengthen geographic/context narrative after panel-overlap adjudication; do not create direct A x D
FIXED_258_PRIORITY_RESCREEN_BATCH_1_V1.csv,B1,Castilleja_linariaefolia_2004,10.1111/j.0030-1299.2004.12641.x,Castilleja linariaefolia,potential conflicting pollinator/seed-predator selection but no verified public trait-level source,HOLD_ACCESS_LIMITED,not_explicit,potential conflicting pollinator/seed-predator selection but no verified public trait-level source,retry only if a verified public full text/data route appears
FIXED_258_PRIORITY_RESCREEN_BATCH_1_V1.csv,B1,Campbell_1991_Ipomopsis_aggregata,10.1086/285190,Ipomopsis aggregata,sequential fitness candidate but floral antagonist and separate D remain unresolved,HOLD_ACCESS_LIMITED,not_explicit,sequential fitness candidate but floral antagonist and separate D remain unresolved,do not infer from title/metadata
PRIORITY_RESCREEN_BATCH_2_V1.csv,B2,McCall_et_al_2013_Raphanus_sativus,10.1007/s00442-012-2480-z,Raphanus sativus,visual_A_to_antagonism,PROMOTE_SOURCE_LEDGER,not_explicit,8 populations/4 years plus choice/no-choice assays give an independent visual color-florivory Pattern outside scent systems,already added as MPX006; retain pollinator-color literature only as A-axis justification
PRIORITY_RESCREEN_BATCH_2_V1.csv,B2,Rios_et_al_2017_Oenothera_Calylophus,10.1093/aobpla/plw088,Oenothera sect. Calylophus,pollination_syndrome_morphology_x_florivory,PROMOTE_TRAIT_CLASS_CONTEXT_ONLY,not_explicit,long-tubed hawkmoth flowers experience more Mompha florivory than smaller bee flowers; useful trait-class/pollination-syndrome context but not a clean within-study A-to-pollination path,audit primary source for whether a declared attraction axis can be separated from syndrome composite before any route-ledger promotion
PRIORITY_RESCREEN_BATCH_2_V1.csv,B2,Anemone_coronaria_2025,10.1111/plb.13744,Anemone coronaria,color_x_florivory_context,HOLD_SECONDARY_CONTEXT,not_explicit,red/white/purple morphs differ in damage but all morphs show similar fitness; useful color-context replication but currently lower information than Raphanus,retain for later batch if color-context class remains sparse after independent source additions
PRIORITY_RESCREEN_BATCH_2_V1.csv,B2,Rusman_et_al_2019_Brassica_nigra,10.1111/pce.13520,Brassica nigra,herbivore_species_specific_floral_plasticity,MODULE_OVERLAP_CONTEXT_ONLY,not_explicit,different herbivores induce distinct floral morphology/color/volatile/nectar changes and pollinator responses; likely contributes to Haas herbivory universe,use as mechanistic example inside Haas context module only after overlap verification; do not add route N by default
PRIORITY_RESCREEN_BATCH_2_V1.csv,B2,Abronia_fragrans_2026,10.1002/ajb2.70142,Abronia fragrans,color_environment_florivory_context,HOLD_RECENT_CONTEXT,not_explicit,site explains much more florivory than pigment/color; useful environment-over-trait context but not a clean new focal route,retain as recent context candidate; do not promote solely for recency
