case_id,attraction,defence,assurance,pollinator_service,floral_damage_pressure,modal_sign,non_neutral_evaluation_count,total_evaluation_count,modal_sign_agreement,full_tested_set_class,functional_form_unanimous_scenario_count,parameter_scenario_count
case_0001,0.2,0.2,0.0,0.2,0.2,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0002,0.2,0.2,0.0,0.2,0.5,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0003,0.2,0.2,0.0,0.2,0.8,complementary,16,16,0.875,mixed_or_sensitive,3,4
case_0004,0.2,0.2,0.0,0.5,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0005,0.2,0.2,0.0,0.5,0.5,complementary,16,16,0.6875,mixed_or_sensitive,3,4
case_0006,0.2,0.2,0.0,0.5,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0007,0.2,0.2,0.0,0.8,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0008,0.2,0.2,0.0,0.8,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0009,0.2,0.2,0.0,0.8,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0010,0.2,0.2,0.5,0.2,0.2,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0011,0.2,0.2,0.5,0.2,0.5,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0012,0.2,0.2,0.5,0.2,0.8,complementary,16,16,0.875,mixed_or_sensitive,3,4
case_0013,0.2,0.2,0.5,0.5,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0014,0.2,0.2,0.5,0.5,0.5,complementary,16,16,0.6875,mixed_or_sensitive,3,4
case_0015,0.2,0.2,0.5,0.5,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0016,0.2,0.2,0.5,0.8,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0017,0.2,0.2,0.5,0.8,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0018,0.2,0.2,0.5,0.8,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0019,0.2,0.5,0.0,0.2,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0020,0.2,0.5,0.0,0.2,0.5,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0021,0.2,0.5,0.0,0.2,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0022,0.2,0.5,0.0,0.5,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0023,0.2,0.5,0.0,0.5,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0024,0.2,0.5,0.0,0.5,0.8,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0025,0.2,0.5,0.0,0.8,0.2,substitutable,16,16,0.875,mixed_or_sensitive,3,4
case_0026,0.2,0.5,0.0,0.8,0.5,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0027,0.2,0.5,0.0,0.8,0.8,mixed,16,16,0.5,mixed_or_sensitive,2,4
case_0028,0.2,0.5,0.5,0.2,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0029,0.2,0.5,0.5,0.2,0.5,complementary,16,16,0.75,mixed_or_sensitive,4,4
case_0030,0.2,0.5,0.5,0.2,0.8,complementary,16,16,0.8125,mixed_or_sensitive,3,4
case_0031,0.2,0.5,0.5,0.5,0.2,substitutable,16,16,0.75,mixed_or_sensitive,4,4
case_0032,0.2,0.5,0.5,0.5,0.5,mixed,16,16,0.5,mixed_or_sensitive,2,4
