priority_rank,priority_score,frame_id,doi,title,year,query_ids,route_signal_title_abstract,access_signal_title_abstract,quant_signal_title_abstract,explicit_secondary_title,fulltext_triage_lane,openalex_ids,review_state
1,13,bib_c33fd078b7d58985,10.3838/jjo.60.228,"Nectar robbing from Hibiscus flowers by White-eyes on an oceanic island, Chichi-jima, Bonin Islands",2011,Q4,YES,YES,YES,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W2313914762,UNRESOLVED_DIRECTION_BLIND
2,13,bib_a909070feb69926e,10.4236/ajps.2015.65079,"Geographic Variation in Flower Size and Flower-Visitor Composition of Two Bumblebee-Pollinated, Spring-Flowering Herbs, Lamium album L. var. barbatum (Lamiaceae) and Meehania urticifolia (Lamiaceae)",2015,Q1|Q3|Q4|Q6|Q7,YES,YES,YES,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W1991428849,UNRESOLVED_DIRECTION_BLIND
3,12,bib_bb0187a90bd94687,10.55905/rdelosv16.n42-026,Reproductive success and production of nectar in Mandevilla funiformis (Apocynaceae): accessibility to visitors and effect of floral stage,2023,Q5|Q6|Q7,YES,YES,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W4367323150,UNRESOLVED_DIRECTION_BLIND
4,12,bib_b46c4b7fbdf0146a,10.1111/aec.13591,Long corolla flowers in Tropical Andes favour nectar robbing by the Black Metaltail hummingbird: A study using citizen science and field observations,2024,Q1|Q2|Q3|Q4|Q6,YES,YES,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W4402499914,UNRESOLVED_DIRECTION_BLIND
5,12,bib_861be4d7a3fde84d,10.5194/we-26-83-2026,Blueberry floral morphology influences pollinator visitation and behavioural patterns,2026,Q1|Q2|Q3|Q4|Q5|Q6|Q7,YES,YES,NO,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W7164409219,UNRESOLVED_DIRECTION_BLIND
6,12,bib_3bb123dbab5986d5,10.6084/m9.figshare.31986552,Nectar robber-mediated selection on calyx length in Salvia castanea,2026,Q3,YES,YES,YES,NO,NON_OA_RETAINED,W7153443585,UNRESOLVED_DIRECTION_BLIND
7,12,bib_0988fb9c95703ec8,10.6084/m9.figshare.31986552.v1,Nectar robber-mediated selection on calyx length in Salvia castanea,2026,Q3,YES,YES,YES,NO,NON_OA_RETAINED,W7153570881,UNRESOLVED_DIRECTION_BLIND
8,12,bib_c2e6e8576f7ae5e8,10.1111/aje.70225,When Bigger Is not Better: Corolla Length Increases Nectar Robbing in Aloe secundiflora Engl. (Asphodelaceae),2026,Q1|Q3|Q5|Q6,YES,YES,YES,NO,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,W7207612347,UNRESOLVED_DIRECTION_BLIND
9,9,bib_846c49d03b0f589d,10.1371/journal.pone.0043869,Nectar Theft and Floral Ant-Repellence: A Link between Nectar Volume and Ant-Repellent Traits?,2012,Q5,YES,NO,YES,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W2124592271,UNRESOLVED_DIRECTION_BLIND
10,9,bib_17f6d67a128991f6,10.7818/ecos.2013.22-2.16,Asociación entre el robo de néctar y las características florales en una comunidad montana de los Andes colombianos,2013,Q1|Q3,YES,NO,YES,NO,HIGH_PRIORITY_DIRECT_TEST_ADJUDICATION,W3129629679,UNRESOLVED_DIRECTION_BLIND
