frame_id,doi,title,year,source_identifier,text_chars,body_chars,reference_cut_applied,route_body_count,access_body_count,quant_body_count,route_access_quant_cooccurrence_windows,methods_heading_present,results_heading_present,body_triage_lane
bib_084795c81b66fa0e,10.1016/j.tplants.2019.04.007,Ecology of Plastic Flowers,2019,https://edepot.wur.nl/494923,91935,91935,NO,7,8,23,0,NO,NO,RETAIN_BODY_SIGNALS_SEPARATED
bib_0b3208c353cefdd2,10.1371/journal.pone.0225252,I’ve been robbed! – Can changes in floral traits discourage bee pollination?,2019,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0225252&type=printable,74576,60423,YES,22,2,30,5,YES,YES,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_0eb212e6b7eae7ca,10.1016/j.cub.2017.07.012,Distasteful Nectar Deters Floral Robbery,2017,http://gala.gre.ac.uk/id/eprint/17458/3/17458%20STEVENSON_Distasteful_Nectar_Deters_Floral_Robbery_2017.pdf,54129,26603,YES,19,3,43,10,NO,YES,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_137fd568063e1dc4,10.21203/rs.3.rs-1652058/v1,Hold tight or loosen up? Functional consequences of a shift in anther architecture depend substantially on bee body size,2022,https://www.researchsquare.com/article/rs-1652058/latest.pdf,53022,36144,YES,0,2,42,0,YES,YES,EXCLUDE_NO_ROUTE_SIGNAL_IN_MAIN_TEXT
bib_17f6d67a128991f6,10.7818/ecos.2013.22-2.16,Asociación entre el robo de néctar y las características florales en una comunidad montana de los Andes colombianos,2013,https://www.revistaecosistemas.net/index.php/ecosistemas/article/download/753/731,0,0,NO,,,,,,,RETAIN_BODY_READ_UNVERIFIED
bib_1c14ba99688aeaea,10.1007/s10886-020-01213-2,Herbivory and Time Since Flowering Shape Floral Rewards and Pollinator-Pathogen Interactions,2020,http://gala.gre.ac.uk/id/eprint/29490/13/29490%20STEVENSON_Herbivory_and_Time_Since_Flowering_Shape_Floral_Rewards_%28AAM%29_2020.pdf,56629,56629,NO,2,1,51,0,NO,NO,RETAIN_BODY_SIGNALS_SEPARATED
bib_2141768160a0ed13,10.1016/j.agee.2021.107417,Landscape complexity benefits bumble bee visitation in faba bean (Vicia faba minor L.) but crop productivity is not pollinator-dependent,2021,https://pub.epsilon.slu.se/24388/1/lundin_o_et_al_210603.pdf,76066,76066,NO,14,2,39,4,NO,NO,RETAIN_LOCAL_ROUTE_ACCESS_QUANT_COOCCURRENCE
bib_22cb3b2bdce6e2d4,10.1007/s00442-012-2290-3,Optimizing size thresholds in a plant–pollinator interaction web: towards a mechanistic understanding of ecological networks,2012,https://www.dora.lib4ri.ch/wsl/dload/wsl:4268/PDF/view,0,0,NO,,,,,,,RETAIN_BODY_READ_UNVERIFIED
bib_2dfe8319a8aee075,10.1371/journal.pone.0112013,"Gloss, Colour and Grip: Multifunctional Epidermal Cell Shapes in Bee- and Bird-Pollinated Flowers",2014,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0112013&type=printable,50940,39941,YES,10,2,26,0,YES,NO,RETAIN_BODY_SIGNALS_SEPARATED
bib_3d6b9dc3b803dfbe,10.11609/jott.7930.14.8.21642-21650,Zoophily and nectar-robbing by sunbirds in Gardenia latifolia Ait. (Rubiaceae),2022,https://threatenedtaxa.org/JoTT/article/download/7930/8745,84955,84955,NO,18,1,2,0,NO,NO,RETAIN_BODY_SIGNALS_SEPARATED
