frame_id,doi,title,year,source_dbs,query_ids,screen_status,known_study_id,known_direction,eligibility_status,direction,screening_notes
bib_285f0c14fc0f16a3,10.1002/ajb2.1082,Consequences of secondary nectar robbing for male components of plant reproduction,2018,OpenAlex,Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_c5d86de6097c10d1,10.1002/ajb2.1182,Consequences of multiple flower–insect interactions for subsequent plant–insect interactions and plant reproduction,2018,OpenAlex,Q4|Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_479450cf51792322,10.1002/ajb2.1238,Fitness benefits and costs of floral advertising traits: insights from rayed and rayless phenotypes of Anacyclus (Asteraceae),2019,OpenAlex,Q4|Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_f0d01dd1e72b3e96,10.1002/ajb2.1372,Genotype‐specific effects of ericoid mycorrhizae on floral traits and reproduction in Vaccinium corymbosum,2019,OpenAlex,Q1|Q4|Q5|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_c1cc518860642935,10.1002/ajb2.1499,Pollination effectiveness of specialist and opportunistic nectar feeders influenced by invasive alien ants in the Seychelles,2020,OpenAlex,Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_6d52910902151bfe,10.1002/ajb2.1559,Light availability influences the intensity of nectar robbery and its effects on reproduction in a tropical shrub via multiple pathways,2020,OpenAlex,Q1|Q2|Q4|Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_2673b1025e35a810,10.1002/ajb2.16001,Architectural effects regulate resource allocation within the inflorescences with nonlinear blooming patterns,2022,OpenAlex,Q4|Q5|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_e06a35d282f0ae17,10.1002/ajb2.16098,Intrafloral patterns of color and scent in Capparis spinosa L. and the ghosts of its selection past,2022,OpenAlex,Q5|Q6|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_839ebc18b34b7acf,10.1002/ajb2.1613,Nectar addition changes pollinator behavior but not plant reproduction in pollen‐rewarding Lupinus argenteus,2021,OpenAlex,Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_57ca48a689e64aa3,10.1002/ajb2.16186,Among‐species variation in flower size determines florivory in the largest tropical wetland,2023,OpenAlex,Q4,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_0c1b1917de3f8bf7,10.1002/ajb2.16190,Pollinators differ in their contribution to the male fitness of a self‐incompatible composite,2023,OpenAlex,Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_abe52a567c053752,10.1002/ajb2.1700,Incomplete reproductive isolation and low genetic differentiation despite floral divergence across varying geographic scales in Castilleja,2021,OpenAlex,Q1|Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_a449a7f910786fce,10.1002/ajb2.1826,"Habitat effects on reproductive phenotype, pollinator behavior, fecundity, and mating outcomes of a bumble bee–pollinated herb",2022,OpenAlex,Q4|Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_ba9f652e4967f0a6,10.1002/cbdv.202201139,Floral Phytochemistry: Impact of Volatile Organic Compounds and Nectar Secondary Metabolites on Pollinator Behavior and Health,2023,OpenAlex,Q4|Q6|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_ec1bd0f30add1c1c,10.1002/ece3.10228,"Trait matching in a multi‐species geographic mosaic of leafflower plants, brood pollinators, and cheaters",2023,OpenAlex,Q5|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_c10d1888842ae962,10.1002/ece3.10473,Morphological diversity and altitudinal differentiation of Aethopyga species,2023,OpenAlex,Q1|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_a3a6203ff99a00d7,10.1002/ece3.10617,Bumblebee responses to variation in pollinator‐attracting traits of Vicia faba flowers,2023,OpenAlex,Q3|Q4|Q5|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_eb2dc6bedf375e13,10.1002/ece3.10630,Is there silicon in flowers and what does it tell us?,2023,OpenAlex,Q4,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_f87b458ec580ed60,10.1002/ece3.10714,Nectar robbing by bees affects the reproductive fitness of the distylous plant Tirpitzia sinensis (Linaceae),2023,OpenAlex,Q3|Q4,KNOWN_DIRECT_CORPUS_MATCH,Wang_et_al_2023_Tirpitzia,MIXED,KNOWN_ELIGIBLE_DIRECT,MIXED,matched_by=DOI
bib_393e0182cf9edeaf,10.1002/ece3.11187,The paradox of plant preference: The malaria vectors Anopheles gambiae and Anopheles coluzzii select suboptimal food sources for their survival and reproduction,2024,OpenAlex,Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_97e5e706fb5f9a6a,10.1002/ece3.11223,We know very little about pollination in the Platanthera Rich (Orchidaceae: Orchidoideae),2024,OpenAlex,Q4|Q5|Q6|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_ed168938fc43d245,10.1002/ece3.1191,Changes in pollinator fauna affect altitudinal variation of floral size in a bumblebee‐pollinated herb,2014,OpenAlex,Q1|Q3|Q4|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_c6e473fc78c4754d,10.1002/ece3.1410,When is it worth being a self‐compatible hermaphrodite? Context‐dependent effects of self‐pollination on female advantage in gynodioeciousSilene nutans,2015,OpenAlex,Q4,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_b61ea0780c5981a7,10.1002/ece3.1803,"Seasonal changes in pollen limitation and femaleness along the snowmelt gradient in a distylous alpine herb,Primula modesta",2015,OpenAlex,Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_80efe9320e3042aa,10.1002/ece3.3258,Phenotypic selection on flowering phenology and pollination efficiency traits between Primula populations with different pollinator assemblages,2017,OpenAlex,Q3|Q4,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_59520ae1408618ac,10.1002/ece3.4989,Pollinator parasites and the evolution of floral traits,2019,OpenAlex,Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_6bd7f877391d0eb6,10.1002/ece3.5201,The pollination system of the widely distributed mammal‐pollinated Mucuna macrocarpa (Fabaceae) in the tropics,2019,OpenAlex,Q4,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_2d378d904bdd6741,10.1002/ece3.5539,How does urbanization affect the reproductive characteristics and ecological affinities of street plant communities?,2019,OpenAlex,Q1|Q3|Q4|Q5|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_5ce347e62b70a0b9,10.1002/ece3.5942,Ecological fitting is a sufficient driver of tight interactions between sunbirds and ornithophilous plants,2020,OpenAlex,Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_f992d55a3a0d1363,10.1002/ece3.6396,The contribution of multiple barriers to reproduction between edaphically divergent lineages in the Amazonian tree Protium subserratum (Burseraceae),2020,OpenAlex,Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_e92c4350f36aaf9b,10.1002/ece3.70279,Ornithophily in the trumpet creeper ( Campsis radicans ),2024,OpenAlex,Q1|Q2|Q4|Q5|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_b374667848db261c,10.1002/ece3.70674,"Nectar‐Feeding Behavior in the Mallee Ringneck, Barnardius zonarius barnardi",2025,OpenAlex,Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_e43a872e32a3d3a1,10.1002/ece3.71717,"Landscape‐Wide Metabarcoding Shows Interactions Among the Gut Microbiome and Pollen Diversity in the Invasive Bumblebee, Bombus terrestris",2025,OpenAlex,Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_9dd54c4740d04b44,10.1002/ece3.72133,"Floral Integration and Phenotypic Selection on Floral Traits of Ipomoea cavalcantei (Convolvulaceae), a Rare, Endemic, and Endangered Species to the Amazon Ironstone Outcrops",2025,OpenAlex,Q3|Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_96d70e34611cec03,10.1002/ece3.72812,Study on Floral Syndrome and Breeding System of an Endangered Species Rhododendron nymphaeoides,2025,OpenAlex,Q5|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_590f6b0d1ab607fc,10.1002/ece3.73933,Nectar Robbery by Native and Invasive Bumblebees Reduces Floral Rewards but Not Seed Production in Desfontainia fulgens,2026,OpenAlex,Q1|Q2|Q4|Q5|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_06f3796a44417123,10.1002/ece3.74123,Mutualism and Antagonism in a Post‐Extinction Hawaiian Bird–Lobelioid Pollination System,2026,OpenAlex,Q1|Q3|Q5|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_298cf66f26e33b31,10.1002/ece3.8068,Novel nectar robbing negatively affects reproduction in Digitalis purpurea,2021,OpenAlex,Q3|Q6|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_f87b6e260ebc68d8,10.1002/ece3.8325,Effects of different types of low‐intensity management on plant‐pollinator interactions in Estonian grasslands,2021,OpenAlex,Q4|Q6|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_5d3f66010fed371e,10.1002/ece3.8490,Why flowers close at noon? A case study of an alpine species Gentianopsis paludosa (Gentianaceae),2022,OpenAlex,Q4,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_d038e6ef02c368ef,10.1002/ece3.8686,Insect pest damage increases faba bean (Vicia faba) yield components but only in the absence of insect pollination,2022,OpenAlex,Q6|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_1c825f19ad8140d3,10.1002/ece3.8988,Floral phenology of an Andean bellflower and pollination by buff‐tailed sicklebill hummingbird,2022,OpenAlex,Q4|Q5|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_08f3febf7b74c8c1,10.1002/ece3.9795,Spatial variation of pollen receipt and effects of heterospecific pollen on seed set in Salvia przewalskii,2023,OpenAlex,Q3,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_847608ef312bbe1a,10.1002/ece3.9920,Features of floral odor and nectar in the distylous Luculia pinceana (Rubiaceae) promote compatible pollination by hawkmoths,2023,OpenAlex,Q3|Q6|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_8bc876f4e67a3294,10.1002/ecog.07956,Generalised bumblebee–flower interactions demonstrate weak floral niche partitioning despite a high bee diversity,2025,OpenAlex,Q3|Q6|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_decb32498daa21fd,10.1002/ecs2.1326,Florivory shapes both leaf and floral interactions,2016,OpenAlex,Q4,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_b4dba108c4080830,10.1002/ecs2.2459,Legitimate visitors and nectar robbers of Aquilegia formosa have different effects on nectar bacterial communities,2018,OpenAlex,Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_7e7a10a2518d795c,10.1002/ecs2.2943,"Geographic isolation, pollination syndromes, and pollinator generalization in HimalayanRoscoeaspp. (Zingiberaceae)",2019,OpenAlex,Q1|Q3|Q4|Q5|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_29c95ac40ffb1555,10.1002/ecs2.3251,Seasonal change of flower sex ratio and pollinator dynamics in three reproductive ecotypes of protandrous plant,2020,OpenAlex,Q3|Q4|Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_38ab642e150f9554,10.1002/ecs2.3416,Do plant ploidy and pollinator tongue length interact to cause low seed yield in red clover?,2021,OpenAlex,Q3|Q4|Q6|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_17656738a56de327,10.1002/ecs2.4077,Nectar robbing rather than pollinator availability constrains reproduction of a bee‐flowered plant at high elevations,2022,OpenAlex,Q3|Q5|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_80b024b00c232493,10.1002/ecs2.4696,Cheaters among pollinators: Nectar robbing and thieving vary spatiotemporally with floral traits in Afrotropical forests,2023,OpenAlex,Q3|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_30b5a341b998d017,10.1002/ecy.2395,Costs and benefits of alternative food handling tactics help explain facultative exploitation of pollination mutualisms,2018,OpenAlex,Q6|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_0ba4f0d212e7a4e0,10.1002/ecy.2553,Flower movement balances pollinator needs and pollen protection,2018,OpenAlex,Q6|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_7e1ffdc9352e7846,10.1002/ecy.2707,A meta‐analysis of herbivore effects on plant attractiveness to pollinators,2019,OpenAlex,Q3|Q4|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_ae1f37c1bc15ea92,10.1002/evl3.262,Pollinators and herbivores interactively shape selection on strawberry defence and attraction,2021,OpenAlex,Q4,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_1989f5cd1b3d0711,10.1002/oik.11482,Attractiveness of exotic invasive plants can disconnect native plants from their floral visitors,2025,OpenAlex,Q5|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_715d8d39ac447e3e,10.1002/oik.11552,Trait matching affects the probability of nectar robbing in plant–pollinator networks,2025,OpenAlex,Q3,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_c2c39b498d9d8a60,10.1006/anbo.2001.1485,Reproductive Isolation in a Native Population of Petunia sensu Jussieu (Solanaceae),2001,OpenAlex,Q3|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_b09cdba9ed695282,10.1007/s00040-014-0366-2,Getting to the start line: how bumblebees and honeybees are visually guided towards their first floral contact,2014,OpenAlex,Q4|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_a3c6a13e183fd63b,10.1007/s00049-018-0252-x,Bacteria colonising Penstemon digitalis show volatile and tissue-specific responses to a natural concentration range of the floral volatile linalool,2018,OpenAlex,Q4,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_65293128d00b8ffa,10.1007/s00122-021-03832-z,Paternal outcrossing success differs among faba bean genotypes and impacts breeding of synthetic cultivars,2021,OpenAlex,Q4,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_b631934c9348f0a0,10.1007/s00248-022-02078-6,Nectar-Inhabiting Bacteria Affect Olfactory Responses of an Insect Parasitoid by Altering Nectar Odors,2022,OpenAlex,Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_6a22f44e4d119796,10.1007/s00248-026-02741-2,"Filth Flies, Flowers and Food: Pollination by Flies (Calliphoridae) Does Not Affect the Strawberry Microbiome",2026,OpenAlex,Q5,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_3665acd6ed0c0891,10.1007/s00265-021-03067-4,What is that smell? Hummingbirds avoid foraging on resources with defensive insect compounds,2021,OpenAlex,Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_9ab6c96492a9e0c4,10.1007/s00359-019-01347-z,A matter of taste: the adverse effect of pollen compounds on the pre-ingestive gustatory experience of sugar solutions for honeybees,2019,OpenAlex,Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_607252b26b44ef4c,10.1007/s00425-019-03168-5,Nectar composition in moth-pollinated Platanthera bifolia and P. chlorantha and its importance for reproductive success,2019,OpenAlex,Q3|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_761897f439674519,10.1007/s00435-020-00507-z,Measuring proboscis length in Lepidoptera: a review,2020,OpenAlex,Q2|Q3|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_22cb3b2bdce6e2d4,10.1007/s00442-012-2290-3,Optimizing size thresholds in a plant–pollinator interaction web: towards a mechanistic understanding of ecological networks,2012,OpenAlex,Q3|Q6|Q7,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
bib_a45146e002f9612e,10.1007/s00442-013-2797-2,Plant–animal interactions in suburban environments: implications for floral evolution,2013,OpenAlex,Q1|Q5,KNOWN_DIRECT_CORPUS_MATCH,Irwin_Warren_Carper_Adler_2014,POSITIVE,KNOWN_ELIGIBLE_DIRECT,POSITIVE,matched_by=DOI
bib_1b6e6ba215f999f7,10.1007/s00442-025-05718-z,Pollination efficiency of hummingbirds and flowerpiercers at the flowers of Lobelia laxiflora (Campanulaceae): morphological fit matters,2025,OpenAlex,Q1|Q3|Q6,PENDING_FULLTEXT_ELIGIBILITY,,,PENDING,,
