frame_id,doi,title,year,query_ids,openalex_ids,oa_statuses,pdf_urls,landing_urls,frame_source_urls,retrieval_priority,notes
bib_285f0c14fc0f16a3,10.1002/ajb2.1082,Consequences of secondary nectar robbing for male components of plant reproduction,2018,Q5,W2804358489,bronze,https://bsapubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ajb2.1082,http://hdl.handle.net/10150/628275|https://doi.org/10.1002/ajb2.1082|https://pubmed.ncbi.nlm.nih.gov/29797579,https://doi.org/10.1002/ajb2.1082,OA_PDF_AVAILABLE,DIRECTION_NOT_INSPECTED
bib_c5d86de6097c10d1,10.1002/ajb2.1182,Consequences of multiple flower–insect interactions for subsequent plant–insect interactions and plant reproduction,2018,Q4|Q5,W2898664981,bronze,https://bsapubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ajb2.1182,https://doi.org/10.1002/ajb2.1182|https://pubmed.ncbi.nlm.nih.gov/30376158,https://doi.org/10.1002/ajb2.1182,OA_PDF_AVAILABLE,DIRECTION_NOT_INSPECTED
bib_6d52910902151bfe,10.1002/ajb2.1559,Light availability influences the intensity of nectar robbery and its effects on reproduction in a tropical shrub via multiple pathways,2020,Q1|Q2|Q4|Q5,W3104024735,bronze,https://hdl.handle.net/2027.42/163865|https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ajb2.1559,https://doi.org/10.1002/ajb2.1559|https://hdl.handle.net/2027.42/163865|https://pubmed.ncbi.nlm.nih.gov/33190224,https://doi.org/10.1002/ajb2.1559,OA_PDF_AVAILABLE,DIRECTION_NOT_INSPECTED
bib_ba9f652e4967f0a6,10.1002/cbdv.202201139,Floral Phytochemistry: Impact of Volatile Organic Compounds and Nectar Secondary Metabolites on Pollinator Behavior and Health,2023,Q4|Q6|Q7,W4361191195,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cbdv.202201139,https://doi.org/10.1002/cbdv.202201139|https://hal.science/hal-04225362v1/document|https://pubmed.ncbi.nlm.nih.gov/36976451,https://doi.org/10.1002/cbdv.202201139,OA_PDF_AVAILABLE,DIRECTION_NOT_INSPECTED
bib_80efe9320e3042aa,10.1002/ece3.3258,Phenotypic selection on flowering phenology and pollination efficiency traits between Primula populations with different pollinator assemblages,2017,Q3|Q4,W2750484439,gold,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.3258,https://doi.org/10.1002/ece3.3258|https://pubmed.ncbi.nlm.nih.gov/29043017|https://www.ncbi.nlm.nih.gov/pmc/articles/5632619,https://doi.org/10.1002/ece3.3258,OA_PDF_AVAILABLE,DIRECTION_NOT_INSPECTED
bib_96d70e34611cec03,10.1002/ece3.72812,Study on Floral Syndrome and Breeding System of an Endangered Species Rhododendron nymphaeoides,2025,Q5|Q6,W7116959948,gold,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.72812,https://doaj.org/article/6b5f130b0ad242968280221f08f6b3be|https://doi.org/10.1002/ece3.72812|https://pmc.ncbi.nlm.nih.gov/articles/PMC12723190/|https://pubmed.ncbi.nlm.nih.gov/41446378,https://doi.org/10.1002/ece3.72812,OA_PDF_AVAILABLE,DIRECTION_NOT_INSPECTED
bib_590f6b0d1ab607fc,10.1002/ece3.73933,Nectar Robbery by Native and Invasive Bumblebees Reduces Floral Rewards but Not Seed Production in Desfontainia fulgens,2026,Q1|Q2|Q4|Q5|Q7,W7166545956,gold,https://pmc.ncbi.nlm.nih.gov/articles/PMC13311193/pdf/ECE3-16-e73933.pdf,https://doaj.org/article/49094697fa3a48429a8691d17184037b|https://doi.org/10.1002/ece3.73933|https://pmc.ncbi.nlm.nih.gov/articles/PMC13311193/|https://pubmed.ncbi.nlm.nih.gov/42376167,https://doi.org/10.1002/ece3.73933,OA_PDF_AVAILABLE,DIRECTION_NOT_INSPECTED
bib_06f3796a44417123,10.1002/ece3.74123,Mutualism and Antagonism in a Post‐Extinction Hawaiian Bird–Lobelioid Pollination System,2026,Q1|Q3|Q5|Q6,W7196986504,gold,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.74123,https://doaj.org/article/525a9ed13911454aad3d98a9495a4203|https://doi.org/10.1002/ece3.74123|https://pmc.ncbi.nlm.nih.gov/articles/PMC13446026/|https://pubmed.ncbi.nlm.nih.gov/42564665,https://doi.org/10.1002/ece3.74123,OA_PDF_AVAILABLE,DIRECTION_NOT_INSPECTED
bib_298cf66f26e33b31,10.1002/ece3.8068,Novel nectar robbing negatively affects reproduction in Digitalis purpurea,2021,Q3|Q6|Q7,W3163315994,gold,http://sro.sussex.ac.uk/id/eprint/101456/1/ece3.8068.pdf|https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.8068,http://sro.sussex.ac.uk/id/eprint/101456/1/ece3.8068.pdf|https://doaj.org/article/1bc0083a028b49df9317f54fc2835d76|https://doi.org/10.1002/ece3.8068|https://pubmed.ncbi.nlm.nih.gov/34646482|https://www.ncbi.nlm.nih.gov/pmc/articles/8495828,https://doi.org/10.1002/ece3.8068,OA_PDF_AVAILABLE,DIRECTION_NOT_INSPECTED
bib_b4dba108c4080830,10.1002/ecs2.2459,Legitimate visitors and nectar robbers of Aquilegia formosa have different effects on nectar bacterial communities,2018,Q5,W2898342007,gold,https://esajournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ecs2.2459,https://doi.org/10.1002/ecs2.2459,https://doi.org/10.1002/ecs2.2459,OA_PDF_AVAILABLE,DIRECTION_NOT_INSPECTED
