frame_id,doi,title,year,pdf_attempts,pdf_retrieved,extraction_verified,text_chars,title_token_coverage,route_signal,access_signal,quantitative_signal,triage_lane,source_identifier
bib_285f0c14fc0f16a3,10.1002/ajb2.1082,Consequences of secondary nectar robbing for male components of plant reproduction,2018,1,NO,NO,0,,UNKNOWN,UNKNOWN,UNKNOWN,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,
bib_c5d86de6097c10d1,10.1002/ajb2.1182,Consequences of multiple flower–insect interactions for subsequent plant–insect interactions and plant reproduction,2018,1,NO,NO,0,,UNKNOWN,UNKNOWN,UNKNOWN,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,
bib_6d52910902151bfe,10.1002/ajb2.1559,Light availability influences the intensity of nectar robbery and its effects on reproduction in a tropical shrub via multiple pathways,2020,2,NO,NO,0,,UNKNOWN,UNKNOWN,UNKNOWN,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,
bib_ba9f652e4967f0a6,10.1002/cbdv.202201139,Floral Phytochemistry: Impact of Volatile Organic Compounds and Nectar Secondary Metabolites on Pollinator Behavior and Health,2023,1,NO,NO,0,,UNKNOWN,UNKNOWN,UNKNOWN,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,
bib_80efe9320e3042aa,10.1002/ece3.3258,Phenotypic selection on flowering phenology and pollination efficiency traits between Primula populations with different pollinator assemblages,2017,1,NO,NO,0,,UNKNOWN,UNKNOWN,UNKNOWN,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,
bib_96d70e34611cec03,10.1002/ece3.72812,Study on Floral Syndrome and Breeding System of an Endangered Species Rhododendron nymphaeoides,2025,1,NO,NO,0,,UNKNOWN,UNKNOWN,UNKNOWN,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,
bib_590f6b0d1ab607fc,10.1002/ece3.73933,Nectar Robbery by Native and Invasive Bumblebees Reduces Floral Rewards but Not Seed Production in Desfontainia fulgens,2026,1,NO,NO,0,,UNKNOWN,UNKNOWN,UNKNOWN,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,
bib_06f3796a44417123,10.1002/ece3.74123,Mutualism and Antagonism in a Post‐Extinction Hawaiian Bird–Lobelioid Pollination System,2026,1,NO,NO,0,,UNKNOWN,UNKNOWN,UNKNOWN,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,
bib_298cf66f26e33b31,10.1002/ece3.8068,Novel nectar robbing negatively affects reproduction in Digitalis purpurea,2021,2,NO,NO,0,,UNKNOWN,UNKNOWN,UNKNOWN,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,
bib_b4dba108c4080830,10.1002/ecs2.2459,Legitimate visitors and nectar robbers of Aquilegia formosa have different effects on nectar bacterial communities,2018,1,NO,NO,0,,UNKNOWN,UNKNOWN,UNKNOWN,OA_PDF_EXTRACTION_UNVERIFIED_RETAINED,
