scenario_id,moderator_name,clusters_per_level,level_contrast,between_cluster_sd,standard_error_low,standard_error_high,replicates,q_between_fixed_effect_rejection_rate,meta_regression_contrast_power,direction_reversal_detection_rate,estimable_fraction,design_verdict
k3_d0p35_tau0p00,dose_realism,3,-0.35,0,0.1,0.3,2000,0.6505,0.2775,0.0170,1.0000,declared_design_cannot_answer
k3_d0p35_tau0p25,dose_realism,3,-0.35,0.25,0.1,0.3,2000,0.5810,0.1730,0.0405,1.0000,declared_design_cannot_answer
k3_d0p35_tau0p50,dose_realism,3,-0.35,0.5,0.1,0.3,2000,0.6360,0.1050,0.0375,1.0000,declared_design_cannot_answer
k3_d0p69_tau0p00,dose_realism,3,-0.69,0,0.1,0.3,2000,0.9910,0.8710,0.0205,1.0000,declared_design_adequate
k3_d0p69_tau0p25,dose_realism,3,-0.69,0.25,0.1,0.3,2000,0.9270,0.5125,0.0700,1.0000,declared_design_underpowered_null_uninformative
k3_d0p69_tau0p50,dose_realism,3,-0.69,0.5,0.1,0.3,2000,0.8090,0.2315,0.0590,1.0000,declared_design_cannot_answer
k3_d1p10_tau0p00,dose_realism,3,-1.1,0,0.1,0.3,2000,1.0000,0.9975,0.0180,1.0000,declared_design_adequate
k3_d1p10_tau0p25,dose_realism,3,-1.1,0.25,0.1,0.3,2000,0.9980,0.8670,0.0590,1.0000,declared_design_adequate
k3_d1p10_tau0p50,dose_realism,3,-1.1,0.5,0.1,0.3,2000,0.9610,0.4650,0.0870,1.0000,declared_design_cannot_answer
k5_d0p35_tau0p00,dose_realism,5,-0.35,0,0.1,0.3,2000,0.8650,0.6875,0.0150,1.0000,declared_design_underpowered_null_uninformative
k5_d0p35_tau0p25,dose_realism,5,-0.35,0.25,0.1,0.3,2000,0.7175,0.3455,0.0435,1.0000,declared_design_cannot_answer
k5_d0p35_tau0p50,dose_realism,5,-0.35,0.5,0.1,0.3,2000,0.6875,0.1500,0.0195,1.0000,declared_design_cannot_answer
k5_d0p69_tau0p00,dose_realism,5,-0.69,0,0.1,0.3,2000,1.0000,0.9975,0.0155,1.0000,declared_design_adequate
k5_d0p69_tau0p25,dose_realism,5,-0.69,0.25,0.1,0.3,2000,0.9820,0.8555,0.0615,1.0000,declared_design_adequate
k5_d0p69_tau0p50,dose_realism,5,-0.69,0.5,0.1,0.3,2000,0.8965,0.4135,0.0560,1.0000,declared_design_cannot_answer
k5_d1p10_tau0p00,dose_realism,5,-1.1,0,0.1,0.3,2000,1.0000,1.0000,0.0190,1.0000,declared_design_adequate
k5_d1p10_tau0p25,dose_realism,5,-1.1,0.25,0.1,0.3,2000,1.0000,0.9970,0.0490,1.0000,declared_design_adequate
k5_d1p10_tau0p50,dose_realism,5,-1.1,0.5,0.1,0.3,2000,0.9905,0.8110,0.0615,1.0000,declared_design_adequate
k8_d0p35_tau0p00,dose_realism,8,-0.35,0,0.1,0.3,2000,0.9770,0.9350,0.0200,1.0000,declared_design_adequate
k8_d0p35_tau0p25,dose_realism,8,-0.35,0.25,0.1,0.3,2000,0.8390,0.5415,0.0425,1.0000,declared_design_underpowered_null_uninformative
k8_d0p35_tau0p50,dose_realism,8,-0.35,0.5,0.1,0.3,2000,0.7610,0.2260,0.0270,1.0000,declared_design_cannot_answer
k8_d0p69_tau0p00,dose_realism,8,-0.69,0,0.1,0.3,2000,1.0000,1.0000,0.0200,1.0000,declared_design_adequate
k8_d0p69_tau0p25,dose_realism,8,-0.69,0.25,0.1,0.3,2000,0.9995,0.9855,0.0400,1.0000,declared_design_adequate
k8_d0p69_tau0p50,dose_realism,8,-0.69,0.5,0.1,0.3,2000,0.9530,0.6725,0.0405,1.0000,declared_design_underpowered_null_uninformative
k8_d1p10_tau0p00,dose_realism,8,-1.1,0,0.1,0.3,2000,1.0000,1.0000,0.0175,1.0000,declared_design_adequate
k8_d1p10_tau0p25,dose_realism,8,-1.1,0.25,0.1,0.3,2000,1.0000,1.0000,0.0475,1.0000,declared_design_adequate
k8_d1p10_tau0p50,dose_realism,8,-1.1,0.5,0.1,0.3,2000,0.9995,0.9620,0.0435,1.0000,declared_design_adequate
k12_d0p35_tau0p00,dose_realism,12,-0.35,0,0.1,0.3,2000,0.9980,0.9945,0.0175,1.0000,declared_design_adequate
k12_d0p35_tau0p25,dose_realism,12,-0.35,0.25,0.1,0.3,2000,0.9240,0.7280,0.0430,1.0000,declared_design_underpowered_null_uninformative
k12_d0p35_tau0p50,dose_realism,12,-0.35,0.5,0.1,0.3,2000,0.8165,0.3315,0.0225,1.0000,declared_design_cannot_answer
k12_d0p69_tau0p00,dose_realism,12,-0.69,0,0.1,0.3,2000,1.0000,1.0000,0.0205,1.0000,declared_design_adequate
k12_d0p69_tau0p25,dose_realism,12,-0.69,0.25,0.1,0.3,2000,1.0000,0.9980,0.0405,1.0000,declared_design_adequate
k12_d0p69_tau0p50,dose_realism,12,-0.69,0.5,0.1,0.3,2000,0.9835,0.8400,0.0440,1.0000,declared_design_adequate
k12_d1p10_tau0p00,dose_realism,12,-1.1,0,0.1,0.3,2000,1.0000,1.0000,0.0200,1.0000,declared_design_adequate
k12_d1p10_tau0p25,dose_realism,12,-1.1,0.25,0.1,0.3,2000,1.0000,1.0000,0.0345,1.0000,declared_design_adequate
k12_d1p10_tau0p50,dose_realism,12,-1.1,0.5,0.1,0.3,2000,1.0000,0.9945,0.0485,1.0000,declared_design_adequate
