effect_id,moderator_name,moderator_value,coding_basis,coder_id,coding_date,coding_status
LGF_Andaloetal2019,larcenist_type,nectar_robbing,"deposited column 'Larcenist_type' = 'Robbers', constant across the 4 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Andaloetal2019,reproductive_assurance,self_incompatible,"deposited column 'self_compatible' = 'no', constant across the 4 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Andaloetal2019,larceny_assignment,experimental_manipulation,"deposited column 'type_study' = 'Experimental', constant across the 4 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Andaloetal2019,interaction_players,insect_insect,"deposited column 'players' = 'insect-insect', constant across the 4 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Arizmendieetal1996,larcenist_type,nectar_robbing,"deposited column 'Larcenist_type' = 'Robbers', constant across the 1 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Arizmendieetal1996,reproductive_assurance,self_compatible,"deposited column 'self_compatible' = 'yes', constant across the 1 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Arizmendieetal1996,larceny_assignment,experimental_manipulation,"deposited column 'type_study' = 'Experimental', constant across the 1 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Arizmendieetal1996,interaction_players,bird_bird,"deposited column 'players' = 'bird-bird', constant across the 1 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Bergamo&Sazima2018,larcenist_type,nectar_robbing,"deposited column 'Larcenist_type' = 'Robbers', constant across the 2 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Bergamo&Sazima2018,reproductive_assurance,self_compatible,"deposited column 'self_compatible' = 'yes', constant across the 2 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Bergamo&Sazima2018,larceny_assignment,observational_contrast,"deposited column 'type_study' = 'Non-Experimental', constant across the 2 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Bergamo&Sazima2018,interaction_players,,"deposited column 'players' = ['insect-bird', 'insect-insect']: study cluster spans more than one declared level; the level is not assignable after the declared one-effect-per-cluster aggregation",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,not_applicable
LGF_Brodyetal2008,larcenist_type,nectar_robbing,"deposited column 'Larcenist_type' = 'Robbers', constant across the 11 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Brodyetal2008,reproductive_assurance,self_compatible,"deposited column 'self_compatible' = 'yes', constant across the 11 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Brodyetal2008,larceny_assignment,experimental_manipulation,"deposited column 'type_study' = 'Experimental', constant across the 11 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Brodyetal2008,interaction_players,insect_bird,"deposited column 'players' = 'insect-bird', constant across the 11 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Burkleetal_2007,larcenist_type,nectar_robbing,"deposited column 'Larcenist_type' = 'Robbers', constant across the 7 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
LGF_Burkleetal_2007,reproductive_assurance,self_compatible,"deposited column 'self_compatible' = 'yes', constant across the 7 deposited row(s) of this study cluster",deterministic_ingest_of_deposited_moderator_columns,2026-08-10,coded
