source_row_id,study_cluster_id,source_metric,deposited_effect,deposited_variance,recomputed_log_response_ratio,recomputed_variance,effect_agreement,variance_agreement,agreement_verdict,handling
3,Andaloetal2019,female,-0.127877226,0.046936578,-0.127877226,0.04693657754,match,match,reproduced,included:recomputed_from_group_means
4,Andaloetal2019,female,-0.11151884,0.032270056,-0.1115188398,0.03227005559,match,match,reproduced,included:recomputed_from_group_means
2,Andaloetal2019,female,-0.088033349,0.063586368,-0.08803334949,0.06358636805,match,match,reproduced,included:recomputed_from_group_means
1,Andaloetal2019,female,0.127833372,0.146281433,0.1278333715,0.1462814325,match,match,reproduced,included:recomputed_from_group_means
5,Arizmendieetal1996,female,-1.021651248,0.066939259,-1.021651248,0.06693925926,match,match,reproduced,included:recomputed_from_group_means
8,Bergamo&Sazima2018,female,-0.32241661,0.001557049,-0.3224166104,0.001557049128,match,match,reproduced,included:recomputed_from_group_means
9,Bergamo&Sazima2018,female,0.056995481,0.002903229,0.05699548105,0.002903228898,match,match,reproduced,included:recomputed_from_group_means
10,Brodyetal2008,female,-1.148622709,0.002962506,-1.148622709,0.00296250571,match,match,reproduced,included:recomputed_from_group_means
11,Brodyetal2008,female,-0.859372687,0.01135146,-0.8593726871,0.0113514602,match,match,reproduced,included:recomputed_from_group_means
12,Brodyetal2008,female,-0.603916047,0.001755907,-0.6039160468,0.001755907198,match,match,reproduced,included:recomputed_from_group_means
13,Brodyetal2008,female,-0.47957308,0.00235164,-0.4795730803,0.002351640387,match,match,reproduced,included:recomputed_from_group_means
14,Brodyetal2008,female,-0.422363111,0.000364117,-0.4223631107,0.0003641165811,match,match,reproduced,included:recomputed_from_group_means
15,Brodyetal2008,female,-0.337381741,0.00104383,-0.337381741,0.001043829959,match,match,reproduced,included:recomputed_from_group_means
16,Brodyetal2008,female,-0.323513092,0.000384598,-0.323513092,0.0003845975231,match,match,reproduced,included:recomputed_from_group_means
17,Brodyetal2008,female,-0.082970967,0.004569349,-0.08297096745,0.004569348913,match,match,reproduced,included:recomputed_from_group_means
18,Brodyetal2008,female,0.074941421,0.001588395,0.07494142129,0.001588394737,match,match,reproduced,included:recomputed_from_group_means
19,Brodyetal2008,female,0.101096117,0.000732287,0.1010961169,0.0007322870264,match,match,reproduced,included:recomputed_from_group_means
20,Brodyetal2008,female,0.118912528,0.000946019,0.1189125279,0.000946018585,match,match,reproduced,included:recomputed_from_group_means
266,Burkleetal_2007,female,-0.859372687,0.001051995,-0.8593726871,0.001051994609,match,match,reproduced,included:recomputed_from_group_means
21,Burkleetal_2007,female,-0.675931566,0.00199363,-0.6759315655,0.001993630305,match,match,reproduced,included:recomputed_from_group_means
22,Burkleetal_2007,female,-0.251946739,0.000400805,-0.2519467394,0.0004008045993,match,match,reproduced,included:recomputed_from_group_means
23,Burkleetal_2007,female,-0.205852054,0.000827979,-0.2058520542,0.0008279787608,match,match,reproduced,included:recomputed_from_group_means
24,Burkleetal_2007,female,-0.198250533,0.000458594,-0.1982505333,0.0004585938115,match,match,reproduced,included:recomputed_from_group_means
267,Burkleetal_2007,female,-0.082970967,0.000438449,-0.08297096745,0.0004384487519,match,match,reproduced,included:recomputed_from_group_means
265,Burkleetal_2007,female,0.980829253,0.000389507,0.980829253,0.000389507108,match,match,reproduced,included:recomputed_from_group_means
28,Carrio&Guemes2019,female,-0.066425476,0.001667712,-0.06642547598,0.001667711973,match,match,reproduced,included:recomputed_from_group_means
29,Carrio&Guemes2019,female,-0.007930256,0.001759752,-0.007930255676,0.001759751908,match,match,reproduced,included:recomputed_from_group_means
30,Carrio&Guemes2019,female,0.032636929,0.057099871,0.03263692931,0.05709987094,match,match,reproduced,included:recomputed_from_group_means
31,Carrio&Guemes2019,female,0.039645255,0.000359876,0.03964525539,0.0003598760192,match,match,reproduced,included:recomputed_from_group_means
32,Carrio&Guemes2019,female,0.063221381,0.000339606,0.06322138128,0.0003396063709,match,match,reproduced,included:recomputed_from_group_means
33,Carrio&Guemes2019,female,0.067410961,0.000509684,0.06741096077,0.0005096842252,match,match,reproduced,included:recomputed_from_group_means
34,Castroetal_2008,female,-0.045999408,0.000246778,-0.04599940825,0.0002467781436,match,match,reproduced,included:recomputed_from_group_means
42,Cuevas-Garciaetal2013,female,-0.53454215,0.08952475,-0.5345421504,0.08952475039,match,match,reproduced,included:recomputed_from_group_means
43,Cuevas-Garciaetal2013,female,-0.382264715,0.027403112,-0.3822647149,0.02740311245,match,match,reproduced,included:recomputed_from_group_means
44,Cuevas-Garciaetal2013,female,-0.3074847,0.045541869,-0.3074846997,0.0455418687,match,match,reproduced,included:recomputed_from_group_means
46,Cuevas-Garciaetal2013,female,-0.287682072,0.005069444,-0.2876820725,0.005069444129,match,match,reproduced,included:recomputed_from_group_means
