effect_id,study_cluster_id,D_axis_id,context_id,consumer_role,outcome_type,effect_metric,raw_effect_value,standard_error,raw_orientation,analysis_oriented_effect,source_basis_path,analysis_status
Catalpa_ant,Catalpa_1982,nectar_iridoid_glycosides,thieves_vs_legitimate_pollinators,antagonist,reward_exploitation,log_response_ratio,-1.2742,0.2291,higher_is_antagonist_use,1.2742,empirical/mechanism_pattern_synthesis/CATALPA_1982_MATCHED_SELECTIVITY_EFFECTS_V1.md,eligible_within_metric_lane
Catalpa_skipper,Catalpa_1982,nectar_iridoid_glycosides,thieves_vs_legitimate_pollinators,antagonist,reward_exploitation,log_response_ratio,-0.9430,0.2344,higher_is_antagonist_use,0.9430,empirical/mechanism_pattern_synthesis/CATALPA_1982_MATCHED_SELECTIVITY_EFFECTS_V1.md,dependent_same_cluster
Catalpa_pollinator,Catalpa_1982,nectar_iridoid_glycosides,thieves_vs_legitimate_pollinators,pollinator,reward_consumption,log_response_ratio,-0.0102,0.0187,higher_is_pollinator_function,-0.0102,empirical/mechanism_pattern_synthesis/CATALPA_1982_MATCHED_SELECTIVITY_EFFECTS_V1.md,eligible_within_metric_lane
Pedicularis_seedpred,Pedicularis_2015,water_filled_bract,seed_predator_vs_robber_pollinator,antagonist,seed_predation,reported_GLM_treatment_beta,-0.072,0.007,higher_is_antagonist_use,0.072,empirical/mechanism_pattern_synthesis/PEDICULARIS_2015_MATCHED_SELECTIVITY_EFFECTS_V1.md,source_scale_only
Pedicularis_robber,Pedicularis_2015,water_filled_bract,seed_predator_vs_robber_pollinator,antagonist,robber_visitation,reported_GLM_treatment_beta,-0.014,0.225,higher_is_antagonist_use,0.014,empirical/mechanism_pattern_synthesis/PEDICULARIS_2015_MATCHED_SELECTIVITY_EFFECTS_V1.md,source_scale_only
Pedicularis_pollinator,Pedicularis_2015,water_filled_bract,seed_predator_vs_robber_pollinator,pollinator,pollinator_visitation,reported_GLM_treatment_beta,0.012,0.224,higher_is_pollinator_function,0.012,empirical/mechanism_pattern_synthesis/PEDICULARIS_2015_MATCHED_SELECTIVITY_EFFECTS_V1.md,source_scale_only
Thunia_robbery,Thunia_2024,spur_enclosing_bract,robbery_vs_legitimate_pollination,antagonist,robbed_flower_fraction,log_response_ratio,-1.7663,0.2039,higher_is_antagonist_use,1.7663,empirical/mechanism_pattern_synthesis/THUNIA_2024_MATCHED_SELECTIVITY_EFFECTS_V1.md,eligible_within_metric_lane
Thunia_visit,Thunia_2024,spur_enclosing_bract,robbery_vs_legitimate_pollination,pollinator,hourly_visit_rate,log_response_ratio,0.0370,0.1630,higher_is_pollinator_function,0.0370,empirical/mechanism_pattern_synthesis/THUNIA_2024_MATCHED_SELECTIVITY_EFFECTS_V1.md,eligible_within_metric_lane
Thunia_removal,Thunia_2024,spur_enclosing_bract,robbery_vs_legitimate_pollination,pollinator,pollinia_removal,log_response_ratio,1.2953,0.2532,higher_is_pollinator_function,1.2953,empirical/mechanism_pattern_synthesis/THUNIA_2024_MATCHED_SELECTIVITY_EFFECTS_V1.md,dependent_same_cluster
Thunia_deposition,Thunia_2024,spur_enclosing_bract,robbery_vs_legitimate_pollination,pollinator,pollinia_deposition,log_response_ratio,1.1520,0.3532,higher_is_pollinator_function,1.1520,empirical/mechanism_pattern_synthesis/THUNIA_2024_MATCHED_SELECTIVITY_EFFECTS_V1.md,dependent_same_cluster
Thunia_fruit,Thunia_2024,spur_enclosing_bract,robbery_vs_legitimate_pollination,pollinator,fruit_set,log_response_ratio,1.2556,0.4207,higher_is_pollinator_function,1.2556,empirical/mechanism_pattern_synthesis/THUNIA_2024_MATCHED_SELECTIVITY_EFFECTS_V1.md,dependent_reproductive_outcome
Impatiens_D_antagonism,Impatiens_2018,floral_condensed_tannins,natural_florivory_vs_pollinator_visitation,antagonist,natural_florivory,standardized_regression_slope,0.08982532228379264,0.07442410557339477,higher_is_antagonist_use,-0.08982532228379264,empirical/mechanism_pattern_synthesis/LEDGER_BATCH_2_V1.csv,source_scale_unresolved
Impatiens_D_pollination,Impatiens_2018,floral_condensed_tannins,natural_florivory_vs_pollinator_visitation,pollinator,visitation_rate,standardized_regression_slope,-0.1806924892183704,0.12398805467092562,higher_is_pollinator_function,-0.1806924892183704,empirical/mechanism_pattern_synthesis/LEDGER_BATCH_2_V1.csv,source_scale_zero_compatible
