study_cluster_id,publication_id,plant_taxon,D_axis_id,context_id,derivation_or_holdout,source_provenance_path
Catalpa_1982,Stephenson_1982,Catalpa speciosa,nectar_iridoid_glycosides,thieves_vs_legitimate_pollinators,derivation,empirical/mechanism_pattern_synthesis/CATALPA_1982_MATCHED_SELECTIVITY_EFFECTS_V1.md
Pedicularis_2015,Sun_Huang_2015,Pedicularis rex,water_filled_bract,seed_predator_vs_robber_pollinator,derivation,empirical/mechanism_pattern_synthesis/PEDICULARIS_2015_MATCHED_SELECTIVITY_EFFECTS_V1.md
Thunia_2024,Wu_Gao_2024,Thunia alba,spur_enclosing_bract,robbery_vs_legitimate_pollination,derivation,empirical/mechanism_pattern_synthesis/THUNIA_2024_MATCHED_SELECTIVITY_EFFECTS_V1.md
Codonopsis_2021,Takeda_2021,Codonopsis lanceolata,slippery_wax_surface,ants_vs_hornet_pollinator,derivation,empirical/mechanism_pattern_synthesis/TAKEDA_2021_SLIPPERY_PERIANTH_AUDIT_V1.md
Chrysothemis_2007,Carlson_Harms_2007,Chrysothemis friedrichsthaliana,water_calyx,preanthesis_moth_vs_postanthesis_pollination,derivation,empirical/mechanism_pattern_synthesis/CHRYSOTHEMIS_TEMPORAL_PHYSICAL_SELECTIVITY_AUDIT_V1.md
Bejaria_2022,Chauta_2022,Bejaria resinosa,floral_stickiness,florivores_vs_insect_mutualists,derivation,empirical/mechanism_pattern_synthesis/BEJARIA_SURFACE_DEFENCE_BOUNDARY_AUDIT_V1.md
Polemonium_2011,Polemonium_2011_program,Polemonium viscosum,2PE_chemical,moderate_vs_high_dose,derivation,empirical/mechanism_pattern_synthesis/POLEMONIUM_2011_DOSE_SELECTIVITY_AUDIT_V1.md
Aconitum_2017,Barlow_2017,Aconitum lycoctonum,nectar_alkaloids,robber_vs_legitimate_pollinator_dose,derivation,empirical/mechanism_pattern_synthesis/ACONITUM_2017_SELECTIVITY_WINDOW_AUDIT_V1.md
Asclepias_program,Asclepias_cardenolide_program,Asclepias spp.,cardenolides,single_bout_vs_extended_exposure,derivation,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md
Gelsemium_program,Gelsemium_2005_program,Gelsemium sempervirens,gelsemine,robber_and_pollinators_high_dose,derivation,empirical/mechanism_pattern_synthesis/GELSEMIUM_2005_D_TO_ANTAGONISM_READOUT_V1.md
Nicotiana_2007,Kessler_Baldwin_2007,Nicotiana attenuata,nectar_repellent,pollinator_response_stage,derivation,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md
Salvia_boundary,Salvia_boundary_program,Salvia miltiorrhiza,calyx_barrier_candidate,nectar_robber_bypass,derivation,empirical/mechanism_pattern_synthesis/PHYSICAL_SELECTIVITY_REPLICATION_AND_BOUNDARY_V1.md
