study_program_id,doi,legacy_cluster_ids,plant_taxon,broad_modality,antagonist_state,pollination_followup,pollination_state_family,conditionality_axis,source_provenance
Polemonium_2011,10.1086/657993,Galen_2011_Polemonium,Polemonium viscosum,chemical,EFFECTIVE,yes,CONTEXT_DEPENDENT,dose_or_expression,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Gelsemium_2005,10.1890/05-0118,Adler_Irwin_2005_Gelsemium,Gelsemium sempervirens,chemical,EFFECTIVE,yes,INTERFERENCE,high_exposure,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Asclepias_2016,10.1002/ecy.1483,Jones_Agrawal_2016_Asclepias,Asclepias spp.,chemical,EFFECTIVE,yes,CONTEXT_DEPENDENT,exposure_duration,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Nicotiana_2007,10.1111/j.1365-313X.2006.02995.x,Kessler_Baldwin_2007_Nicotiana,Nicotiana attenuata,chemical,EFFECTIVE,yes,CONTEXT_DEPENDENT,response_stage,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Ipomopsis_2004,10.1890/03-0390,Irwin_Adler_Brody_2004_Ipomopsis,Ipomopsis aggregata,reward_access,EFFECTIVE,yes,NULL_COMPATIBLE,consumer_susceptibility,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Hypericum_2001,10.1073/pnas.231471698,Gronquist_2001_Hypericum,Hypericum calycinum,chemical,EFFECTIVE,no,NOT_MEASURED,none,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Impatiens_2018,10.1002/ajb2.1182,Gorden_Adler_2018_Impatiens_capensis,Impatiens capensis,chemical,UNRESOLVED,yes,UNRESOLVED,outcome_scale,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Takeda_2021,10.1093/aob/mcaa168,Takeda_Kadokawa_Kawakita_2021;Takeda_2021_slippery_perianths,Codonopsis lanceolata and Fritillaria koidzumiana,physical,EFFECTIVE,no,NOT_MEASURED,geometry,empirical/floral_defence_selectivity/D_SIDE_ROUTE_DEDUPLICATION_AUDIT_V1.md
Aconitum_2017,10.1016/j.cub.2017.07.012,Barlow_et_al_2017_Aconitum,Aconitum napellus and Aconitum lycoctonum,chemical,EFFECTIVE,yes,CONTEXT_DEPENDENT,dose_threshold,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Nicotiana_BA_2019,10.1111/1365-2435.13332,Kessler_Bing_Haverkamp_Baldwin_2019_Nicotiana,Nicotiana attenuata,chemical,EFFECTIVE,no,NOT_MEASURED,temporal_expression,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Pedicularis_2015,10.1093/aobpla/plv019,Sun_Huang_2015_Pedicularis_rex,Pedicularis rex,physical,EFFECTIVE,yes,NULL_COMPATIBLE,attack_route,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Bejaria_2022,10.1038/s41598-022-23261-2,Chauta_2022_Bejaria_resinosa,Bejaria resinosa,physical,EFFECTIVE,no,NOT_MEASURED,overlap_geometry,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Catalpa_1982,10.1007/BF00987883,Stephenson_1982_Catalpa_speciosa,Catalpa speciosa,chemical,EFFECTIVE,yes,NULL_COMPATIBLE,consumer_susceptibility,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Erica_2021,10.1007/s10265-021-01299-z,McCarren_2021_Erica,Erica spp.,physical,EFFECTIVE,no,NOT_MEASURED,sticky_surface,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Menyanthes_2018,10.1016/j.aspen.2018.09.006,Tagawa_2018_Menyanthes_trifoliata,Menyanthes trifoliata,physical,EFFECTIVE,no,NOT_MEASURED,geometry,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Thunia_2024,10.1093/jpe/rtad036,Wu_Gao_2024_Thunia_alba,Thunia alba,physical,EFFECTIVE,yes,IMPROVED,functional_mode,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
Chrysothemis_2007,10.1098/rsbl.2007.0095,Carlson_Harms_2007_Chrysothemis,Chrysothemis friedrichsthaliana,physical,EFFECTIVE,no,NOT_MEASURED,developmental_time,manuscript/supplementary/tables/TABLE_S3_MECHANISM_PATTERN_LEDGER.csv
