study_id,source_frame,source_article_doi,source_dataset_doi
Andaloetal2019,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Arizmendieetal1996,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Bergamo&Sazima2018,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Brodyetal2008,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Burkleetal_2007,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Caballeroetal_2013,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Carrio&Guemes2019,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Castroetal_2008,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Cuevas-Garciaetal2013,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Cuevas&Guerrero_2016,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Dedej&Delaplane_2005,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Dohzonoetal_2008,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Elyiahuetak2015,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Ferreiraetal2020,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Fumero-Caban&Melendez-Ackerman_2013,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Gelvez-Zuningaetal2016,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Gonzalez-Gomez&Valdivia_2005,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Goulsonetal_2007,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Heillingetal_2018,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Higashietal,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Irwin&Brody1999,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Irwin&Brody2000,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Irwinetal_2008,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Irwinetal2015,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Kaczorowskietal_2014,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Lara&Ornelas_2001,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Lasso&Naranjo_2003,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
MacDade&Weeks2004,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Mackinetal_2021,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Mallof_2001,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Mayeretal_2014,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
McDonald&Caruso2019,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Milet-Pinheiro&Schlindwein_2009,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Morris_1996,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Pelayoetal2011,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Pollato&Alves-Junior_2022,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Richardson_2004,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Richmanetal_2018,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Rojas-Nossaetal2016,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Saezetal_2017,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Santosetal2020,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Singhetal_2014,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Souzaetal_2019,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Tameles&Pan_2022,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Travesetetal1998,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Utelli&Roy2001,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Varma&Sinu2019,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Varmaetal2020,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Yeetal_2017,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Zhangetal_2009b,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Zhangetal_2010a,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Zhangetal_2014,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Zhangetal2007,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Zhangetal2009a,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Zhangetal2011,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
Zimmerman&Cook_1985,LEAL_2025_ROBBER_STUDIES,10.1002/ecy.70036,10.5281/zenodo.14773082
