study_id,screen_status,access_predictor,robbery_outcome,eligible,direction,source_identifier,notes
"Andaloetal2019","UNSCREENED","","","","","",""
"Arizmendieetal1996","UNSCREENED","","","","","",""
"Bergamo&Sazima2018","UNSCREENED","","","","","",""
"Brodyetal2008","UNSCREENED","","","","","",""
"Burkleetal_2007","UNSCREENED","","","","","",""
"Caballeroetal_2013","UNSCREENED","","","","","",""
"Carrio&Guemes2019","UNSCREENED","","","","","",""
"Castroetal_2008","ELIGIBLE_DIRECTION_EXPOSED","flower size / correlated corolla traits","robbing frequency","YES","MIXED","10.1007/s11284-008-0481-5","Polygala vayredae; positive size-robbery relation in one of three populations."
"Cuevas-Garciaetal2013","UNSCREENED","","","","","",""
"Cuevas&Guerrero_2016","UNSCREENED","","","","","",""
"Dedej&Delaplane_2005","UNSCREENED","","","","","",""
"Dohzonoetal_2008","UNSCREENED","","","","","",""
"Elyiahuetak2015","UNSCREENED","","","","","",""
"Ferreiraetal2020","UNSCREENED","","","","","",""
"Fumero-Caban&Melendez-Ackerman_2013","UNSCREENED","","","","","",""
"Gelvez-Zuningaetal2016","UNSCREENED","","","","","",""
"Gonzalez-Gomez&Valdivia_2005","UNSCREENED","","","","","",""
"Goulsonetal_2007","UNSCREENED","","","","","",""
"Heillingetal_2018","UNSCREENED","","","","","",""
"Higashietal","UNSCREENED","","","","","",""
"Irwin&Brody1999","UNSCREENED","","","","","",""
"Irwin&Brody2000","UNSCREENED","","","","","",""
"Irwinetal_2008","UNSCREENED","","","","","",""
"Irwinetal2015","UNSCREENED","","","","","",""
"Kaczorowskietal_2014","UNSCREENED","","","","","",""
"Lara&Ornelas_2001","ELIGIBLE_DIRECTION_EXPOSED","corolla length relative to hummingbird bill/access","robbery versus legitimate nectar extraction","YES","POSITIVE","10.1007/s004420100640","Direct experimental/natural route-switching study; included in discovery corpus."
"Lasso&Naranjo_2003","UNSCREENED","","","","","",""
"MacDade&Weeks2004","UNSCREENED","","","","","",""
"Mackinetal_2021","UNSCREENED","","","","","",""
"Mallof_2001","UNSCREENED","","","","","",""
"Mayeretal_2014","UNSCREENED","","","","","",""
"McDonald&Caruso2019","UNSCREENED","","","","","",""
"Milet-Pinheiro&Schlindwein_2009","UNSCREENED","","","","","",""
"Morris_1996","UNSCREENED","","","","","",""
"Pelayoetal2011","UNSCREENED","","","","","",""
"Pollato&Alves-Junior_2022","UNSCREENED","","","","","",""
"Richardson_2004","UNSCREENED","","","","","",""
"Richmanetal_2018","UNSCREENED","","","","","",""
"Rojas-Nossaetal2016","ELIGIBLE_DIRECTION_EXPOSED","flower length and other protection/access traits","proportion of flowers robbed","YES","POSITIVE","10.1111/oik.02685","88 species across four communities; included in discovery corpus."
"Saezetal_2017","UNSCREENED","","","","","",""
"Santosetal2020","UNSCREENED","","","","","",""
"Singhetal_2014","UNSCREENED","","","","","",""
"Souzaetal_2019","UNSCREENED","","","","","",""
"Tameles&Pan_2022","UNSCREENED","","","","","",""
"Travesetetal1998","UNSCREENED","","","","","",""
"Utelli&Roy2001","UNSCREENED","","","","","",""
"Varma&Sinu2019","UNSCREENED","","","","","",""
"Varmaetal2020","UNSCREENED","","","","","",""
"Yeetal_2017","UNSCREENED","","","","","",""
"Zhangetal_2009b","UNSCREENED","","","","","",""
"Zhangetal_2010a","UNSCREENED","","","","","",""
"Zhangetal_2014","UNSCREENED","","","","","",""
"Zhangetal2007","UNSCREENED","","","","","",""
"Zhangetal2009a","UNSCREENED","","","","","",""
"Zhangetal2011","UNSCREENED","","","","","",""
"Zimmerman&Cook_1985","UNSCREENED","","","","","",""
