candidate_id,source,status,fauna,public_data,access_trait_available,route_outcome_available,multi_plant_multi_visitor,reason
Xiao_2022_Mucuna_sempervirens,10.1111/1749-4877.12603,DISCOVERY_EXPOSED_NOT_CONFIRMATORY,Mammalia_mixed_with_Aves,supplementary_only,unclear,yes,no,"Outcome direction/behavior pattern exposed before freeze; one focal plant prevents the preferred cross-pair mismatch estimand."
GonzalezCastro_2024_lizard,10.26786/1920-7603(2024)777,DISCOVERY_EXPOSED_NOT_CONFIRMATORY,Reptilia_mixed_with_Insecta,unclear,no,yes,no,"Outcome behavior exposed before freeze; no continuous visitor-plant access mismatch network."
DinizAguiar_2023_bat_flower,10.1038/s41598-023-29965-3,DISCOVERY_EXPOSED_NOT_CONFIRMATORY,Mammalia,yes,yes,no,yes,"Morphology and interaction network are public, but route outcome is interaction occurrence rather than legitimate-versus-bypass use; Results were also inspected before freeze."
Venter_2026_baobab,10.1093/botlinnean/boaf085,DISCOVERY_EXPOSED_NOT_CONFIRMATORY,Mammalia_mixed_with_Lepidoptera,yes,yes,partial,no,"Direction/behavior descriptions exposed before freeze and one focal plant species does not supply the frozen visitor×plant mismatch network."
Mucuna_macrocarpa_Dryad,10.5061/dryad.nt71r49,DISCOVERY_EXPOSED_NOT_CONFIRMATORY,Mammalia,yes,unclear,yes,no,"Search result exposed outcome information before freeze; one focal plant and explosive-opening system do not cleanly provide the frozen continuous mismatch network."
Marcgravia_longifolia_Zenodo,10.5281/zenodo.10527420,INELIGIBLE_SCHEMA,Mammalia_mixed_with_Aves_Lepidoptera,yes,no,no,no,"Repository metadata provide visit counts by animal group/stratum but no legitimate-versus-bypass route coding."
Moth_network_Dryad,10.5061/dryad.gxd2547xh,INELIGIBLE_FAUNA,Insecta,yes,yes,no,yes,"Rich morphology/network data but third-fauna gate excludes Insecta and route coding is not the frozen bypass outcome."
MaguinaConde_2024_bat_trait_matching,10.7291/D1QX26,INELIGIBLE_NO_ROUTE_OUTCOME,Mammalia,yes,yes,no,yes,"Multiple bat and plant species with tongue/flower-depth traits, but pollen/diet interaction data do not distinguish legitimate versus bypass flower use; search snippet also exposed ecological direction."
Caatinga_bat_flower_network,10.5061/dryad.v9s4mw6w7,INELIGIBLE_NO_ROUTE_OUTCOME,Mammalia,yes,unclear,no,yes,"Independent multi-species bat-flower network, but repository schema does not encode legitimate-versus-bypass flower-use events."
Pantanal_bat_flower_network,10.5061/dryad.b5mkkwhs0,INELIGIBLE_NO_ROUTE_OUTCOME,Mammalia,yes,no,no,yes,"Multi-species network is structured around pollen protein/amino-acid rewards, not mechanical access mismatch or bypass route."
NeoBat_interactions,10.5281/zenodo.13468732,INELIGIBLE_DATA_AND_OUTCOME,Mammalia,restricted,no,no,yes,"Large bat-plant compilation, but files are restricted in the surfaced Zenodo record and interaction type is nectarivory/frugivory rather than legitimate-versus-bypass access."
Kigelia_bat_bushbaby_visitors,10.5061/dryad.05qfttf1v,INELIGIBLE_PLANT_RICHNESS,Mammalia_mixed,yes,unclear,partial,no,"Direct visitor observations but one focal plant species; fails frozen >=5 plant-species network gate."
Yungas_bat_pollination,10.5061/dryad.9s4mw6mqc,INELIGIBLE_PLANT_RICHNESS,Mammalia,yes,unclear,partial,no,"Plant-centered bat survey contains three focal plant species; fails frozen >=5 plant-species gate and does not supply the frozen bypass outcome."
Cneorum_Podarcis,10.5061/dryad.2ngf1vhj1,INELIGIBLE_NETWORK_SIZE,Reptilia,yes,no,no,no,"One lizard species interacting with one focal plant; fails visitor and plant richness gates."
Grizzled_giant_squirrel_feeding,10.5061/dryad.gtht76hsq,INELIGIBLE_VISITOR_RICHNESS,Mammalia,yes,no,no,yes,"Many plant species but one squirrel species and plant-part feeding rather than route-resolved floral access."
Lemur_individual_plant_network,10.5061/dryad.sxksn03b4,INELIGIBLE_RESPONSE_AND_VISITOR_RICHNESS,Mammalia,yes,no,no,yes,"Three lemur species across many plant individuals; frugivory/seed-dispersal network, not flower access routing, and <5 visitor species."
Ring_tailed_lemur_diet,10.5061/dryad.1vhhmgqqs,INELIGIBLE_VISITOR_RICHNESS,Mammalia,yes,no,no,yes,"One lemur species diet compilation; no legitimate-versus-bypass floral route and fails >=5 visitor-species gate."
Flower_eDNA_multitaxon,10.5061/dryad.pg4f4qrv5,INELIGIBLE_ROUTE_OUTCOME,Mammalia_mixed_with_Aves_Insecta,yes,no,no,yes,"Seven plant species and mixed animal detections, but eDNA presence does not encode legitimate-versus-bypass use and mammal breadth is insufficient."
