candidate_id,citation_year,plant_or_dataset,cohort,D_axis_or_rule,antagonist_outcome,pollinator_outcome,pre_outcome_architecture,eligibility,reason,doi_or_source
ER2026,2026,Erica spp.,holdout,corolla_length,nectar_robbing_rate,pollination_rate,SEPARATED_geometry,INCLUDE_HOLDOUT_COMPARATIVE,"27 populations from 12 bird-pollinated species; same population-level models include robbing and pollination; one independent publication cluster",10.1111/1365-2435.70276
CA2023,2023,Caryopteris divaricata,systematic_expansion,corolla_tube_length_and_reward_state,nectar_robbing_intensity,legitimate_visitation_and_seed_production,UNCLEAR_NEEDS_PREOUTCOME_ADJUDICATION,INCLUDE_MATCHED_SYSTEM,"same population measures trait variation, robbing, legitimate visitation, seed production, and robber exclusion; architecture direction should not be back-coded from observed sign",10.1016/j.pld.2022.11.002
AU2026,2026,Northern_Andes_plant_bird_network,network_validation,bird_bill_minus_flower_tube_trait_barrier,nectar_robbing_vs_legitimate_route,legitimate_interaction_route,PREDEFINED_TRAIT_BARRIER,INCLUDE_NETWORK_VALIDATION,"public interaction-level camera-trap dataset; trait barrier is explicitly defined from bill and flower tube length; independent network-scale test rather than matched-D study",10.1002/oik.11552
MC2021,2021,Erica spp.,systematic_expansion,floral_stickiness,nectar_robbing,not_directly_manipulated_pollinator_response,UNCLEAR,EXCLUDE_STRICT_STAGE2,"added stickiness reduces robbing but direct pollinator response to the same manipulation is not measured",10.1007/s10265-021-01299-z
PA2026,2026,Paederia foetida,holdout,floral_tube_glandular_hairs,ant_deep_entry,pollinator_response_not_measured,OVERLAPPED,EXCLUDE_CURRENT_STAGE2,"strong antagonist manipulation but no direct pollinator response; retained as a falsifier queue item",repository_holdout_queue
AN2025,2025,Anemone coronaria,holdout,simulated_petal_damage,florivory_or_damage_context,pollinator_visitation,NOT_A_DEFENCE_D,EXCLUDE_PRIMARY_D,"damage manipulation is antagonist pressure rather than a defence/access trait; existing BITA audit retains it as context only",10.1111/plb.13744
VA2016,2016,synthetic_nectar_microbe_assays,systematic_expansion,nectar_secondary_compounds,microbial_antagonist_or_competitor_response,pollinator_consumption,MIXED_COMPOUND_ARTIFICIAL,EXCLUDE_PRIMARY_MATCHED_PLANT,"mechanistically useful but artificial/mixed compounds do not identify one biological plant D axis for the primary corpus",10.1890/15-0858.1
LE2013,2013,artificial_bumblebee_flower_system,systematic_expansion,nectar_guide_signal,nectar_robbing_mode,legitimate_foraging_mode,SIGNAL_AXIS_NOT_D,EXCLUDE_PRIMARY_D,"strong functional-mode result but focal axis is a signal/guide rather than a validated antagonist-reducing defence trait",10.1007/s00265-013-1606-z
PH2011,2011,Phlox paniculata,systematic_expansion,floral_terpene_ant_repellent,Lasius_ant_repellence,flying_visitor_visitation_and_duration,SEPARATED_susceptibility,INCLUDE_MATCHED_SYSTEM,"same flower-specific terpene manipulation directly changes ant repellence while outdoor flying visitors mainly hoverflies show no detected treatment discrimination; null-compatible not equivalence",10.1007/s10886-011-0043-0
KB2019,2019,Nicotiana attenuata BA linked program,linked_program,benzylacetone,Diabrotica_florivory,Manduca_pollination_service_in_linked_2016_experiment,SEPARATED_time,INCLUDE_LINKED_PROGRAM_NOT_STRICT,"same BA axis strongly deters florivory and improves Manduca pollination service, but antagonist and pollinator outcomes are split across linked primary papers; frozen same-study matched-D strict count is not incremented","10.1111/1365-2435.13332; 10.7554/eLife.15039"
AL2006,2006,Aloe vryheidensis,targeted_search,nectar_phenolics,unwanted_nectarivore_rejection,effective_short_billed_bird_tolerance,SEPARATED_susceptibility,EXCLUDE_STRICT_ANTAGONIST_GATE,"same chemical filter differentiates visitor groups, but rejected nectarivores are not demonstrated to impose the focal antagonist fitness loss required by the matched-D gate",10.1890/0012-9658(2006)87[2709:DBNFAA]2.0.CO;2
PE2013,2013,Petunia hybrida,targeted_search,floral_volatile_bouquet,generalist_florivore_damage,pollinator_attraction,COMPOUND_PARTITION_NOT_SAME_D,EXCLUDE_SAME_D,"transgenic work supports defensive and attractive bouquet components, but defensive isoeugenol/benzyl-benzoate and pollinator-attracting components are not one focal D axis",10.1111/ele.12038
