parameter,channel,scenario_id,form_id,grid_points,prior_low,prior_high,prior_sensitive_points,prior_sensitive_fraction,relative_half_width,settled_points,settled_fraction,value_of_information
attraction_tracking,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,3,162,1.000000,0.1,138,0.851852,0.851852
attraction_tracking,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,3,162,1.000000,0.25,120,0.740741,0.740741
attraction_tracking,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,3,162,1.000000,0.5,90,0.555556,0.555556
attraction_tracking,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,3,162,1.000000,1,18,0.111111,0.111111
floral_defence_efficacy,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,1,144,0.888889,0.1,138,0.851852,0.740741
floral_defence_efficacy,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,1,144,0.888889,0.25,120,0.740741,0.629630
floral_defence_efficacy,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,1,144,0.888889,0.5,90,0.555556,0.444444
floral_defence_efficacy,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,1,144,0.888889,1,18,0.111111,0.000000
defence_pollinator_cost,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,3,138,0.851852,0.1,147,0.907407,0.759259
defence_pollinator_cost,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,3,138,0.851852,0.25,129,0.796296,0.648148
defence_pollinator_cost,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,3,138,0.851852,0.5,123,0.759259,0.611111
defence_pollinator_cost,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,3,138,0.851852,1,60,0.370370,0.222222
attraction_gain,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,3,144,0.888889,0.1,147,0.907407,0.796296
attraction_gain,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,3,144,0.888889,0.25,129,0.796296,0.685185
attraction_gain,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,3,144,0.888889,0.5,117,0.722222,0.611111
attraction_gain,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,3,144,0.888889,1,54,0.333333,0.222222
attraction_defence_shared_cost,direct_joint_cost_kappa,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,1,126,0.777778,0.1,153,0.944444,0.722222
attraction_defence_shared_cost,direct_joint_cost_kappa,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,1,126,0.777778,0.25,129,0.796296,0.574074
attraction_defence_shared_cost,direct_joint_cost_kappa,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,1,126,0.777778,0.5,126,0.777778,0.555556
attraction_defence_shared_cost,direct_joint_cost_kappa,low_tracking_low_obstruction_low_shared_cost,baseline,162,0,1,126,0.777778,1,123,0.759259,0.537037
attraction_tracking,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,3,162,1.000000,0.1,143,0.882716,0.882716
attraction_tracking,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,3,162,1.000000,0.25,129,0.796296,0.796296
attraction_tracking,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,3,162,1.000000,0.5,79,0.487654,0.487654
attraction_tracking,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,3,162,1.000000,1,18,0.111111,0.111111
floral_defence_efficacy,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,1,144,0.888889,0.1,143,0.882716,0.771605
floral_defence_efficacy,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,1,144,0.888889,0.25,129,0.796296,0.685185
floral_defence_efficacy,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,1,144,0.888889,0.5,79,0.487654,0.376543
floral_defence_efficacy,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,1,144,0.888889,1,18,0.111111,0.000000
defence_pollinator_cost,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,3,129,0.796296,0.1,153,0.944444,0.740741
defence_pollinator_cost,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,3,129,0.796296,0.25,141,0.870370,0.666667
defence_pollinator_cost,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,3,129,0.796296,0.5,117,0.722222,0.518519
defence_pollinator_cost,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,3,129,0.796296,1,70,0.432099,0.228395
attraction_gain,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,3,130,0.802469,0.1,153,0.944444,0.746914
attraction_gain,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,3,130,0.802469,0.25,139,0.858025,0.660494
attraction_gain,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,3,130,0.802469,0.5,114,0.703704,0.506173
attraction_gain,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,3,130,0.802469,1,65,0.401235,0.203704
attraction_defence_shared_cost,direct_joint_cost_kappa,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,1,126,0.777778,0.1,155,0.956790,0.734568
attraction_defence_shared_cost,direct_joint_cost_kappa,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,1,126,0.777778,0.25,144,0.888889,0.666667
attraction_defence_shared_cost,direct_joint_cost_kappa,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,1,126,0.777778,0.5,135,0.833333,0.611111
attraction_defence_shared_cost,direct_joint_cost_kappa,low_tracking_low_obstruction_low_shared_cost,saturating_attraction,162,0,1,126,0.777778,1,122,0.753086,0.530864
attraction_tracking,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_defence,162,0,3,156,0.962963,0.1,156,0.962963,0.925926
attraction_tracking,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_defence,162,0,3,156,0.962963,0.25,132,0.814815,0.777778
attraction_tracking,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_defence,162,0,3,156,0.962963,0.5,102,0.629630,0.592593
attraction_tracking,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_defence,162,0,3,156,0.962963,1,39,0.240741,0.203704
floral_defence_efficacy,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_defence,162,0,1,123,0.759259,0.1,156,0.962963,0.722222
floral_defence_efficacy,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_defence,162,0,1,123,0.759259,0.25,132,0.814815,0.574074
floral_defence_efficacy,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_defence,162,0,1,123,0.759259,0.5,102,0.629630,0.388889
floral_defence_efficacy,antagonist_relief_rho,low_tracking_low_obstruction_low_shared_cost,saturating_defence,162,0,1,123,0.759259,1,39,0.240741,0.000000
defence_pollinator_cost,mutualist_interference_iota,low_tracking_low_obstruction_low_shared_cost,saturating_defence,162,0,3,135,0.833333,0.1,156,0.962963,0.796296
