study_id,plant_taxon,source,A_status,D_status,trait_factorial_status,total_AxD_status,G_toggle_status,P_toggle_status,M0_delta_status,independent_kappa_status,highest_recoverable_layer,primary_blocker,frontier_face,next_major_augmentation,remaining_gates_after_next_step,conditional_partial_id_note
Gorden_Adler_2018_Impatiens_capensis,Impatiens capensis,10.1002/ajb2.1182,observed_flower_redness,observed_floral_tannins,no_trait_randomization,observational_AxD_unresolved,randomized_intensity_addition_not_exclusion,randomized_intensity_addition_not_exclusion,not_identified,no,total_interaction_plus_randomized_context_modification,A_and_D_not_randomized_and_no_selective_consumer_toggles,randomized_context_anchor,randomize_and_cross_valid_A_and_D_and_replace_intensity_additions_with_selective_G_P_toggles,M0_delta;four_way_separability;independent_kappa_assay,observational_AxD_target_intervals_cross_zero_so_no_sign_resolved_biotic_balance_from_current_data
Kessler_Gase_Baldwin_2008_Nicotiana,Nicotiana attenuata,10.1126/science.1160072,manipulated_floral_BA,manipulated_nicotine_candidate,full_2x2_A_D_like_factorial,discrete_sign_positive_formal_uncertainty_unresolved,no,no,not_identified,no,direct_discrete_trait_interaction,systemic_D_scope_plus_no_crossed_selective_consumer_toggles,direct_trait_factorial_anchor,resolve_flower_specific_D_scope_and_add_crossed_selective_G_P_toggles_to_existing_AxD_backbone,M0_delta;four_way_separability;independent_kappa_assay,published_rounded_probability_Delta_AD=+0.19_to_+0.25;conditional_on_same_scale_kappa>=0_biotic_balance_rho_minus_iota>=+0.19;aggregate_constraint_not_confidence_bound
Irwin_Adler_2006_Gelsemium,Gelsemium sempervirens,10.3732/ajb.93.1.64,measured_pollination_associated_floral_traits,measured_gelsemine_nectar_chemistry,no,no_AxD_term,no,no,not_identified,no,joint_A_D_measurement,no_AxD_and_no_consumer_interventions,joint_trait_observational,experimentally_cross_attraction_traits_with_nectar_gelsemine_on_common_reproductive_outcome,selective_G_P_toggles;M0_delta;four_way_separability;independent_kappa_assay,no_total_AxD_in_current_audit
Gross_Sun_Schiestl_2016_Gymnadenia,Gymnadenia odoratissima,10.1371/journal.pone.0147975,measured_total_floral_scent,absent,no,no_D_axis,no,no,not_identified,no,A_to_antagonism_only,no_distinct_D_axis,single_A_axis,add_distinct_independently_manipulable_flower_associated_D_and_cross_with_scent,common_AxD_outcome;selective_G_P_toggles;M0_delta;four_way_separability;independent_kappa_assay,no_valid_D_axis
Dalechampia_linked_panel_candidate,Dalechampia spp.,historical_candidate,plausible_attraction_axis,plausible_defence_axis,no,not_identifiable,no,no,not_identified,no,study_level_candidate,individual_level_linkage_not_verified,unresolved_candidate,verify_individual_level_A_D_linkage_and_common_outcome_before_any_mechanistic_allocation,crossed_A_D_manipulation;selective_G_P_toggles;M0_delta;four_way_separability;independent_kappa_assay,individual_level_linkage_not_verified
Strauss_Irwin_2004_Raphanus,Raphanus sativus,10.1111/j.1365-2745.2004.00843.x,petal_colour_context,glucosinolate_defence_context,no,no_direct_AxD_fitness_term,no,no,not_identified,no,joint_trait_architecture,no_direct_AxD_common_outcome,joint_trait_observational,put_petal_colour_and_defence_on_common_within_system_AxD_fitness_factorial,selective_G_P_toggles;M0_delta;four_way_separability;independent_kappa_assay,no_direct_AxD_common_outcome
Gronquist_2001_Hypericum,Hypericum calycinum,10.1073/pnas.231471698,same_pigment_axis,same_pigment_axis,no_distinct_axes,no_distinct_A_D_interaction,no,no,not_identified,no,dual_function_single_trait,A_and_D_are_not_distinct_coordinates,nonseparable_single_trait,choose_distinct_attraction_and_defence_coordinates_before_testing_AxD,crossed_A_D_manipulation;common_outcome;selective_G_P_toggles;M0_delta;four_way_separability;independent_kappa_assay,A_and_D_are_same_trait_axis
Kessler_2015_Nicotiana,Nicotiana attenuata,10.7554/eLife.07641,manipulated_benzylacetone,manipulated_nectar_reward_axis,full_2x2_flower_phenotype,no_strict_AxD_because_D_invalid,no,no,not_identified,no,factorial_phenotype_near_miss,second_axis_is_reward_not_independent_defence,phenotype_factorial_invalid_D,replace_nectar_reward_axis_with_independently_justified_antagonist_reducing_D_while_retaining_2x2_floral_phenotype,shared_reproductive_AxD;selective_G_P_toggles;M0_delta;four_way_separability;independent_kappa_assay,second_axis_is_reward_not_valid_D
Santangelo_2019_Trifolium,Trifolium repens,10.1111/jeb.13392,measured_floral_display_traits,whole_plant_HCN_defence,defence_x_agent_factorial_with_trait_interactions,floral_trait_x_HCN_terms_present,herbivory_manipulated,pollination_context_present_but_not_trait_factorial_toggle,not_identified,no,cross_organ_trait_by_defence_interaction,D_not_flower_specific_and_A_not_manipulated,cross_organ_trait_defence,use_flower_specific_D_and_manipulate_A_on_same_floral_coordinates,strict_flower_AxD_factorial;selective_P_toggle;M0_delta;four_way_separability;independent_kappa_assay,current_D_is_whole_plant_and_A_is_not_manipulated
Egan_2021_Fragaria,Fragaria vesca,10.1002/evl3.262,measured_attraction_related_traits,leaf_defence_metabolites,no_A_D_trait_factorial,no_A_trait_x_D_trait_term,herbivory_presence_absence,pollination_open_vs_hand,not_identified,no,consumer_agent_factorial_with_trait_selection,A_D_not_manipulated_and_D_leaf_specific,consumer_factorial_anchor,cross_independently_manipulable_flower_specific_A_and_D_onto_existing_consumer_factorial_backbone,M0_delta;four_way_separability;independent_kappa_assay,consumer_factorial_exists_but_focal_A_D_are_not_crossed_and_D_is_leaf_specific
Garcia_2024_Asclepias,Asclepias syriaca,10.26786/1920-7603(2024)758,measured_floral_attraction_traits,measured_flower_specific_latex,no,main_effects_only,no,no,not_identified,no,same_individual_A_D_measurement,no_AxD_term_and_no_consumer_toggles,joint_trait_observational,add_experimental_AxD_cross_on_common_outcome_to_flower_specific_latex_system,selective_G_P_toggles;M0_delta;four_way_separability;independent_kappa_assay,current_data_have_main_effects_only
Knauer_Schiestl_2017_Brassica,Brassica rapa,10.1007/s10682-016-9878-8,measured_attractive_floral_signals,absent,no,no_D_axis,antagonist_context,pollinator_context,not_identified,no,A_multiroute_selection,no_distinct_D_axis,single_A_multiroute,add_distinct_flower_associated_D_axis_and_cross_with_attraction_signals,common_AxD_outcome;selective_G_P_toggles;M0_delta;four_way_separability;independent_kappa_assay,no_distinct_D_axis
Strauss_1999_Brassica,Brassica rapa,10.1111/j.1558-5646.1999.tb04525.x,measured_floral_display_traits,whole_plant_myrosinase_resistance,defence_selection_regime_x_damage,no_flower_A_trait_x_D_trait_term,herbivore_damage_manipulated,pollinator_use_observed,not_identified,no,cross_organ_ecological_cost,D_not_flower_specific_and_A_not_manipulated,cross_organ_consumer_context,replace_whole_plant_D_with_flower_specific_D_and_manipulate_A_within_existing_damage_context,strict_flower_AxD_factorial;selective_P_toggle;M0_delta;four_way_separability;independent_kappa_assay,current_D_is_whole_plant_and_A_is_not_manipulated
Hanley_2009_Hakea,Hakea spp.,10.1111/j.1469-8137.2008.02709.x,comparative_flower_colour_pollination_syndrome,comparative_floral_cyanide_plus_physical_defence,no,comparative_covariation_only,no,no,not_identified,no,comparative_A_D_covariance,no_within_system_AxD_or_consumer_intervention,comparative_joint_trait_covariance,move_comparative_A_D_covariance_to_within_system_crossed_AxD_manipulation,common_reproductive_outcome;selective_G_P_toggles;M0_delta;four_way_separability;independent_kappa_assay,comparative_covariation_only
Kessler_2013_Petunia,Petunia x hybrida,10.1111/ele.12038,transgenic_attractive_scent_components,transgenic_defensive_scent_components,component_specific_lines_not_crossed_A_D,no_common_outcome_AxD,no,no,not_identified,no,component_partitioning,attractive_and_defensive_components_not_crossed_on_common_outcome,component_partitioning_not_crossed,cross_attractive_and_defensive_scent_components_in_same_plants_on_common_outcome,selective_G_P_toggles;M0_delta;four_way_separability;independent_kappa_assay,component_specific_lines_are_not_crossed_A_D
