hypothesis_id,scientific_target,required_evidence,current_evidence,current_status,positive_answer,claim_ceiling,next_valid_gate,source_basis
ER1,Does a single attraction coordinate create a pollinator-antagonist conflict?,paired one-trait responses and common fitness geometry,separate SCH target with five A-to-pollination and eight A-to-antagonism constituent clusters,OUT_OF_SCOPE_MOTIVATION,The attraction-side biological ingredients recur in BITA's route ledger,BITA does not test the one-trait shared-cue hypothesis,Use the SCH four-field and evolutionary-outcome audits,docs/HYPOTHESIS_RECOVERY_MAP.md
ER2,Can a distinct flower-associated D reduce antagonist access or loss?,source-adjudicated D-to-antagonism interventions or contrasts,eighteen independent D-to-antagonism clusters plus recurrent experimental chemical and physical anchors,ACHIEVED_MARGINAL_RECURRENCE,Flower-associated defensive routes repeatedly reduce antagonist access use or damage,Marginal D effects are not the A-dependent relief interaction rho_delta,Estimate D effects across the same randomized A levels,empirical/mechanism_pattern_synthesis/MECHANISM_FIRST_UNIVERSALITY_READOUT_V9.md
ER3,Can D preserve pollination while reducing antagonists?,matched antagonist and pollinator responses under the same D contrast,guarded selective states recur and route geometry retrospectively distinguishes separated overlapped and bypassable systems,ACHIEVED_RECURRENT_SWITCHING_RULE,Selective defence without equivalent pollinator loss is a recurrent empirical state,Retrospective small-N recurrence is not prevalence or a prospective law,Prospectively code geometry before outcomes and replicate matched common-outcome contrasts,empirical/mechanism_pattern_synthesis/MECHANISM_FIRST_UNIVERSALITY_READOUT_V9.md
ER4,Does the defence effect on antagonist loss depend on A?,same-scale A-by-D interaction in antagonist-mediated loss under selective intervention,channel-specific crossed anchors exist but no complete screened system closes the declared relief contrast,PARTIAL_CHANNEL_ANCHORS,Existing systems demonstrate pieces of A-dependent antagonist relief,No realized rho_delta is point-identified for a complete system,Add selective antagonist contrasts to a declared A-by-D factorial,docs/QUESTION_METHOD_EXPLANATION_MATRIX.md
ER5,Does D erode the pollinator return to A?,same-scale A-by-D interaction in pollinator-mediated benefit under selective intervention,Kessler trait factorials show pollinator-context-dependent channel interaction signs,PARTIAL_CHANNEL_ANCHORS,Pollinator interference is empirically variable rather than universally forced,Channel-specific M_AD-like contrasts are not total iota_delta allocation,Add selective pollinator contrasts on the same A-by-D cells,empirical/mechanism_pattern_synthesis/MECHANISM_FIRST_UNIVERSALITY_READOUT_V9.md
ER6,Is the total A-by-D reproductive interaction identified?,same-scale randomized or defensibly modeled A-by-D factorial on a common reproductive outcome,Kessler 2008 manipulates BA and nicotine in a direct two-by-two field factorial with common reproductive outcomes and a positive aggregate interaction sign; registered aggregate enumeration keeps probability Delta above +0.171 across denominator-ratio profiles through 3.0 but source day-level uncertainty is inaccessible; Impatiens has uncertainty-bearing observational estimates that cross zero,DIRECT_FACTORIAL_SIGN_POSITIVE_FORMAL_UNCERTAINTY_UNRESOLVED,A manipulated attraction-by-defence-like common reproductive surface and robust positive aggregate sign are now recovered,Aggregate pooled-binomial sensitivity is not the source day-stratified interaction CI and systemic nicotine silencing is not perfectly flower-specific,Run the registered Stage-1 Kessler-type replication: central planning benchmark 154 observations per trait cell / 616 total at 80-percent power under design effect 1.5 and 90-percent retention; use 250 per cell / 1000 total for the attenuated Delta=0.17 scenario,empirical/identification_design/KESSLER_TYPE_REPLICATION_POWER_V1.json
ER7,Are rho_delta and iota_delta separately identified?,selective A-by-D-by-antagonist-by-pollinator contrasts with stable coordinates baseline handling and separability check,zero of sixteen screened systems closes all dimensions,NOT_ACHIEVED_ZERO_OF_SIXTEEN,BITA identifies the exact missing intersection and minimum augmentation,No complete-system channel values are recovered,After Stage 1 estimate channel-scale pilot effects on the same A-by-D coordinates then power selective consumer contrasts from those pilot effects rather than from the total Kessler Delta,docs/KESSLER_TYPE_REPLICATION_AND_AUGMENTATION_V1.md
ER8,Is the remaining joint cost kappa_delta independently identified?,independent same-scale A-by-D cost or allocation assay,zero strict estimates after the registered saturated search,NOT_ACHIEVED_ZERO_STRICT,The absence of a strict assay is a documented empirical-identifiability result,Unmeasured does not mean zero and a residual is not automatically cost,Run an independent biotically standardized joint-channel assay,empirical/mechanism_pattern_synthesis/JOINT_COST_READOUT_V1.md
ER9,Does D provide a net escape route from the one-trait constraint?,a same-scale total A-by-D reproductive interaction with uncertainty wholly above zero or an equivalent valid channel reconstruction,Kessler provides a manipulated sign-positive common reproductive factorial but source-design uncertainty is not recovered and aggregate logit intervals can cross zero; Impatiens provides uncertainty-bearing observational endpoints that also cross zero,UNRESOLVED_TOTAL_SIGN_CURRENT_EVIDENCE,The escape inequality is algebraically decidable from a valid uncertainty-bearing total interaction and Kessler now supplies the strongest positive manipulated sign anchor,No screened system yet supplies a defensible source-or-design-based total A-by-D interval wholly above zero; Kessler formal uncertainty and mechanism allocation remain unresolved,Resolve source uncertainty by the registered Kessler-type Stage-1 replication and classify the resulting interval as ESCAPE_IDENTIFIED / ESCAPE_REFUTED / ESCAPE_UNRESOLVED before mechanism allocation,docs/KESSLER_TYPE_REPLICATION_AND_AUGMENTATION_V1.md
ER10,Can the escape-route hypothesis be made experimentally decidable?,identified-set algebra partial bounds separability diagnostic and minimum augmentation,framework implementation and tests cover interaction detection partial identification escape-sign classification point-identification requirements and a prospective replication planner,ACHIEVED_METHOD_RESULT,BITA turns an unallocated trade-off claim into separate outcome-decision and mechanism-allocation tests and now supplies an executable staged augmentation plan,A design prescription or power calculation is not empirical confirmation of the escape condition,Execute Stage 1 first then use pilot channel effects to plan the selective consumer and independent-cost stages,docs/KESSLER_TYPE_REPLICATION_AND_AUGMENTATION_V1.md
