study_cluster_id,D_axis_id,context_id,source_provenance_path,architecture_basis_path,outcome_basis_path
Catalpa_1982,nectar_iridoid_glycosides,thieves_vs_legitimate_pollinators,empirical/mechanism_pattern_synthesis/CATALPA_1982_MATCHED_SELECTIVITY_EFFECTS_V1.md,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,empirical/mechanism_pattern_synthesis/CATALPA_1982_MATCHED_SELECTIVITY_EFFECTS_V1.md
Pedicularis_2015,water_filled_bract,seed_predator_vs_robber_pollinator,empirical/mechanism_pattern_synthesis/PEDICULARIS_2015_MATCHED_SELECTIVITY_EFFECTS_V1.md,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,empirical/mechanism_pattern_synthesis/PEDICULARIS_2015_MATCHED_SELECTIVITY_EFFECTS_V1.md
Thunia_2024,spur_enclosing_bract,robbery_vs_legitimate_pollination,empirical/mechanism_pattern_synthesis/THUNIA_2024_MATCHED_SELECTIVITY_EFFECTS_V1.md,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,empirical/mechanism_pattern_synthesis/THUNIA_2024_MATCHED_SELECTIVITY_EFFECTS_V1.md
Codonopsis_2021,slippery_wax_surface,ants_vs_hornet_pollinator,empirical/mechanism_pattern_synthesis/TAKEDA_2021_SLIPPERY_PERIANTH_AUDIT_V1.md,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,empirical/mechanism_pattern_synthesis/PHYSICAL_GEOMETRY_SELECTIVITY_AUDIT_V1.md
Chrysothemis_2007,water_calyx,preanthesis_moth_vs_postanthesis_pollination,empirical/mechanism_pattern_synthesis/CHRYSOTHEMIS_TEMPORAL_PHYSICAL_SELECTIVITY_AUDIT_V1.md,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,empirical/mechanism_pattern_synthesis/CHRYSOTHEMIS_TEMPORAL_PHYSICAL_SELECTIVITY_AUDIT_V1.md
Bejaria_2022,floral_stickiness,florivores_vs_insect_mutualists,empirical/mechanism_pattern_synthesis/BEJARIA_SURFACE_DEFENCE_BOUNDARY_AUDIT_V1.md,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,empirical/mechanism_pattern_synthesis/BEJARIA_2022_FLORAL_STICKINESS_AUDIT_V1.md
Polemonium_2011,2PE_chemical,moderate_vs_high_dose,empirical/mechanism_pattern_synthesis/POLEMONIUM_2011_DOSE_SELECTIVITY_AUDIT_V1.md,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md
Aconitum_2017,nectar_alkaloids,robber_vs_legitimate_pollinator_dose,empirical/mechanism_pattern_synthesis/ACONITUM_2017_SELECTIVITY_WINDOW_AUDIT_V1.md,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,empirical/mechanism_pattern_synthesis/ACONITUM_2017_SELECTIVITY_WINDOW_AUDIT_V1.md
Asclepias_program,cardenolides,single_bout_vs_extended_exposure,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md
Gelsemium_program,gelsemine,robber_and_pollinators_high_dose,empirical/mechanism_pattern_synthesis/GELSEMIUM_2005_D_TO_ANTAGONISM_READOUT_V1.md,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md
Nicotiana_2007,nectar_repellent,pollinator_response_stage,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md
Salvia_boundary,calyx_barrier_candidate,nectar_robber_bypass,empirical/mechanism_pattern_synthesis/PHYSICAL_SELECTIVITY_REPLICATION_AND_BOUNDARY_V1.md,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,empirical/mechanism_pattern_synthesis/PHYSICAL_SELECTIVITY_REPLICATION_AND_BOUNDARY_V1.md
Ipomopsis_2004,nectar_access_resistance,bumblebee_robber_vs_hummingbird_pollinator,empirical/mechanism_pattern_synthesis/IPOMOPSIS_2004_SELECTIVITY_AUDIT_V1.md,empirical/mechanism_pattern_synthesis/IPOMOPSIS_2004_SELECTIVITY_AUDIT_V1.md,empirical/mechanism_pattern_synthesis/IPOMOPSIS_2004_SELECTIVITY_AUDIT_V1.md
Impatiens_2018,floral_condensed_tannins,natural_florivory_vs_pollinator_visitation,empirical/mechanism_pattern_synthesis/LEDGER_BATCH_2_V1.csv,empirical/mechanism_pattern_synthesis/LEDGER_BATCH_2_V1.csv,empirical/mechanism_pattern_synthesis/LEDGER_BATCH_2_V1.csv
Caryopteris_2023,short_corolla_robber_filter,natural_robbing_context,empirical/floral_defence_selectivity/CARYOPTERIS_2023_SYSTEMATIC_SOURCE_AUDIT_V1.md,empirical/floral_defence_selectivity/CARYOPTERIS_2023_SYSTEMATIC_SOURCE_AUDIT_V1.md,empirical/floral_defence_selectivity/CARYOPTERIS_2023_SYSTEMATIC_SOURCE_AUDIT_V1.md
Erica_2026,long_corolla_bee_barrier,bee_robbing_vs_sunbird_pollination,empirical/floral_defence_selectivity/ERICA_2026_HOLDOUT_SOURCE_AUDIT_V1.md,empirical/floral_defence_selectivity/ERICA_2026_HOLDOUT_SOURCE_AUDIT_V1.md,empirical/floral_defence_selectivity/ERICA_2026_HOLDOUT_SOURCE_AUDIT_V1.md
