study_cluster_id,publication_id,plant_taxon,D_axis_id,context_id,derivation_or_holdout,source_provenance_path,pre_outcome_domain_code,separating_coordinate,defence_modality,antagonist_guild,pollinator_guild,observational_or_experimental,architecture_basis_path,architecture_code_origin,antagonist_outcome_type,antagonist_effect_direction,antagonist_uncertainty_class,pollinator_outcome_type,pollinator_response_stage,pollinator_effect_direction,pollinator_uncertainty_class,pollinator_cost_state,source_supported_preservation,source_inference,outcome_basis_path,defence_efficacy_state,pollinator_cost_state_derived
Catalpa_1982,Stephenson_1982,Catalpa speciosa,nectar_iridoid_glycosides,thieves_vs_legitimate_pollinators,derivation,empirical/mechanism_pattern_synthesis/CATALPA_1982_MATCHED_SELECTIVITY_EFFECTS_V1.md,SEPARATED,susceptibility,chemical,nectar_thieves,legitimate_bees,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,historical_derivation,reward_consumption,suppressed,DIRECTION_SUPPORTED,reward_consumption,consumption,no_detected_change,NULL_COMPATIBLE,NO_DETECTED_CHANGE,false,strong thief suppression; legitimate pollinator consumption estimate near zero,empirical/mechanism_pattern_synthesis/CATALPA_1982_MATCHED_SELECTIVITY_EFFECTS_V1.md,EFFECTIVE,NO_DETECTED_CHANGE
Pedicularis_2015,Sun_Huang_2015,Pedicularis rex,water_filled_bract,seed_predator_vs_robber_pollinator,derivation,empirical/mechanism_pattern_synthesis/PEDICULARIS_2015_MATCHED_SELECTIVITY_EFFECTS_V1.md,SEPARATED,attack_route,physical,seed_predators_and_nectar_robbers,bumblebee_pollinators,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,historical_derivation,seed_predation,suppressed,DIRECTION_SUPPORTED,legitimate_pollinator_visitation,arrival,no_detected_change,NULL_COMPATIBLE,NO_DETECTED_CHANGE,false,seed predation strongly reduced; robbers bypass barrier; pollinator visitation null-compatible,empirical/mechanism_pattern_synthesis/PEDICULARIS_2015_MATCHED_SELECTIVITY_EFFECTS_V1.md,EFFECTIVE,NO_DETECTED_CHANGE
Thunia_2024,Wu_Gao_2024,Thunia alba,spur_enclosing_bract,robbery_vs_legitimate_pollination,derivation,empirical/mechanism_pattern_synthesis/THUNIA_2024_MATCHED_SELECTIVITY_EFFECTS_V1.md,SEPARATED,functional_mode,physical,nectar_robbing_mode,Bombus_breviceps,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,historical_derivation,robbed_flower_fraction,suppressed,DIRECTION_SUPPORTED,pollinia_transfer_and_fruit_set,function,improved,DIRECTION_SUPPORTED,PRESERVED_OR_IMPROVED,true,robbery strongly reduced while legitimate pollinia transfer and fruit set increased,empirical/mechanism_pattern_synthesis/THUNIA_2024_MATCHED_SELECTIVITY_EFFECTS_V1.md,EFFECTIVE,PRESERVED_OR_IMPROVED
Codonopsis_2021,Takeda_2021,Codonopsis lanceolata,slippery_wax_surface,ants_vs_hornet_pollinator,derivation,empirical/mechanism_pattern_synthesis/TAKEDA_2021_SLIPPERY_PERIANTH_AUDIT_V1.md,SEPARATED,geometry,physical,nectar_thieving_ants,hornet_pollinator,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,historical_derivation,ant_entry,suppressed,DIRECTION_SUPPORTED,direct_D_to_pollination,not_measured_directly,unresolved,UNRESOLVED,UNRESOLVED,false,slippery surfaces reduce ant entry; pollinator foothold geometry is described but direct D-to-pollination effect is not identified,empirical/mechanism_pattern_synthesis/PHYSICAL_GEOMETRY_SELECTIVITY_AUDIT_V1.md,EFFECTIVE,UNRESOLVED
Chrysothemis_2007,Carlson_Harms_2007,Chrysothemis friedrichsthaliana,water_calyx,preanthesis_moth_vs_postanthesis_pollination,derivation,empirical/mechanism_pattern_synthesis/CHRYSOTHEMIS_TEMPORAL_PHYSICAL_SELECTIVITY_AUDIT_V1.md,SEPARATED,time,physical,preanthesis_specialist_moth,postanthesis_pollinators,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,historical_derivation,moth_oviposition_and_infestation,suppressed,DIRECTION_SUPPORTED,direct_D_to_pollination,not_measured_directly,unresolved,UNRESOLVED,UNRESOLVED,false,water calyx reduces preanthesis moth attack; temporal separation from pollination is mechanistic context rather than a direct pollinator effect,empirical/mechanism_pattern_synthesis/CHRYSOTHEMIS_TEMPORAL_PHYSICAL_SELECTIVITY_AUDIT_V1.md,EFFECTIVE,UNRESOLVED
Bejaria_2022,Chauta_2022,Bejaria resinosa,floral_stickiness,florivores_vs_insect_mutualists,derivation,empirical/mechanism_pattern_synthesis/BEJARIA_SURFACE_DEFENCE_BOUNDARY_AUDIT_V1.md,OVERLAPPED,geometry,physical,insect_florivores,insect_mutualists,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,historical_derivation,florivore_damage,suppressed,DIRECTION_SUPPORTED,direct_D_to_pollination,not_measured_directly,unresolved,UNRESOLVED,UNRESOLVED,false,stickiness removal increases florivory; primary source states pollination cost needs a different experiment,empirical/mechanism_pattern_synthesis/BEJARIA_2022_FLORAL_STICKINESS_AUDIT_V1.md,EFFECTIVE,UNRESOLVED
Polemonium_2011,Polemonium_2011_program,Polemonium viscosum,2PE_chemical,moderate_vs_high_dose,derivation,empirical/mechanism_pattern_synthesis/POLEMONIUM_2011_DOSE_SELECTIVITY_AUDIT_V1.md,TRANSITIONAL,dose,chemical,floral_antagonists,legitimate_pollinators,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,historical_derivation,antagonist_use,suppressed,DIRECTION_SUPPORTED,pollinator_visitation_and_pollination,dose_transition,mixed,DIRECTION_SUPPORTED,MIXED,false,moderate expression has no detected pollination cost while high expression reduces bumblebee visitation and pollination,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md,EFFECTIVE,MIXED
Aconitum_2017,Barlow_2017,Aconitum lycoctonum,nectar_alkaloids,robber_vs_legitimate_pollinator_dose,derivation,empirical/mechanism_pattern_synthesis/ACONITUM_2017_SELECTIVITY_WINDOW_AUDIT_V1.md,TRANSITIONAL,dose,chemical,nectar_robber,Bombus_hortorum,mixed,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,historical_derivation,robber_consumption,suppressed,DIRECTION_SUPPORTED,pollinator_visitation,dose_transition,mixed,DIRECTION_ONLY,MIXED,false,robber deterrence occurs at lower exposure than strong pollinator interference; common threshold ratio is not identified,empirical/mechanism_pattern_synthesis/ACONITUM_2017_SELECTIVITY_WINDOW_AUDIT_V1.md,EFFECTIVE,MIXED
Asclepias_program,Asclepias_cardenolide_program,Asclepias spp.,cardenolides,single_bout_vs_extended_exposure,derivation,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md,TRANSITIONAL,cumulative_exposure,chemical,floral_antagonist_context,bee_pollinators,mixed,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,historical_derivation,oviposition,suppressed,DIRECTION_SUPPORTED,pollinator_foraging,exposure_duration,mixed,DIRECTION_SUPPORTED,MIXED,false,short pollinator exposure is null-compatible while extended exposure produces deterrence; oviposition is reduced,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md,EFFECTIVE,MIXED
Gelsemium_program,Gelsemium_2005_program,Gelsemium sempervirens,gelsemine,robber_and_pollinators_high_dose,derivation,empirical/mechanism_pattern_synthesis/GELSEMIUM_2005_D_TO_ANTAGONISM_READOUT_V1.md,OVERLAPPED,dose,chemical,nectar_robbers,legitimate_pollinators,experimental,empirical/mechanism_pattern_synthesis/OUTCOME_BLIND_DOMAIN_MODERATOR_MATRIX_V1.csv,historical_derivation,robber_use,suppressed,DIRECTION_SUPPORTED,pollinator_use_and_male_function,high_dose,impaired,DIRECTION_SUPPORTED,IMPAIRED,false,high gelsemine deters robbers and most pollinators and reduces a male-reproduction proxy,empirical/mechanism_pattern_synthesis/EXPOSURE_THRESHOLD_SELECTIVITY_AUDIT_V1.md,EFFECTIVE,IMPAIRED
