candidate_id,citation_short,title,journal,year,doi,source_url,identifier_verification_status,candidate_trait_class,candidate_outcome_class,candidate_design_class,why_candidate,retrieval_status,blocking_reason
IOTA_Q001,Gegear et al. 2007,Ecological context influences pollinator deterrence by alkaloids in floral nectar,Ecology Letters,2007,10.1111/j.1461-0248.2007.01027.x,https://pubmed.ncbi.nlm.nih.gov/17498136/,doi_matches_committed_direction_record,chemical_barrier,pollinator_preference_or_foraging,manipulation,Already a committed abstract-level direction record (BPP1_R001); the title states an explicit ecological-context moderator.,not_retrieved,session_network_egress_blocked
IOTA_Q002,Delphinium barbeyi alkaloid manipulation,Nectar alkaloid manipulation and pollinator visitation in Delphinium barbeyi,Journal of Ecology,2014,10.1111/1365-2745.12144,,doi_matches_committed_direction_record,chemical_barrier,visitation_rate,manipulation,Committed abstract-level direction record (BPP1_R004) coded mixed; belongs to the visitation-rate stratum and tests whether the mixed code survives full text.,not_retrieved,session_network_egress_blocked
IOTA_Q003,Toxicoscordion nectar toxin study,Nectar chemistry and pollinator foraging in Toxicoscordion,Biological Journal of the Linnean Society,2021,10.1093/biolinnean/blaa159,,doi_matches_committed_direction_record,chemical_barrier,pollinator_preference_or_foraging,manipulation,Committed abstract-level direction record (BPP2_R001) in the focal stratum.,not_retrieved,session_network_egress_blocked
IOTA_Q004,Bird nectar alkaloid study 2013,Nectar alkaloids and avian nectarivore foraging,Journal of Avian Biology,2013,10.1111/j.1600-048x.2013.00079.x,,doi_matches_committed_direction_record,chemical_barrier,pollinator_preference_or_foraging,manipulation,Committed abstract-level direction record (BPP1_R003); supplies a non-bee pollinator functional group for the declared group moderator.,not_retrieved,session_network_egress_blocked
IOTA_Q005,Tiedeken et al. 2014,Bumblebees are not deterred by ecologically relevant concentrations of nectar toxins,Journal of Experimental Biology,2014,,https://journals.biologists.com/jeb/article/217/9/1620/13563,unverified_from_search_result,chemical_barrier,pollinator_preference_or_foraging,manipulation,Reports deterrence thresholds for five compounds against reported natural nectar concentrations; the primary source for the declared dose-realism moderator.,not_retrieved,session_network_egress_blocked
IOTA_Q006,Adler and Irwin 2005,Ecological costs and benefits of defenses in nectar,Ecology,2005,10.1890/05-0118,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/05-0118,doi_from_source_url,chemical_barrier,pollinator_preference_or_foraging,manipulation,Field manipulation of nectar alkaloid with pollinator and reproduction responses in the same system.,not_retrieved,session_network_egress_blocked
IOTA_Q007,Adler and Irwin 2012,Nectar alkaloids decrease pollination and female reproduction in a native plant,Oecologia,2012,10.1007/s00442-011-2153-3,https://link.springer.com/article/10.1007/s00442-011-2153-3,doi_from_source_url,chemical_barrier,pollinator_preference_or_foraging,manipulation,Field manipulation with a declared negative expectation; supplies a free-foraging field level for the assay-context moderator.,not_retrieved,session_network_egress_blocked
IOTA_Q008,Irwin and Adler 2008,Nectar secondary compounds affect self-pollen transfer,Ecology,2008,,https://pubmed.ncbi.nlm.nih.gov/18724731/,unverified_from_search_result,chemical_barrier,pollen_transfer,manipulation,Same manipulated trait measured on a pollen-transfer outcome layer; screens whether an outcome-layer stratum can also reach capacity.,not_retrieved,session_network_egress_blocked
IOTA_Q009,Vannette and Fukami 2016,Nectar microbes can reduce secondary metabolites in nectar and alter effects on nectar consumption by pollinators,Ecology,2016,,https://pubmed.ncbi.nlm.nih.gov/27459772/,unverified_from_search_result,chemical_barrier,pollinator_preference_or_foraging,manipulation,Manipulates the chemical barrier and an ecological context simultaneously; a direct within-study context contrast.,not_retrieved,session_network_egress_blocked
IOTA_Q010,Nicotine and bumblebee learning 2017,Nicotine in floral nectar pharmacologically influences bumblebee learning of floral features,Scientific Reports,2017,10.1038/s41598-017-01980-1,https://www.nature.com/articles/s41598-017-01980-1,doi_from_source_url,chemical_barrier,pollinator_preference_or_foraging,manipulation,Dose-dependent pollinator response to a nectar alkaloid; candidate for the continuous dose moderator.,not_retrieved,session_network_egress_blocked
IOTA_Q011,Anabasine context-dependent effects 2017,Context-dependent medicinal effects of anabasine and infection-dependent toxicity in bumble bees,PLOS ONE,2017,10.1371/journal.pone.0183729,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0183729,doi_from_source_url,chemical_barrier,pollinator_preference_or_foraging,manipulation,Explicit context dependence in the pollinator response to a nectar alkaloid; includes consumption endpoints.,not_retrieved,session_network_egress_blocked
IOTA_Q012,Nectar alkaloid repellence and attraction in Apis mellifera,Repellence and attraction of Apis mellifera foragers by nectar alkaloids,unverified,unverified,,https://www.researchgate.net/publication/301659193,unverified_from_search_result,chemical_barrier,pollinator_preference_or_foraging,manipulation,Title reports both repellence and attraction from the same compound class; a direct sign-reversal candidate.,not_retrieved,session_network_egress_blocked
IOTA_Q013,Heavy metals in nectar 2018,Heavy metals in nectar modify behaviors of pollinators and nectar robbers: consequences for plant fitness,Environmental Pollution,2018,,https://www.sciencedirect.com/science/article/abs/pii/S0269749117353848,unverified_from_search_result,chemical_barrier,pollinator_preference_or_foraging,manipulation,Separates legitimate pollinator from robber responses to the same nectar manipulation; relevant to the operational definition of the focal barrier trait.,not_retrieved,session_network_egress_blocked
IOTA_Q014,Floral stickiness 2022,Defensive functions and potential ecological conflicts of floral stickiness,Scientific Reports,2022,10.1038/s41598-022-23261-2,https://www.nature.com/articles/s41598-022-23261-2,doi_from_source_url,physical_barrier,pollinator_preference_or_foraging,manipulation,Physical-barrier counterpart of the focal stratum; screened to test whether the physical stratum can reach capacity separately.,not_retrieved,session_network_egress_blocked
IOTA_Q015,Salvia miltiorrhiza calyx manipulation 2022,Persistent calyces increase floral longevity and female fitness in Salvia miltiorrhiza,unverified,2022,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8903887/,unverified_from_search_result,physical_barrier,visitation_rate,manipulation,Calyx-shortening manipulation reporting no pollinator visitation effect; a declared null candidate for the physical stratum.,not_retrieved,session_network_egress_blocked
