outcome_lane,paper,effect_rows,pollinator_groups,paper_effect_hedges_g,sampling_variance,standard_error,ci_low,ci_high
visit length,Manson et al 2013,4,Bee,-0.6563965915,0.008576375554,0.09260872288,-0.837906353,-0.47488683
visit number,Adler and Irwin 2005,2,Bee,-0.2722556942,0.02608891342,0.1615206285,-0.5888303088,0.0443189204
visit number,Jones and Agrawal 2016,2,Bee;Lepidoptera,-0.03730789244,0.03864168282,0.1965748784,-0.4225875744,0.3479717895
visit number,Manson et al 2013,4,Bee,-0.5143301441,0.008379815996,0.0915413349,-0.6937478636,-0.3349124246
volume consumed,Johnson et al 2006,4,Bee;Bird,-1.063600573,0.02909582178,0.1705749741,-1.397921378,-0.7292797668
volume consumed,Kohler Pirk and Nicholson 2012,21,Bee,-1.161432815,0.024258787,0.1557523258,-1.466701764,-0.8561638655
volume consumed,Palmer-Young et al 2017,2,Bee,-0.3330315188,0.02435067985,0.1560470437,-0.6388781043,-0.02718493327
volume consumed,Vanette et al 2016,6,Bee;Bird;Other,-0.2640611863,0.0351011065,0.187352893,-0.6312661089,0.1031437363
volume consumed,Wright et al 2013,12,Bee,-0.4831647228,0.003494752968,0.05911643568,-0.5990308077,-0.367298638
volume consumed,Zhang et al 2016,6,Bee;Other,0.6547279386,0.08328431413,0.2885902184,0.08910150431,1.220354373
