study_id,doi,year,plant_or_assay_system,focal_compound_or_trait,pollinator_or_visitor,source_role_state,outcome_lane,dose_context,numeric_state,primary_pool_state,independence_cluster,source_locator,notes
Adler_Irwin_2005_Gelsemium,10.1890/05-0118,2005,Gelsemium_sempervirens,gelsemine_or_nectar_alkaloids,pollinators_and_nectar_robbers,source_verified_same_system_nectar_defence_and_pollinator_cost,visitation_rate_and_residence_and_pollen_analogue,"2002_supra_natural;2004_natural_range",natural_range_visitation_lnrr_recovered,primary_visitation_candidate,Adler_Irwin_2005_Gelsemium,author_hosted_article_DOI_10.1890/05-0118,"The experiment manipulates gelsemine as nectar defence and measures both nectar robbers and pollinators. Total pollinator visits are numerically recovered for both years; 2004 is the natural-range primary effect. Residence/proportion probed and pollen analogue remain separate outcomes."
Gegear_Manson_Thomson_2007,10.1111/j.1461-0248.2007.01027.x,2007,Gelsemium_sempervirens,defensive_nectar_alkaloid,Bombus_impatiens,verified_defensive_chemical,preference_choice_or_visitation,ecological_context_alternative_flowers,numeric_extraction_pending,primary_preference_candidate,Gegear_2007_Gelsemium,DOI_10.1111/j.1461-0248.2007.01027.x,"Publisher abstract explicitly identifies defensive chemicals in floral nectar and context-dependent pollinator deterrence. Full numerical contrasts are still required; alternative-flower context must remain a moderator/stratum."
Kessler_Baldwin_2007_Nicotiana,10.1111/j.1365-313X.2006.02995.x,2007,Nicotiana_attenuata,nicotine_and_other_nectar_repellents,"Manduca_sexta;hummingbirds;nectar_thief_ants",same_source_ant_filter_and_pollinator_response_but_compound_specific_B_gate_pending,mixed_visitation_residence_consumption,source_specific,partial_source_statistics_recovered,not_primary_until_compound_specific_B_gate,Kessler_Baldwin_2007_Nicotiana,publisher_full_text_DOI_10.1111/j.1365-313X.2006.02995.x,"The source shows nectar repellents reduce ant visitation and alter pollinator use, while nicotine is an efficient herbivore defence. However, visit number and residence/removal move in different directions, and the exact nicotine-to-antagonist link must be kept distinct before primary B pooling."
Manson_Cook_Gardner_Irwin_2013,10.1111/1365-2745.12144,2013,Delphinium_barbeyi,norditerpene_nectar_alkaloids,Bombus_spp,verified_chemically_defended_context,visitation_rate_and_time_per_flower,"0_to_4_ug_per_uL; natural_nectar_much_lower",partial_numeric_statistics_recovered,secondary_visitation_lane,Manson_2013_Delphinium,DOI_10.1111/1365-2745.12144,"Field effect occurs only at strongly elevated concentrations; natural/near-natural treatment produced no detected visitation or reproduction cost."
Jones_Agrawal_2016_Asclepias,10.1002/ecy.1483,2016,Asclepias_spp,toxic_nectar_secondary_compounds,mutualist_bees_and_antagonist_butterflies,high_priority_role_audit,foraging_or_consumption,field_relevant_context,numeric_extraction_pending,high_priority_joint_route_candidate,Jones_Agrawal_2016_Asclepias,DOI_10.1002/ecy.1483,"Potentially valuable because the same study explicitly includes mutualist bees and antagonist butterflies; audit for direct B-to-P and B-to-H effects and dependence."
Vannette_Fukami_2016,10.1890/15-0858.1,2016,synthetic_nectar,secondary_metabolites_modified_by_microbes,pollinators,role_audit_required,nectar_consumption,compound_x_microbe_context,numeric_extraction_pending,secondary_context_lane,Vannette_Fukami_2016,DOI_10.1890/15-0858.1,"Useful only if the focal compound independently satisfies the flower-specific antagonist-reduction role; preserve microbe interaction."
Barlow_Wright_et_al_2017_Aconitum,10.1016/j.cub.2017.07.012,2017,"Aconitum_napellus;Aconitum_lycoctonum",nectar_alkaloid_mixture,"Bombus_hortorum_pollinator;Bombus_terrestris_robber",source_verified_same_system_nectar_defence_and_pollinator_cost,field_visitation_continuous_association_and_robber_bioassay,field_natural_concentrations,field_model_statistics_recovered_raw_data_targeted,secondary_observational_visitation_lane,Barlow_2017_Aconitum,accepted_manuscript_and_figshare_DOI_10.6084_m9.figshare.5165350,"Strong strict-B source: Aconitum nectar alkaloids deter robbers at lower concentrations and pollinator visitation declines with alkaloid concentration. The field B-to-P relationship is observational rather than a treatment/control manipulation, so it is not pooled with Adler's manipulation lnRR. Raw Figshare data remain the preferred route for exact effect reconstruction."
Baracchi_Brown_Chittka_2017,10.1038/s41598-017-01980-1,2017,artificial_nectar,nicotine,Bombus_terrestris,defence_role_not_established_in_focal_experiment,binary_choice_preference,"1_ppm_natural_range;2.5_ppm_high_natural;50_ppm_supranatural",reported_t_df_n_recovered,exclude_primary_B_pool_until_role_verified,Baracchi_2017_nicotine,DOI_10.1038/s41598-017-01980-1,"Numerical preference effects are recovered from source-reported t and df, but the focal experiment does not itself establish a flower-specific antagonist-reduction role for nicotine. It remains outside the primary strict-B pool."
Villalona_Ezray_et_al_2020,10.1007/s00442-020-04701-0,2020,Asclepias_syriaca_and_ouabain_assays,cardenolides_or_ouabain,Bombus_spp,verified_toxic_defensive_context,preference_choice,"field_realistic_to_high_dose",partial_model_statistics_recovered,primary_preference_candidate,Villalona_2020_milkweed,DOI_10.1007/s00442-020-04701-0,"Field visitation and laboratory tolerance/avoidance are present; extract species-specific choice effects without treating species as independent studies."
Carlesso_et_al_2021,10.1038/s41598-021-90895-z,2021,artificial_nectar,non_protein_amino_acids,Apis_mellifera,no_independent_defence_role_found_yet,palatability_and_learning,experimental,numeric_extraction_possible,exclude_primary_B_pool_unless_role_verified,Carlesso_2021_NPAA,DOI_10.1038/s41598-021-90895-z,"Secondary-metabolite status alone is insufficient for B; currently retain outside primary B-to-P pool."
Jones_Warburton_Martin_2023,10.1111/oik.10103,2023,milkweed_relevant_artificial_flowers,ouabain_cardenolide,Bombus_impatiens,verified_defensive_toxin_context,free_flying_choice_and_consumption,"10_and_100_ng_per_uL_within_reported_milkweed_range",supporting_csv_available_not_yet_recovered,primary_preference_candidate,Jones_2023_ouabain,DOI_10.1111/oik.10103,"Primary publisher reports low-dose preference and high-dose cost within natural range. Supporting CSV is publicly listed and should be used rather than digitizing figures."
Burger_et_al_2024,10.1242/jeb.246156,2024,specialized_wasp_pollination_system,nectar_cardenolides,specialized_wasp_and_honeybee,role_and_legitimate_pollinator_mapping_required,feeding_or_preference,system_specific,numeric_extraction_pending,hold_out_of_primary_pool,Burger_2024_cardenolides,DOI_10.1242/jeb.246156,"Potential filtering/specialization case; do not pool until the legitimate-pollinator role and defence role are explicit for each consumer."
