trial,year,species,dose_ng_per_uL,dose_context,n_paired_bees,mean_high_B_total_uL,mean_control_total_uL,paired_mean_difference_uL,paired_sd_difference_uL,ratio_of_group_means,descriptive_direction,selection_rule,analysis_status,independence_cluster
Trial 1,2018,Bombus bimaculatus,25.0,within_reported_natural_range,10,193.0083333,170.25,22.75833333,120.939841,1.133675967,higher_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 1,2018,Bombus bimaculatus,100.0,upper_reported_natural_range,10,129.08,170.25,-41.17000001,97.26829284,0.7581791482,lower_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 1,2018,Bombus bimaculatus,1000.0,supra_natural_toxicity_range,10,147.675,170.25,-22.57500001,131.2043951,0.867400881,lower_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 1,2018,Bombus griseocollis,25.0,within_reported_natural_range,10,465.7083333,384.9000001,80.80833326,111.3412065,1.209946306,higher_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 1,2018,Bombus griseocollis,100.0,upper_reported_natural_range,10,372.2666667,384.9000001,-12.63333336,140.2753091,0.9671776218,lower_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 1,2018,Bombus griseocollis,1000.0,supra_natural_toxicity_range,10,5.966666673,384.9000001,-378.9333334,181.3947753,0.01550186197,lower_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 1,2018,Bombus impatiens,25.0,within_reported_natural_range,10,224.5166666,169.7833333,54.7333333,271.8637628,1.32237165,higher_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 1,2018,Bombus impatiens,100.0,upper_reported_natural_range,10,235.325,169.7833333,65.54166664,162.4786892,1.386031216,higher_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 1,2018,Bombus impatiens,1000.0,supra_natural_toxicity_range,10,52.825,169.7833333,-116.9583333,160.1395189,0.3111318347,lower_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 2,2019,Bombus bimaculatus,25.0,within_reported_natural_range,8,348.5416667,427.2916667,-78.75,541.3552218,0.8156996587,lower_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 2,2019,Bombus bimaculatus,100.0,upper_reported_natural_range,8,430.2083333,427.2916667,2.916666675,543.2948058,1.006825939,higher_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 2,2019,Bombus griseocollis,25.0,within_reported_natural_range,8,474.0625,408.2291666,65.83333333,662.5599703,1.161265629,higher_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 2,2019,Bombus griseocollis,100.0,upper_reported_natural_range,8,534.2708333,408.2291666,126.0416667,182.2183356,1.308752233,higher_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 2,2019,Bombus impatiens,25.0,within_reported_natural_range,8,498.9583333,356.3541667,142.6041667,134.6846976,1.400175387,higher_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 2,2019,Bombus impatiens,100.0,upper_reported_natural_range,8,335.1041667,356.3541667,-21.25,239.7741993,0.9403683133,lower_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 3,2019,Bombus griseocollis,1000.0,supra_natural_toxicity_range,10,40.40666667,1303,-1262.593333,287.8619572,0.03101048862,lower_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
Trial 3,2019,Bombus impatiens,1000.0,supra_natural_toxicity_range,10,185.3333333,306.9166667,-121.5833333,150.6131757,0.6038555525,lower_consumption_at_higher_B,"all nonzero doses versus the simultaneous 0 ng/uL control, summed within bee across 0-72 h",descriptive_secondary_consumption_lane_not_pooled,Villalona_2020_milkweed
