record_id,study_id,study_cluster_id,doi,taxon,route,trait_role,trait_class,outcome_class,design_class,source_basis,reported_direction,is_primary_sign_record,record_status,context_note,coder_id,coding_date
CB1_R001,Impatiens_ecs2_1326,unresolved_Impatiens_ecs2_1326_panel,10.1002/ecs2.1326,Impatiens capensis,B_to_antagonism,B,chemical_barrier,floral_antagonism_response,observational,crossref_deposited_abstract,negative,true,included_for_direction_map,"Pretreatment floral anthocyanins and condensed tannins were associated with reduced floral antagonisms; abstract aggregates florivory, larceny, and spiders.",assistant_abstract_screen,2026-07-01
CB1_R002,Cosmos_bipinnatus_s11284_011_0908_2,Cosmos_bipinnatus_s11284_011_0908_2_panel,10.1007/s11284-011-0908-2,Cosmos bipinnatus,A_to_pollination,A,visual_signal,visitation_rate,observational,crossref_deposited_abstract,mixed,true,included_for_direction_map,"Colour morphs differed in visitation, while display-size response includes more capitula probed but a greater unvisited proportion; no monotone high-vs-low visual ordering.",assistant_abstract_screen,2026-07-01
CB1_R003,Anemone_coronaria_plb_13744,Anemone_coronaria_plb_13744_panel,10.1111/plb.13744,Anemone coronaria,A_to_antagonism,A,visual_signal,floral_damage_proportion,observational,crossref_deposited_abstract,mixed,true,included_for_direction_map,"Red flowers had more petal damage than purple but not a uniform ordered difference across all colour morphs or damage types.",assistant_abstract_screen,2026-07-01
CB1_R004,Achillea_ptarmica_1991_display,Achillea_ptarmica_1991_display_panel,10.1111/j.1600-0587.1991.tb00651.x,Achillea ptarmica,A_to_pollination,A,display,visitation_rate,comparative,crossref_deposited_abstract,positive,true,included_for_direction_map,"Larger inflorescences attracted more pollinators and pollinators visited more heads.",assistant_abstract_screen,2026-07-01
CB1_R005,Eurya_japonica_2010_defense,Eurya_japonica_2010_defense_panel,10.1111/j.1600-0706.2010.18585.x,Eurya japonica,B_to_antagonism,B,chemical_barrier,florivore_abundance,comparative,crossref_deposited_abstract,negative,true,included_for_direction_map,"Female calyces had more phenolics/tannins; moths preferred male buds and larvae did not survive on female buds.",assistant_abstract_screen,2026-07-01
CB1_R006,Castilleja_oik_09708,Castilleja_oik_09708_panel,10.1111/oik.09708,"Castilleja purpurea complex; Castilleja sessiliflora",A_to_pollination,A,visual_signal,visitation_rate,observational,crossref_deposited_abstract,mixed,true,included_for_direction_map,"Trait associations differ among pollinator functional groups and populations; abstract does not define one monotone visual effect.",assistant_abstract_screen,2026-07-01
CB1_R007,hoverfly_network_peerj6025,hoverfly_network_peerj6025_panel,10.7717/peerj.6025,multispecies grassland network,A_to_pollination,A,display,visitation_rate,observational,crossref_deposited_abstract,mixed,true,included_for_direction_map,"Relative visitation increased with plant height and showed inflorescence-size interactions across hoverfly subfamilies; colour response is subfamily-specific.",assistant_abstract_screen,2026-07-01
CB1_R008,Polemonium_viscosum_1988_quality,Polemonium_viscosum_1988_quality_panel,10.1002/j.1537-2197.1988.tb13514.x,Polemonium viscosum,A_to_pollination,A,scent,pollen_transfer,observational,crossref_deposited_abstract,mixed,true,included_for_direction_map,"Sweet versus skunky scent associations with outcross-pollen quantity and purity reverse or strengthen with pollinator assemblage context.",assistant_abstract_screen,2026-07-01
BPP1_R001,Gelsemium_sempervirens_2007_alkaloid,Gelsemium_sempervirens_2007_alkaloid_panel,10.1111/j.1461-0248.2007.01027.x,Gelsemium sempervirens,B_to_pollination,B,chemical_barrier,pollinator_preference_or_foraging,manipulation,crossref_deposited_abstract,negative,true,included_for_direction_map,"Nectar alkaloid is explicitly described as a defensive compound; captive bumblebee behavior tended toward reduced visitation, with magnitude dependent on alternative-flower context.",assistant_abstract_screen,2026-07-01
BPP1_R002,Petunia_ele_12038,Petunia_ele_12038_panel,10.1111/ele.12038,Petunia x hybrida,B_to_antagonism,B,chemical_barrier,floral_damage_proportion,manipulation,crossref_deposited_abstract,negative,true,included_for_direction_map,"Transgenic lines altered release of floral volatile components; some components prevented florivory and reduced damage. Abstract has no pollinator outcome.",assistant_abstract_screen,2026-07-01
BPP1_R003,bird_nectar_alkaloid_2013,bird_nectar_alkaloid_2013_panel,10.1111/j.1600-048x.2013.00079.x,"Cinnyris talatala; Pycnonotus tricolor; Zosterops virens",B_to_pollination,B,chemical_barrier,pollinator_preference_or_foraging,manipulation,crossref_deposited_abstract,negative,true,included_for_direction_map,"Nicotine in artificial nectar is described as an anti-herbivore defensive secondary metabolite; increased nicotine reduced feeding frequency and duration in sunbirds, with species and sucrose-context variation.",assistant_abstract_screen,2026-07-01
BPP1_R004,Delphinium_barbeyi_2014_alkaloid,Delphinium_barbeyi_2014_alkaloid_panel,10.1111/1365-2745.12144,Delphinium barbeyi,B_to_pollination,B,chemical_barrier,visitation_rate,manipulation,crossref_deposited_abstract,mixed,true,included_for_direction_map,"Field and laboratory nectar-alkaloid additions reduced bumblebee visits and time per flower only at concentrations far above natural nectar; natural-range treatments had no demonstrated cost.",assistant_abstract_screen,2026-07-01
BPP2_R001,Toxicoscordion_blaa159,Toxicoscordion_blaa159_panel,10.1093/biolinnean/blaa159,Toxicoscordion paniculatum,B_to_pollination,B,chemical_barrier,pollinator_preference_or_foraging,manipulation,crossref_deposited_abstract,negative,true,included_for_direction_map,"Pollen and nectar contain steroidal alkaloid zygacine; biologically relevant syrup doses induced prolonged irritation, paralysis, and subsequent deterrence of naive generalist Osmia lignaria foraging. The primary sign reflects the controlled foraging assay, not the five-state visitor survey.",assistant_abstract_screen,2026-07-01
