audit_id,study_id,doi,plant_taxon,source_state,A_axis,D_axis,joint_outcome,direct_AxD_term_status,D_role_status,linkage_status,tier_decision,reason,next_action
AXD001,Gorden_Adler_2018_Impatiens_capensis,10.1002/ajb2.1182,Impatiens capensis,dryad_workflow_rerun_verified,early-season flower redness,early-season floral condensed tannins,CH fruits per plant per day; seeds per CH fruit,verified_two_component_interaction_terms,linked_same_species_observational_floral_defence_role,individual_plant,Tier1_observational,"A_z:D_z is explicitly fit on two reproductive components. D role is supported by linked same-species evidence that floral condensed tannins are associated with lower nectar robbing/thieving/florivory. Trait effects remain observational and both interaction CIs overlap zero.",retain_as_first_direct_interaction_cluster
AXD002,Irwin_Adler_2006_Gelsemium,10.3732/ajb.93.1.64,Gelsemium sempervirens,primary_fulltext_model_audit,floral traits associated with distyly/pollination,gelsemine nectar chemistry,visitor outcomes,no_AxD_term_verified,defence_role_biologically_supported,same_individual_trait_measurements,Not_Tier1,"Models include separate trait main effects and trait-by-site/morph terms rather than an attraction-by-defence interaction. Joint measurement alone is insufficient.",retain_as_Tier2_candidate_if_same_system_routes_are_extractable
AXD003,Gross_Sun_Schiestl_2016_Gymnadenia_odoratissima,10.1371/journal.pone.0147975,Gymnadenia odoratissima,exact_dryad_row_linkage_verified,total floral scent,none_declared,eaten flowers per total flowers,no_D_axis,not_applicable,1162_exact_individual_links,Not_Tier1,"Strong quantitative A-to-antagonism effect exists, but no distinct D trait is available in the linked panel.",retain_as_Tier3_A_to_antagonism
AXD004,Dalechampia_linked_panel_candidate,,Dalechampia spp.,historical_documentation_audit,floral attraction/resin context,defence/resin context,candidate reproductive/visitor outcomes,not_identifiable,biological_roles_plausible,cross_file_individual_linkage_not_verified,Not_Tier1,"Historical audit found no defensible collection identifiers linking bee-response data to the floral trait matrix. No guessed linkage is allowed.",retain_as_evidence_gap_until_public_linkage_is_recovered
AXD005,Strauss_Irwin_2004_Raphanus,10.1111/j.1365-2745.2004.00843.x,Raphanus sativus,primary_fulltext_verified,petal colour polymorphism,glucosinolate defence architecture,trait/defence responses,no_direct_AxD_fitness_term_verified,defence_role_supported,study_level_joint_trait_context,Not_Tier1,"The paper links pollinator-associated floral colour with defence architecture but does not identify the direct A x D reproductive interaction or shared allocation cost needed for Tier 1 or kappa.",retain_as_joint_trait_architecture_context
AXD006,Gronquist_et_al_2001_Hypericum,10.1073/pnas.231471698,Hypericum calycinum,primary_fulltext_verified,UV floral pattern,hypercalin_A_defensive_pigment_chemistry,caterpillar feeding,no_distinct_A_and_D_axes,defensive_function_verified,same_trait_dual_function,Not_Tier1,"Signal and defence roles are carried by the same pigment chemistry, not two declared focal axes. Dual-function single-trait evidence cannot instantiate an A x D interaction.",retain_as_Tier4_role_overlap_case
AXD007,Kessler_et_al_2015_Nicotiana,10.7554/eLife.07641,Nicotiana attenuata,primary_fulltext_plus_public_supplement_audited,benzylacetone floral scent production,nectar production/removal reward axis,Manduca oviposition; pollinator-mediated seed production,fully_crossed_2x2_but_no_reported_factorial_interaction_term,reward_axis_not_independently_justified_as_defence,experimental_genotype_cells,Not_Tier1,"RNAi independently silences scent (CHAL) and nectar production (SWEET9), including the double-silenced cross, but the second axis is a pollinator reward rather than an independently justified flower-specific defence/access trait. The paper compares four lines with Friedman/pairwise tests rather than an uncertainty-bearing scent x nectar interaction. Public supplement audit run 31457174360/artifact 9088554499 recovered only three TIFF figure supplements and no raw Figure-2 outcome table. Reclassifying no-nectar as D solely because it reduces oviposition would violate the orientation gate.",retain_as_Tier2_same_system_A_tracking_and_consumer_identity_case
AXD008,Santangelo_Thompson_Johnson_2019_Trifolium,10.1111/jeb.13392,Trifolium repens,primary_fulltext_model_verified,banner petal width and length plus reproductive display traits,cyanogenic HCN antiherbivore defence,relative reproductive fitness under crossed herbivory and pollination,"verified floral_trait_x_HCN terms and floral_trait_x_HCN_x_herbivory interactions",defence_function_verified_but_whole_plant_not_flower_specific,clonal_genotype_factorial_common_garden,Not_Tier1_strict_flower_D,"This is a genuine near-direct interaction design: e.g. banner width x HCN x herbivory P=0.014 and banner length x HCN x herbivory P=0.046. However HCN is a Mendelian whole-plant antiherbivore defence rather than a separately demonstrated flower-specific D axis under the active protocol. Treating it as strict floral D would silently relax the organ gate.",retain_as_cross_organ_near_direct_sensitivity_case
AXD009,Egan_Muola_Parachnowitsch_Stenberg_2021_Fragaria,10.1002/evl3.262,Fragaria vesca,primary_fulltext_model_verified,"plant size; flower number; frost tolerance; inflorescence density","five defence-related metabolites from leaf metabolomics",total seed output,trait_x_pollination_and_trait_x_herbivory_context_terms_but_no_A_trait_x_D_trait_term,defence_function_bioassay_supported_but_leaf_specific,common_garden_genotype_panel,Not_Tier1,"The full model estimates how pollination and herbivory alter selection on each of nine attraction/defence traits. Defence metabolites came from leaf sampling and only 27 genotypes had metabolomic data. No attraction-trait x defence-trait interaction is specified; ecological-agent interactions are not equivalent to A x D.",retain_as_context_dependent_selection_background
AXD010,Garcia_Dow_Vezina_Parachnowitsch_2024_Asclepias,10.26786/1920-7603(2024)758,Asclepias syriaca,primary_article_page_plus_full_article_method_text_verified,"plant/inflorescence size; petal width; nectar reward traits",floral latex and leaf latex,"pollinia insertion/removal; fruit production",original_selection_models_main_effects_only_and_no_AxD_term,floral_latex_is_flower_specific_defence_candidate,same_natural_population_individuals,Not_Tier1,"This source passes the organ and individual-linkage gates unusually well because floral latex is measured separately from leaf latex on the same plants as floral attraction traits. However the published phenotypic-selection model contains the ten standardized trait main effects only. The authors state that they lacked statistical power to detect non-linear selection and excluded those analyses. Adding petal-width x floral-latex or another correlational-selection term now would therefore be an unplanned post-hoc model rather than recovery of a source-identified A x D effect. No florivory was observed, so the ecological driver of positive selection on floral latex also remains unresolved.",close_direct_AxD_route_retain_as_high_information_joint_trait_selection_case
