cluster_id,doi,plant_taxon,a_regime,d_regime,context_axis,source_state,confidence,direct_axd_state,theory_compatibility,interpretation,notes
Adler_Irwin_2005_Gelsemium,10.1890/05-0118,Gelsemium sempervirens,not_applicable,context_switching,reward_context_x_dose,primary_fulltext_plus_reconstructed_pollinator_effect,high,not_tested,conditional_pollinator_interference,"Nectar gelsemine reduces robber exploitation and can reduce legitimate pollinator use/preference, but reward compensation and natural-versus-supra-natural concentration alter the magnitude or detectability of pollinator cost.","Robber entry and within-plant exploitation are distinct decision stages. Do not collapse high-gelsemine and reward-compensated assays into one D state."
Barlow_et_al_2017_Aconitum,10.1016/j.cub.2017.07.012,Aconitum lycoctonum and Aconitum napellus,not_applicable,guarded_window_then_interference,consumer_role_x_dose_threshold,primary_fulltext_plus_article_declared_figshare_reconstruction,high,not_tested,antagonist_relief_precedes_strong_pollinator_interference,"Aconitum nectar alkaloids produce large B. terrestris consumption deterrence by the 20-ppm checkpoint, whereas the source places the sharp B. hortorum visitation decline around roughly 200–380 ppm.","Raw lab dose cells support the low antagonist threshold. Deposited field visitation remains negatively associated with alkaloids but the exact source-model subset is unresolved; qualitative threshold ordering is source-verified."
Galen_2011_Polemonium,10.1086/657993,Polemonium viscosum,not_applicable,guarded_window_then_interference,trait_expression_or_dose,primary_fulltext_verified,high,not_tested,antagonist_relief_precedes_pollinator_interference,"Floral 2-phenylethanol deters damaging ants; moderate expression increases nectar standing crop without detected pollination cost, whereas high expression reduces bumblebee visitation and pollination.","Ordered expression levels support a guarded window before pollinator interference rather than one universal D-to-pollinator sign."
Gorden_Adler_2018_Impatiens_capensis,10.1002/ajb2.1182,Impatiens capensis,unresolved,unresolved,outcome_scale_x_route_uncertainty,title_validated_dryad_workflow_rerun,low,direct_but_unresolved,no_stable_marginal_regime_identified,"All four marginal routes are estimable in one individual-plant panel, but their confidence intervals cross zero and the D-to-antagonism point estimate is opposite to the expected defence direction. The direct A×D reproductive-component estimates also have opposite point signs with both CIs crossing zero.","Keep as the unique strict direct-A×D cluster but do not force a guarded/interference or shared-tracking label from unresolved slopes."
Irwin_Adler_Brody_2004_Ipomopsis,10.1890/03-0390,Ipomopsis aggregata,not_applicable,guarded,consumer_role,repository_fulltext_verified,high,not_tested,antagonist_relief_without_detected_pollinator_cost,"More dilute nectar is associated with reduced bumblebee nectar robbing while legitimate hummingbird pollinators show no detected deterrence in the same focal system.","This is an explicit same-system counterexample to universal pollinator interference; no claim is made that rho exceeds iota because route effects are on different endpoints."
Jones_Agrawal_2016_Asclepias,10.1002/ecy.1483,Asclepias spp.,not_applicable,context_switching,exposure_duration_x_antagonist_outcome,primary_fulltext_verified,high,not_tested,conditional_guarded_to_interference_states,"Nectar cardenolides reduce monarch oviposition but not monarch flower foraging; bumblebees show no avoidance in a single bout at the highest natural concentration, whereas colony-level deterrence emerges after several days.","Both exposure duration and antagonist response construct alter the observed D state, so a single ordered dose-window label is less defensible than context_switching."
Kessler_Baldwin_2007_Nicotiana,10.1111/j.1365-313X.2006.02995.x,Nicotiana attenuata,not_applicable,response_construct_mixed,pollinator_response_construct,primary_fulltext_verified,high,not_tested,simultaneous_antagonist_relief_and_metric_specific_pollinator_effects,"Nectar-repellent chemistry reduces nectar-thieving ant visitation. For legitimate pollinators, the same chemical context reduces residence time and nectar removal yet can increase visit number.","Visit number and use intensity have opposite signs within one experiment; generic pollinator-response pooling would destroy the mechanism."
Kessler_et_al_2015_Nicotiana,10.7554/eLife.07641,Nicotiana attenuata,context_switching,not_applicable,pollinator_identity_x_shared_tracking,primary_open_fulltext_verified,high,not_eligible_distinct_D,consumer_specific_shared_tracking,"Benzylacetone scent increases M. sexta pollinator-mediated seed production and also increases M. sexta oviposition, establishing shared tracking for that consumer. Hyles lineata pollination shows little scent dependence, so the A-side regime changes with pollinator identity.","The fully crossed scent×nectar phenotype is not strict direct A×D because nectar removal is a reward restriction rather than an independently justified defence axis."
Theis_Adler_2012_Cucurbita,10.1890/11-0825.1,Cucurbita pepo var. texana,antagonist_biased,not_applicable,consumer_role,primary_fulltext_verified,high,not_tested,attraction_signal_disproportionately_tracks_antagonists,"Experimentally enhanced floral fragrance increases florivore attraction but does not produce a detected increase in pollinator attraction in the same experiment; seed production declines under the enhanced-fragrance treatment context.","Because both consumer routes were tested, the absence of a detected pollinator increase is informative rather than missing evidence."
Theis_et_al_2014_Cucurbitaceae,10.3732/ajb.1400171,Cucurbita spp.,shared_tracking,not_applicable,consumer_role,primary_fulltext_plus_dryad_verified,high,not_tested,attraction_increases_mutualist_and_antagonist_tracking,"Within Cucurbita, floral sesquiterpenoids positively predict specialist squash-bee visitation and specialist flower-beetle use in the same comparative panel.","The two source-reported coefficients have different numerical scales and are not subtracted; the regime classification uses only their source-verified positive directions."
