system,design_layer,D_axis,consumer_or_context,pre_outcome_domain_code,pre_outcome_basis,predicted_state,observed_state_for_validation,validation_result,notes
Catalpa_speciosa,matched_D,nectar_iridoid_glycosides,legitimate_bees_vs_thieves,SEPARATED,consumer guilds differ in tolerance/use of iridoid-containing nectar,antagonist_reduction_with_low_pollinator_cost,strong_thief_reduction__legitimate_consumption_near_null,PASS,consumer-susceptibility implementation
Pedicularis_rex,matched_D,water_filled_bract,seed_predator_vs_robber_and_pollinator,SEPARATED,seed predator must cross water barrier while nectar robber can bypass and pollinator uses legitimate route,antagonist_reduction_on_blocked_route_with_low_pollinator_cost,strong_seed_predation_reduction__robber_and_pollinator_null,PASS,attack-route implementation
Thunia_alba,matched_D,spur_enclosing_bract,same_Bombus_visitor,SEPARATED,bract constrains illegitimate spur access while legitimate route remains mechanically available,robbery_reduction_with_preserved_or_improved_legitimate_function,robbery_down__arrival_null__pollinia_transfer_and_fruit_set_up,PASS,functional-mode routing
Codonopsis_lanceolata,matched_D,slippery_wax_surface,ants_vs_hornet_pollinator,SEPARATED,ant approach surfaces waxy/slippery while inner pollinator foothold lacks equivalent slippery filter,antagonist_entry_reduction_with_pollinator_access_preserved,bridge_increases_ant_entry__pollinator_contact_zone_usable,PASS,spatial geometry
Chrysothemis_friedrichsthaliana,matched_D,water_calyx,specialist_moth_vs_pollinator,SEPARATED,oviposition barrier acts pre-anthesis whereas pollination occurs after anthesis,antagonist_reduction_with_low_direct_pollinator_penalty,water_removal_increases_moth_infestation,PASS,developmental-time separation
Bejaria_resinosa,matched_D,floral_stickiness,insect_florivores_and_insect_mutualists,OVERLAPPED,sticky petal/sepal surface contacts insects in both roles,antagonist_reduction_with_pollinator_interference_possible,florivory_down__insect_mutualists_can_be_excluded,PASS,boundary case against physical-equals-selective
Polemonium_viscosum,matched_D,2PE_chemical,moderate_vs_high_dose,SEPARATED_TO_OVERLAPPED,increasing dose is expected to cross pollinator tolerance after antagonist threshold,guarded_at_moderate__interference_at_high,moderate_pollinator_null__high_pollinator_negative,PASS,dose-window transition
Aconitum_lycoctonum,matched_D,nectar_alkaloids,robber_vs_legitimate_pollinator,SEPARATED_TO_OVERLAPPED,robber deterrence threshold reported at much lower concentration than strong pollinator deterrence,selective_window_then_interference,robber_reduced_at_low_tens_ppm__pollinator_decline_at_hundreds_ppm,PASS,threshold separation
Asclepias_spp,matched_D,cardenolides,single_bout_vs_extended_exposure,SEPARATED_TO_OVERLAPPED,cumulative exposure can reveal pollinator cost not present in short assay,short_exposure_guarded__long_exposure_interference,single_bout_null__extended_exposure_negative,PASS,exposure-duration transition
Gelsemium_sempervirens,matched_D,gelsemine,robber_and_pollinators,OVERLAPPED_AT_HIGH_D,high alkaloid exposure available to both robber and legitimate visitors,antagonist_reduction_with_pollinator_cost,robber_use_down__pollinator_use_down,PASS,nonselective high-dose state
Nicotiana_attenuata_2007,matched_D,nectar_repellent,legitimate_pollinator_response_stage,RESPONSE_STAGE_SPLIT,same consumer can respond differently at arrival versus residence/consumption stages,mixed_pollinator_state_by_response_stage,visit_number_up_or_null__residence_and_consumption_down,PASS,response-stage implementation
Salvia_boundary,matched_D,calyx_barrier_candidate,nectar_robber,BYPASSED,robber can damage exposed corolla without crossing putative barrier,focal_D_antagonist_effect_weak_or_null,robber_visitation_not_reduced,PASS,bypass boundary
Lupinus_Rivest_boundary,admission_gate,pollen_alkaloid,pollen_thieves,UNRESOLVED_D_GATE,defence-like chemistry alone does not establish antagonist susceptibility,no_prediction_until_D_efficacy_shown,pollen_thieves_not_reduced,NOT_ADMITTED,anti-circularity gate
Kessler_2015_Manduca,direct_factorial,nectar_restriction_plus_BA,Manduca_pollination_context,MUTUALIST_HIGH_DEPENDENCE_ON_BOTH_AXES,source pollination results show Manduca depends strongly on both scent and nectar without using the A_x_D seed contrast itself,negative_or_substitutive_AxD_plausible,Delta_AD_-0.432,PASS_FOR_BROAD_CHANNEL_BALANCE,does not test antagonist channel simultaneously
Kessler_2015_Hyles,direct_factorial,nectar_restriction_plus_BA,Hyles_pollination_context,MUTUALIST_REDUNDANCY,source pollination biology indicates either scent or nectar alone can maintain Hyles service,positive_complementarity_like_discrete_interaction_plausible,Delta_AD_+0.8699,PASS_FOR_BROAD_CHANNEL_BALANCE,positive sign can arise from cue-reward redundancy without antagonist relief
Kessler_2015_field_oviposition,antagonist_channel,nectar_restriction_plus_BA,Manduca_oviposition,ANTAGONIST_DEPENDS_STRONGLY_ON_NECTAR_AND_WEAKLY_ON_SCENT,egg-laying is strongly reduced by nectar absence and more moderately by scent absence,defence_axis_should_reduce_antagonist_use,SWEET9_and_double_have_large_oviposition_reduction,PASS,floral control supported by nonflowering null
