switch_id,study_id,doi,plant_taxon,route,contrast_axis,level_1,state_1,level_2,state_2,statistical_resolution,source_state,independence_rule,interpretation
SS001,Galen_et_al_2011_Polemonium,10.1086/657993,Polemonium viscosum,D_to_pollination,trait_expression_or_dose,moderate_2PE,no_detected_pollination_cost,high_2PE,negative_pollinator_visitation_and_pollination,source_reported_context_difference,primary_fulltext_verified,one_study_cluster,"Pollinator interference emerges only at the high floral 2-phenylethanol level while antagonist deterrence is retained; do not average moderate and high expression into one D effect."
SS002,Jones_Agrawal_2016_Asclepias,10.1002/ecy.1483,Asclepias spp.,D_to_pollination,exposure_duration,single_foraging_bout,no_detected_avoidance_at_highest_natural_concentration,multi_day_colony_foraging,negative_deterrence_emerges,source_reported_time_dependence,primary_fulltext_verified,one_study_cluster,"The same cardenolide treatment has different pollinator expression over exposure duration; time points are dependent effects."
SS003,Kessler_Baldwin_2007_Nicotiana,10.1111/j.1365-313X.2006.02995.x,Nicotiana attenuata,D_to_pollination,outcome_construct,visit_number,positive_more_visits,residence_time_or_nectar_removed,negative_less_time_or_removal,within_study_outcome_sign_difference,primary_fulltext_verified,one_study_cluster,"A generic pollinator-response endpoint would mix opposite signs from the same nectar-repellent experiment."
SS004,Gegear_Manson_Thomson_2007,10.1111/j.1461-0248.2007.01027.x,Gelsemium sempervirens,D_to_pollination,reward_context,equal_sugar_higher_gelsemine,negative_preference,high_gelsemine_with_higher_sugar,near_zero_preference_difference,source_reported_and_effect_reconstructed,author_primary_pdf_reconstructed,one_study_cluster,"Reward compensation removes the preference difference caused by defensive nectar chemistry; assays are dependent and remain one cluster."
SS005,Villalona_Ezray_et_al_2020,10.1007/s00442-020-04701-0,Asclepias syriaca,D_to_pollination,dose_naturalness,0_to_100_ng_per_uL,natural_range_null_or_nonmonotonic_species_specific,1000_ng_per_uL,strong_negative_consumption_with_toxicity_context,source_model_and_raw_data_verified,primary_plus_supplement_plus_raw_repository,one_study_cluster,"Strong negative use appears at the elevated dose; natural-range responses are absent or non-monotonic and differ among bumblebee species."
SS006,Gorden_Adler_2018_Impatiens_capensis,10.1002/ajb2.1182,Impatiens capensis,direct_AxD,outcome_scale,CH_fruits_per_plant_per_day,negative_point_estimate,seeds_per_CH_fruit,positive_point_estimate,both_interaction_CIs_include_zero,dryad_workflow_rerun_verified,one_study_cluster,"The first direct observational A x D cluster changes point direction across reproductive components, but neither component resolves a non-zero sign; classify as outcome-scale-dependent unresolved rather than a confirmed biological reversal."
SS007,Andrews_Theis_Adler_2007,10.1007/s10886-007-9337-7,Cucurbita moschata,A_to_pollination_and_A_to_antagonism,compound_identity,indole,herbivore_positive_pollinator_not_detected,E_cinnamaldehyde,pollinator_positive_herbivore_not_detected,source_reported_factorial_compound_specificity,primary_abstract_and_author_source_verified,one_study_cluster,"Different components of one floral scent bouquet map onto different consumers; 1,2,4-trimethoxybenzene attracts both. This is mechanism partitioning across A compounds rather than one compound changing sign."
SS008,Adler_Irwin_2005_Gelsemium,10.1890/05-0118,Gelsemium sempervirens,D_to_antagonism,decision_stage_or_outcome_construct,total_robber_plant_visits,no_detected_treatment_effect,within_plant_proportion_flowers_robbed_or_probed,negative_reduction_after_entry,source_reported_stage_difference,primary_fulltext_verified,one_study_cluster,"Nectar gelsemine does not reduce initial Xylocopa plant visits, but after entry high gelsemine reduces within-plant exploitation; 2002 supra-natural treatment reduced the proportion of flowers probed by 22%, while the natural-range 2004 effect was weaker/marginal."
SS009,Kessler_et_al_2015_Nicotiana,10.7554/eLife.07641,Nicotiana attenuata,A_to_pollination,pollinator_identity,Manduca_sexta,scent_silencing_strongly_reduces_pollinator_mediated_seed_set,Hyles_lineata,scent_silencing_alone_no_detected_seed_set_reduction,source_reported_species_difference,primary_open_fulltext_verified,one_study_cluster,"CHAL scent-silenced plants produced 17.4% of EV seed output under single M. sexta pollination (p<0.001) but 96.6% under H. lineata pollination (p=0.853). Floral scent value is therefore strongly consumer-specific within one 2x2 plant panel."
SS010,Barlow_et_al_2017_Aconitum,10.1016/j.cub.2017.07.012,Aconitum napellus and Aconitum lycoctonum,D_to_pollination_and_D_to_antagonism,consumer_role_x_dose_threshold,Bombus_terrestris_nectar_robber,20_ppm_cells_show_87_to_89_percent_lower_mean_consumption_than_sucrose,Bombus_hortorum_pollinator,source_reports_sharp_visitation_decline_around_200_to_380_ppm,source_threshold_plus_raw_dose_cell_reconstruction,primary_fulltext_and_article_declared_figshare_data,one_study_cluster,"The same nectar-alkaloid D axis affects robbers at substantially lower concentrations than the sharp pollinator-visitation decline: deposited bioassays show mean consumption already reduced by 89.3% in A. lycoctonum and 87.4% in A. napellus at 20 ppm, while the source places pronounced pollinator interference around 200–380 ppm. Field deposited visitation data also retain a negative alkaloid association, but its exact fitted statistic is held behind a source/subset reconciliation flag."
SS011,Kessler_Bing_Haverkamp_Baldwin_2019_Nicotiana,10.1111/1365-2435.13332,Nicotiana attenuata,D_to_antagonism,time_of_night_x_trait_expression,early_night_BA_emission,BA_present_and_CHAL_has_higher_flower_damage,second_half_of_night_BA_emission_stops,CHAL_EV_damage_difference_disappears,source_reported_temporal_state_difference,primary_fulltext_verified,one_study_cluster,"Benzyl acetone's defensive effect tracks the period of floral emission: feeding damage is higher on scent-silenced CHAL flowers early in the night, but the difference disappears during the second half when control flowers stop emitting BA. The two time windows are dependent observations from one mechanism experiment, not separate studies."
