screen_id,study_id,doi,year,plant_taxon,search_target,source_state,screen_decision,evidence_tier_candidate,is_direct_AxD,is_same_system_multi_route,mechanism_pattern,reason,source_locator
SB1_001,Galen_et_al_2011_Polemonium,10.1086/657993,2011,Polemonium viscosum,MR03_CTX01,primary_fulltext_verified,include,2,false,true,D_to_antagonism+D_to_pollination+sign_switch,"2-phenylethanol deters flower-damaging ants; high emission reduces bumblebee visitation/pollination, whereas moderate experimental levels increase nectar standing crop without a detected pollination cost. Strong dose-dependent interference case.","American Naturalist abstract/full text; Results/Fig. 6"
SB1_002,Adler_Irwin_2005_Gelsemium,10.1890/05-0118,2005,Gelsemium sempervirens,MR02_DP01_DH02,primary_fulltext_and_prior_source_audit,include,2,false,true,D_to_antagonism+D_to_pollination,"Experimental nectar gelsemine changes both nectar robber and legitimate pollinator behaviour in the same system. Natural-range 2004 pollinator visitation contrast already source-audited on PR #125.","Ecology primary article; PR #125 B_TO_P_ANALYSIS_READOUT_V1"
SB1_003,Jones_Agrawal_2016_Asclepias,10.1002/ecy.1483,2016,Asclepias spp.,MR02_DP02_DH02,primary_fulltext_verified,include,2,false,true,D_to_antagonism+D_to_pollination+time_dependence,"Manipulated nectar cardenolides deter bumblebee colony foraging only after extended exposure and reduce monarch oviposition, while monarch flower foraging itself is not deterred. Same-system outcome/time dependence.","Ecology abstract/full text and Appendix S1 link"
SB1_004,Kessler_Baldwin_2007_Nicotiana,10.1111/j.1365-313X.2006.02995.x,2007,Nicotiana attenuata,MR03_DP02_DH02,primary_fulltext_verified,include,2,false,true,D_to_antagonism+D_to_pollination+outcome_switch,"Nectar repellents reduce pollinator nectaring time and volume removed but can increase visit number; fewer nectar-thieving ants visit repellent nectar. One defence/filter trait therefore produces opposite signs across pollinator response constructs.","Plant Journal full text; Summary and visitor-bioassay Results"
SB1_005,Andrews_Theis_Adler_2007_Cucurbita,10.1007/s10886-007-9337-7,2007,Cucurbita spp.,MR01_AH02_AP02,primary_abstract_verified,include,2,false,true,A_to_pollination+A_to_antagonism+compound_specificity,"Three floral volatiles were tested factorially against a specialist pollinator and herbivore. One attracted both, one only the herbivore, and one only the pollinator. Strong same-system route-specificity case.","Journal of Chemical Ecology primary abstract"
SB1_006,Theis_Adler_2012_Cucurbita,10.1890/11-0825.1,2012,Cucurbita pepo var. texana,MR01_AH02,primary_fulltext_verified,include,2,false,true,A_to_antagonism+A_to_pollination+fitness,"Enhanced floral fragrance increased florivore attraction rather than pollinator attraction and reduced seed production. Same attraction manipulation separates mutualist and antagonist response.","Ecology primary abstract/full-text landing page"
SB1_007,Irwin_Adler_Brody_2004_Ipomopsis,10.1890/03-0390,2004,Ipomopsis aggregata,MR02_DH02_DP01,repository_fulltext_verified,include,2,false,true,D_to_antagonism+D_to_pollination,"Dilute nectar is presented as resistance to nectar robbing: it deters robbing bumblebees without deterring hummingbird pollinators. Important counterexample to universal pollinator interference.","Virginia Tech repository full item; Ecology article"
SB1_008,Gronquist_et_al_2001_Hypericum,10.1073/pnas.231471698,2001,Hypericum calycinum,DX04_DH01,primary_fulltext_verified,include_directional_only,4,false,false,role_overlap_visual_signal_and_defence,"The same UV-absorbing DIPs contribute to floral UV pattern and are deterrent/toxic to a caterpillar. Pollinator visual function is biologically motivated but not directly quantified as a pollinator response in this study, so do not promote to same-system multi-route evidence.","PNAS/PMC full text; pigment chemistry and caterpillar feeding assays"
SB1_009,Strauss_Irwin_2004_Raphanus,10.1111/j.1365-2745.2004.00843.x,2004,Raphanus sativus,JC03_DX04,primary_fulltext_verified,retain_joint_trait_architecture,5,false,false,A_D_trait_coupling_not_joint_cost,"Petal colour morph predicts inducibility of glucosinolate chemistry, linking a pollinator-associated visual polymorphism to defence architecture. The study does not identify a direct A x D fitness interaction or shared allocation cost, so it is a candidate/gap record only for those targets.","Journal of Ecology full text; Summary and Results"
SB1_010,Irwin_Adler_2006_Gelsemium,10.3732/ajb.93.1.64,2006,Gelsemium sempervirens,DX03_JC03_MR02,primary_abstract_verified,fulltext_interaction_audit_required,5,unknown,true,A_D_correlation_and_visitor_effects,"The study explicitly tests phenotypic correlations between pollination-associated distyly and herbivore-resistance secondary compounds and examines floral visitors. Full model tables must be audited to determine whether a true A x D interaction term is identifiable.","American Journal of Botany primary issue/abstract; DOI 10.3732/ajb.93.1.64"
SB1_011,Kessler_et_al_2013_Petunia,10.1111/ele.12038,2013,Petunia x hybrida,MR04_DH04,primary_fulltext_landing_verified,fulltext_pollinator_endpoint_audit_required,5,false,unknown,floral_bouquet_attractive_and_defensive_components,"Transgenic volatile-silencing experiments show that individual scent components can prevent florivory and the paper frames bouquets as attractive plus defensive. Exact same-paper pollinator effect rows require extraction before Tier 2 promotion.","Ecology Letters primary full-text landing page and supplements"
SB1_012,Hypericum_dual_function_screen,10.1073/pnas.231471698,2001,Hypericum calycinum,DX04,primary_fulltext_verified,no_direct_AxD,4,false,false,no_distinct_A_and_D_axes,"This is a compelling dual-function single-trait case but cannot be counted as direct A x D because the visual and defensive roles are carried by the same pigment chemistry rather than two declared focal axes.","PNAS/PMC full text"
