record_id,study_id,independence_cluster,doi,year,plant_taxon,evidence_tier,trait_A_class,trait_D_class,partner_role,route,outcome_construct,study_design,source_effect_metric,effect_value,standard_error,n_total,n_treatment,n_control,effect_orientation,dose_value,dose_unit,dose_naturalness,reward_context,consumer_taxon,consumer_specialization,alternative_resource_context,pollinator_service_context,antagonist_pressure_context,is_direct_AxD,is_same_system_multi_route,is_primary_effect,source_verification_state,source_basis,source_locator,coder_id,coding_date,notes
MP022,Theis_et_al_2014_Cucurbitaceae,Theis_et_al_2014_Cucurbitaceae,10.3732/ajb.1400171,2014,Cucurbita spp.,2,scent_sesquiterpenoids,,pollinator,A_to_pollination,floral_visitation,comparative_field_interactions_plus_common_greenhouse_traits,reported_model_beta_with_SE,0.096,0.034,,,,higher_floral_sesquiterpenoids__higher_squash_bee_visitation,,,,,Peponapis_pruinosa,specialist_pollinator,,,,false,true,true,primary_fulltext_and_dryad_verified,"primary article + Dryad 10.5061/dryad.1h189","Models paragraph; Figure 3; Appendix S6; within-Cucurbita model",assistant_source_audit,2026-08-11,"Reported 95% CI [0.029,0.163]. Corolla length was included in the reported within-Cucurbita model but its CI crossed zero. The coefficient scale is retained as source-reported and is not pooled with standardized slopes or log-odds effects."
MP023,Theis_et_al_2014_Cucurbitaceae,Theis_et_al_2014_Cucurbitaceae,10.3732/ajb.1400171,2014,Cucurbita spp.,2,scent_sesquiterpenoids,,floral_antagonist,A_to_antagonism,flower_beetle_abundance_or_visitation,comparative_field_interactions_plus_common_greenhouse_traits,reported_model_beta_with_SE,2.91,1.28,,,,higher_floral_sesquiterpenoids__higher_cucumber_beetle_flower_use,,,,,Acalymma_vittatum,specialist_floral_herbivore,,,,false,true,true,primary_fulltext_and_dryad_verified,"primary article + Dryad 10.5061/dryad.1h189","Models paragraph; Figure 3; Appendix S6; within-Cucurbita model",assistant_source_audit,2026-08-11,"Reported 95% CI [0.40,5.4]. This is the second independent quantitative A-to-antagonism anchor after Gymnadenia, but the effect metric/scale differs and is not pooled. The same floral sesquiterpenoid axis positively predicts specialist pollinator and specialist floral-herbivore use in the same comparative panel."
MP024,Takeda_Kadokawa_Kawakita_2021_slippery_flowers,Takeda_Kadokawa_Kawakakita_2021,10.1093/aob/mcaa168,2021,Codonopsis lanceolata,4,,physical_access_waxy_slippery_perianth,floral_antagonist,D_to_antagonism,ant_flower_entry,field_barrier_disable_manipulation,source_reported_direction_and_percentages,,,83,43,40,intact_slippery_perianth__lower_ant_entry_than_non_slippery_bridge,,,,exposed_nectar,nectar_thieving_ants,floral_nectar_thieves,,,,false,false,true,primary_fulltext_verified,primary_article,"Bridging experiment; Fig. 3A; GLMM Wald P<0.001",assistant_source_audit,2026-08-11,"43 bridged flowers versus 40 controls. Flowers receiving ants at least once: 28% bridged versus 10% control. The paper analyzes repeated ant-present records with a binomial GLMM and individual random effect, so no SE-bearing effect is reverse-engineered from the rounded flower-level percentages."
MP025,Takeda_Kadokawa_Kawakakita_2021_slippery_flowers,Takeda_Kadokawa_Kawakakita_2021,10.1093/aob/mcaa168,2021,Fritillaria koidzumiana,4,,physical_access_waxy_slippery_perianth,floral_antagonist,D_to_antagonism,ant_flower_entry,field_barrier_disable_manipulation,source_reported_direction_and_percentages,,,80,40,40,intact_slippery_perianth__lower_ant_entry_than_non_slippery_bridge,,,,exposed_nectar,nectar_thieving_ants,floral_nectar_thieves,,,,false,false,true,primary_fulltext_verified,primary_article,"Bridging experiment; Fig. 3B; GLM Wald P<<0.001",assistant_source_audit,2026-08-11,"40 bridged flowers versus 40 controls. Flowers receiving ants at least once: 45% bridged versus 5.1% control. The source's GLM response is the frequency of ant-present records, so the rounded at-least-once percentages are kept as directional context rather than converted into an uncertainty-bearing meta-analytic effect."
MP026,Theis_Adler_2012_Cucurbita,Theis_Adler_2012_Cucurbita,10.1890/11-0825.1,2012,Cucurbita pepo var. texana,4,enhanced_floral_fragrance,,floral_antagonist,A_to_antagonism,florivore_attraction,field_factorial_fragrance_pollination_florivore_manipulation,source_adjudicated_direction,,,,,,enhanced_fragrance__higher_florivore_attraction,,,,,florivores,floral_antagonists,,,,false,true,true,primary_fulltext_verified_public_raw_route_closed,"primary article + publisher-linked Figshare collection 10.6084/m9.figshare.c.3304428","primary abstract/result direction; Figshare collection audit run 31457465735 artifact 9088764329",assistant_source_audit,2026-08-11,"Primary experiment reports increased florivore attraction under enhanced fragrance and reduced seed production. The publisher-linked Figshare collection contains only Appendix A for trapping experiments, so no new uncertainty-bearing main-experiment effect is reconstructed."
MP027,Theis_Adler_2012_Cucurbita,Theis_Adler_2012_Cucurbita,10.1890/11-0825.1,2012,Cucurbita pepo var. texana,4,enhanced_floral_fragrance,,pollinator,A_to_pollination,pollinator_attraction,field_factorial_fragrance_pollination_florivore_manipulation,source_adjudicated_no_detected_increase,,,,,,enhanced_fragrance__no_detected_increase_in_pollinator_attraction,,,,,pollinator_community,legitimate_pollinators,,,,false,true,true,primary_fulltext_verified_public_raw_route_closed,"primary article + publisher-linked Figshare collection 10.6084/m9.figshare.c.3304428","primary abstract/result direction; Figshare collection audit run 31457465735 artifact 9088764329",assistant_source_audit,2026-08-11,"Same experiment provides a within-system contrast: enhanced fragrance increased florivore attraction rather than pollinator attraction. Reduced seed production is retained as reproductive context, not converted to an A-to-pollination effect."
MP028,Kessler_et_al_2015_Nicotiana,Kessler_et_al_2015_Nicotiana,10.7554/eLife.07641,2015,Nicotiana attenuata,2,benzylacetone_floral_scent,,pollinator,A_to_pollination,pollinator_mediated_seed_production,RNAi_scent_and_nectar_full_factorial_with_species_specific_pollination_assays,source_reported_direction_and_control_relative_outcome,,,,,,scent_presence__higher_Manduca_pollinator_mediated_seed_production,,,,variable_nectar_reward,Manduca sexta,hawkmoth_pollinator_and_ovipositing_antagonist,,,M_sexta_single_pollinator_tent_assay,,false,true,true,primary_fulltext_verified_public_outcome_raw_route_closed,"primary open eLife article + public supplement audit","Figure 2E; CHAL scent-silenced plants produced 17.4% of EV seed output; p<0.001; supplement audit run 31457174360 artifact 9088554499",assistant_source_audit,2026-08-11,"No standardized effect is registered because the public supplementary archive contains only three TIFF figure supplements and no Figure-2 outcome table. The source-reported M. sexta pollination direction is strong, but Hyles lineata shows little scent dependence, making pollinator identity a required moderator."
MP029,Kessler_et_al_2015_Nicotiana,Kessler_et_al_2015_Nicotiana,10.7554/eLife.07641,2015,Nicotiana attenuata,2,benzylacetone_floral_scent,,floral_antagonist,A_to_antagonism,hawkmoth_oviposition,RNAi_scent_and_nectar_full_factorial_field_and_tent_oviposition_assays,source_reported_direction_and_control_relative_outcome,,,,,,scent_presence__higher_Manduca_oviposition,,,,variable_nectar_reward,Manduca sexta,hawkmoth_pollinator_and_larval_herbivore,,,same_species_dual_role,,false,true,true,primary_fulltext_verified_public_outcome_raw_route_closed,"primary open eLife article + public supplement audit","Figure 2G-H; field CHAL received 43.1% of EV eggs p=0.046; tent CHAL received 81.9% p=0.096; no-flower control showed no genotype difference",assistant_source_audit,2026-08-11,"The stronger resolved field result plus the no-flower control supports a floral-scent tracking route. Nectar suppression has an even larger oviposition effect but is retained as a reward axis, not post-hoc relabelled D."
MP030,Jones_Agrawal_2016_Asclepias,Jones_Agrawal_2016_Asclepias,10.1002/ecy.1483,2016,Asclepias spp.,2,,nectar_cardenolide_chemical_defence,floral_antagonist,D_to_antagonism,monarch_oviposition,paired_full_sibling_plants_with_manipulated_flower_nectar,source_reported_relative_change_plus_exact_Wald_test,,,,20,,,higher_nectar_cardenolides__lower_monarch_oviposition,,highest_reported_natural_range,20_percent_sucrose,Danaus plexippus,specialist_larval_herbivore_and_ineffective_adult_pollinator,,,,false,true,true,primary_published_fulltext_verified,"Cornell institutional bitstream of published Ecology article + publisher record","Poisson GLMM methods lines 399-424; oviposition results lines 489-508; Fig. 2d",assistant_source_audit,2026-08-11,"Twenty females were each tested on paired full-sibling plants so nectar chemistry was manipulated independently of leaf traits. Eggs laid were analyzed by Poisson GLMM with nectar stimulus and flower colour fixed and butterfly random. Nectar stimulus: chi-square=13.87, df=1, P<0.001; sucrose-only plants received 61% more eggs per female than plants paired with cardenolide-laced flowers. No coefficient/SE is reported, so no pseudo-effect is reconstructed from the Wald statistic and relative percentage."
MP031,Barlow_et_al_2017_Aconitum,Barlow_et_al_2017_Aconitum,10.1016/j.cub.2017.07.012,2017,Aconitum napellus and Aconitum lycoctonum,2,,nectar_alkaloid_chemical_defence,floral_antagonist,D_to_antagonism,nectar_robber_deterrence,field_observation_plus_bumblebee_alkaloid_bioassay,source_reported_threshold_and_direction,,,,,,higher_nectar_alkaloids__lower_robber_use_or_acceptance,>20,ppm,within_observed_Aconitum_chemistry_context,sucrose_nectar,Bombus terrestris,short_tongued_nectar_robber,,,,false,true,true,primary_fulltext_and_article_declared_data_verified,"published Current Biology article + Oxford accepted-manuscript record; article-declared Figshare 10.6084/m9.figshare.5165350","article summary and accepted-manuscript data/software statement",assistant_source_audit,2026-08-11,"The source reports that nectar alkaloid concentrations above 20 ppm deterred B. terrestris, which is the robber in the focal Aconitum system. Public Figshare audit is in progress; no numerical coefficient is invented before the deposited bioassay schema is recovered."
