response_class,damage_type,tissue,updated_k,published_state,theory_pattern_class,notes
floral_traits,natural,roots,12,non_significant,tissue_damage_context,"Table 1 updated dataset"
floral_traits,natural,leaves,169,negative,tissue_damage_context,"Table 1 updated dataset"
floral_traits,natural,flowers,59,non_significant,tissue_damage_context,"Table 1 updated dataset; differs from original negative state"
floral_traits,natural,stems,56,non_significant,tissue_damage_context,"Table 1 updated dataset"
floral_traits,natural,mixed,149,non_significant,tissue_damage_context,"Table 1 updated dataset"
floral_traits,simulated,roots,2,non_significant,tissue_damage_context,"Table 1 updated dataset"
floral_traits,simulated,leaves,77,non_significant,tissue_damage_context,"Table 1 updated dataset"
floral_traits,simulated,flowers,46,negative,tissue_damage_context,"Table 1 updated dataset; newly resolved negative state"
floral_traits,simulated,stems,20,negative,tissue_damage_context,"Table 1 updated dataset"
floral_traits,simulated,mixed,11,non_significant,tissue_damage_context,"Table 1 updated dataset"
pollinator_attraction,natural,roots,12,non_significant,tissue_damage_context,"Table 1 updated dataset"
pollinator_attraction,natural,leaves,185,negative,tissue_damage_context,"Table 1 updated dataset"
pollinator_attraction,natural,flowers,81,negative,tissue_damage_context,"Table 1 updated dataset"
pollinator_attraction,natural,stems,12,non_significant,tissue_damage_context,"Table 1 updated dataset"
pollinator_attraction,natural,mixed,24,non_significant,tissue_damage_context,"Table 1 updated dataset"
pollinator_attraction,simulated,roots,,not_reported,tissue_damage_context,"No simulated-root row shown in published Table 1"
pollinator_attraction,simulated,leaves,9,negative,tissue_damage_context,"Table 1 updated dataset; newly resolved negative state"
pollinator_attraction,simulated,flowers,44,non_significant,tissue_damage_context,"Table 1 updated dataset"
pollinator_attraction,simulated,stems,,not_reported,tissue_damage_context,"No simulated-stem row shown in published Table 1"
pollinator_attraction,simulated,mixed,12,non_significant,tissue_damage_context,"Table 1 updated dataset"
plant_reproduction,natural,roots,12,non_significant,response_stage_context,"Table 1 updated dataset"
plant_reproduction,natural,leaves,112,negative,response_stage_context,"Table 1 updated dataset"
plant_reproduction,natural,flowers,57,negative,response_stage_context,"Table 1 updated dataset; original synthesis was non-significant"
plant_reproduction,natural,stems,14,non_significant,response_stage_context,"Table 1 updated dataset"
plant_reproduction,natural,mixed,44,non_significant,response_stage_context,"Table 1 updated dataset"
plant_reproduction,simulated,roots,,not_reported,response_stage_context,"No simulated-root row shown in published Table 1"
plant_reproduction,simulated,leaves,51,non_significant,response_stage_context,"Table 1 updated dataset"
plant_reproduction,simulated,flowers,46,non_significant,response_stage_context,"Table 1 updated dataset"
plant_reproduction,simulated,stems,29,non_significant,response_stage_context,"Table 1 updated dataset"
plant_reproduction,simulated,mixed,3,non_significant,response_stage_context,"Table 1 updated dataset"
