pattern_class,Leal_2025,Sasidharan_2023,Haas_Desmarais_2026,Caruso_2019,Junker_Bluethgen_2010,source_level_expansion,current_interpretation
negative_antagonist_cost,strong_direct_support,not_primary,strong_direct_support,not_pure_antagonist_axis,not_fitness_scale,not_primary,"Independent large syntheses support recurrent costs of antagonist exposure, but effect magnitude is strongly heterogeneous"
pollinator_suppression,strong_direct_support,not_primary,strong_direct_support,selection_context_only,not_equivalent_to_pollinator_role,Pedicularis_guarded_null,"Antagonist exposure can suppress legitimate visitation, but a floral defence barrier need not itself impose a pollinator cost in every system"
shared_signal_tracking,not_primary,strong_support,not_primary,not_primary,consumer_filter_support,Dalechampia_visual_shared_tracking,"Mutualists and antagonists can track the same floral signal across volatile and visual modalities"
consumer_role_or_dependency,not_primary,strong_support,not_primary,pollinator_guild_support,strong_support,Pedicularis_seed_predator_vs_robber_vs_pollinator,"Consumer identity/dependency repeatedly changes response to the same floral phenotype or barrier"
trait_intensity_threshold,not_primary,compound_specific_context,not_primary,not_primary,not_primary,existing_Galen_Barlow_Villalona,"Dose/expression thresholds remain a source-level rather than cross-meta-analysis Pattern so far"
resource_or_exposure_context,larceny_context_and_moderator_limits,study_context_dependence,natural_vs_simulated_damage,not_primary,assay_design_dependence,existing_Gelsemium_Asclepias,"Exposure/reward/assay context can open or close measured effects"
tissue_or_attack_mode_context,not_primary,not_primary,strong_support,not_primary,not_primary,Pedicularis_water_barrier_blocks_seed_predators_not_robbers,"Where/how antagonists attack changes which defence or damage pathway is expressed"
response_stage_dependence,strong_support,behavior_vs_physiology_difference,strong_support,selection_component_dependence,not_primary,existing_Nicotiana_Gelsemium_Impatiens,"Effect state changes across visitation, exploitation, damage, and reproductive outcome scales"
trait_class_dependence,not_primary,compound_identity_support,floral_trait_vs_visitation_vs_reproduction,strong_support,chemical_class_support,Dalechampia_visual_vs_current_scent_systems,"Pattern conditionality is not restricted to one floral modality or outcome class"
pollinator_guild_dependence,not_primary,consumer_taxon_composition,not_primary,strong_support,obligate_taxon_mix,existing_Kessler_2015,"Pollinator identity/guild changes the strength of signal-mediated effects"
direct_AxD_identification_gap,not_identified,not_identified,not_identified,not_identified,not_identified,one_Impatiens_sign_unresolved,"Expanded Pattern evidence still does not substitute for direct attraction x defence estimation"
direct_joint_cost_gap,not_identified,not_identified,not_identified,not_identified,not_identified,no_strict_estimate,"Additional Pattern modules do not identify kappa and must not be used to set it to zero"
