batch_id,query_id,query_family,screened_primary_examples,new_strict_tier1,new_eligible_direct_design_class,matched_existing_exclusion_class,decision
DXB2,DX01,direct_interaction,"Helleborus foetidus pollinator×herbivore fitness factorial; Trifolium HCN factorial; Fragaria pollination×herbivory selection",0,0,ecological_agent_factorial_or_cross_organ_defence,"no new eligible direct A×D design class"
DXB2,DX02,direct_interaction,"Lobelia cardinalis pollinator-mediated correlational selection; Hakea pollination-defence comparative covariance",0,0,selection_on_A_traits_or_comparative_A_D_covariance,"no new eligible direct A×D design class"
DXB2,DX03,direct_interaction,"Iris bulleyana nectar/nectary sacrificial-herbivory experiment; Brassica herbivory-induced floral signalling",0,0,ecological_agent_or_induced_phenotype_not_independent_D_axis,"no new eligible direct A×D design class"
DXB2,DX04,direct_interaction,"Leonard et al. 2013 nectar-guide robbery behaviour; floral pigment/defence systems",0,0,single_trait_dual_function,"no new eligible direct A×D design class"
DXB2,DX05,direct_interaction,"Kessler 2013 Petunia scent-component partition; Schiestl 2014 herbivory-induced floral VOC change",0,0,same_bouquet_partition_or_agent_induced_A_change,"no new eligible direct A×D design class"
DXB2,DX06,direct_interaction,"Manson et al. 2013 Delphinium nectar alkaloid×hand-pollination; nectar-metal pollinator/robber experiment",0,0,single_D_axis_crossed_with_pollination_environment_or_multiconsumer,"no new eligible direct A×D design class"
DXB3,DX01,direct_interaction,"Caryopteris divaricata trait-fitness under nectar robbing; Primula robber-mediated trait selection",0,0,single_floral_trait_modulates_agent_effect_without_distinct_A_and_D_axes,"no new eligible direct A×D design class"
DXB3,DX02,direct_interaction,"Tirpitzia sinensis distyly morphology/nectar chemistry/robbing; Garcia 2024 Asclepias selection",0,0,joint_trait_or_morph_context_without_fitted_AxD_term,"no new eligible direct A×D design class"
DXB3,DX03,direct_interaction,"Helleborus factorial fitness; Lobelia multi-agent selection; Fragaria full-factorial selection",0,0,ecological_agent_factorial_not_trait_x_trait,"no new eligible direct A×D design class"
DXB3,DX04,direct_interaction,"Leonard nectar-guide artificial flowers; Caryopteris corolla-tube defence capability",0,0,single_trait_dual_function_or_access_filter,"no new eligible direct A×D design class"
DXB3,DX05,direct_interaction,"Petunia floral-scent component partition; Nicotiana BA defensive scent; Brassica induced floral signalling",0,0,single_or_partitioned_scent_axis_without_A_component_x_D_component_outcome,"no new eligible direct A×D design class"
DXB3,DX06,direct_interaction,"Aconitum nectar alkaloid thresholds; Delphinium dose-dependent nectar alkaloids; Gelsemium nectar chemistry",0,0,single_D_axis_multiconsumer_or_D_x_pollination_environment,"no new eligible direct A×D design class"
