record_id,study_id,independence_cluster,doi,year,plant_taxon,evidence_tier,trait_A_class,trait_D_class,partner_role,route,outcome_construct,study_design,source_effect_metric,effect_value,standard_error,n_total,n_treatment,n_control,effect_orientation,dose_value,dose_unit,dose_naturalness,reward_context,consumer_taxon,consumer_specialization,alternative_resource_context,pollinator_service_context,antagonist_pressure_context,is_direct_AxD,is_same_system_multi_route,is_primary_effect,source_verification_state,source_basis,source_locator,coder_id,coding_date,notes
MP001,Galen_et_al_2011_Polemonium,Galen_2011_Polemonium,10.1086/657993,2011,Polemonium viscosum,2,scent,chemical_defence,floral_antagonist,D_to_antagonism,ant_damage_and_avoidance,field_observational_plus_manipulation,,,,,,,higher_2PE__lower_ant_damage_and_ant_use,,,natural_emission_spans_two_orders_of_magnitude,,Formica neorufibarbis,floral_larcenist,,,,false,true,true,primary_fulltext_verified,primary_article,"American Naturalist Results; abstract and field/lab assays",assistant_source_audit,2026-08-11,"2PE is a floral volatile with defensive function; field high emitters escape ant damage and ants avoid high-2PE emitters. Role overlap does not make this a direct A x D study."
MP002,Galen_et_al_2011_Polemonium,Galen_2011_Polemonium,10.1086/657993,2011,Polemonium viscosum,2,scent,chemical_defence,pollinator,D_to_pollination,visitation_and_pollination,field_manipulation,,,,,,,higher_2PE_at_high_level__lower_bumblebee_visitation_and_pollination,high,relative_emission,high_within_experimental_gradient,,Bombus balteatus,pollinator,,,,false,true,true,primary_fulltext_verified,primary_article,"American Naturalist abstract; Results/Fig. 6",assistant_source_audit,2026-08-11,"High 2PE creates a pollination cost while defending against larcenists."
MP003,Galen_et_al_2011_Polemonium,Galen_2011_Polemonium,10.1086/657993,2011,Polemonium viscosum,2,scent,chemical_defence,pollinator,D_to_pollination,pollination,field_manipulation,,,,,,,moderate_2PE__no_detected_pollination_cost,moderate,relative_emission,moderate_experimental_level,,Bombus balteatus,pollinator,,,,false,true,false,primary_fulltext_verified,primary_article,"American Naturalist abstract; Results/Fig. 6",assistant_source_audit,2026-08-11,"Same study supplies an explicit dose-dependent sign/state switch: moderate 2PE increases nectar standing crop without detected pollination cost."
MP004,Adler_Irwin_2005_Gelsemium,Adler_Irwin_2005_Gelsemium,10.1890/05-0118,2005,Gelsemium sempervirens,2,,chemical_defence,pollinator,D_to_pollination,visitation_rate,field_manipulation,log_response_ratio,-0.156654,0.213071,75,38,37,higher_gelsemine__lower_pollinator_visitation,,,natural_range_2004,,pollinator_community,legitimate_pollinators,,,,false,true,true,primary_fulltext_and_data_reconstructed,"primary article plus source-audited reconstruction on PR #125","2004 natural-range high vs low gelsemine visitation: 1.71±0.25 SE n=38 vs 2.00±0.31 SE n=37",assistant_source_audit,2026-08-11,"lnRR and SE recomputed from reported means and SEs. This is one quantitative route row inside a same-system D-to-P/D-to-H study."
MP005,Adler_Irwin_2005_Gelsemium,Adler_Irwin_2005_Gelsemium,10.1890/05-0118,2005,Gelsemium sempervirens,2,,chemical_defence,floral_antagonist,D_to_antagonism,nectar_robber_use,field_manipulation,,,,,,,higher_gelsemine__lower_robber_probing_and_time,,,study_manipulation,,nectar_robbers,floral_larcenists,,,,false,true,true,primary_fulltext_and_prior_source_audit,"primary article plus PR #125 source audit","Ecology abstract/full article; same experiment",assistant_source_audit,2026-08-11,"The abstract reports nectar robbers probing fewer flowers and spending less time on high-gelsemine plants; numerical effect extraction remains queued separately."
MP006,Jones_Agrawal_2016_Asclepias,Jones_Agrawal_2016_Asclepias,10.1002/ecy.1483,2016,Asclepias spp.,2,,chemical_defence,pollinator,D_to_pollination,foraging_preference,colony_foraging_manipulation,,,,,,,higher_cardenolide__lower_colony_use_after_extended_foraging,,,highest_reported_natural_range,,Bombus impatiens,generalist_pollinator,,,,false,true,true,primary_fulltext_verified,primary_article,"Ecology abstract/full text; colony-foraging experiment",assistant_source_audit,2026-08-11,"Individual single bouts showed no avoidance at the highest natural concentration, but colony-level deterrence emerged after several days; time scale is a required moderator."
MP007,Jones_Agrawal_2016_Asclepias,Jones_Agrawal_2016_Asclepias,10.1002/ecy.1483,2016,Asclepias spp.,2,,chemical_defence,floral_antagonist,D_to_antagonism,oviposition,paired_plant_manipulation,,,,,,,cardenolide_laced_flowers__lower_monarch_oviposition,,,highest_reported_natural_range,,Danaus plexippus,specialist_antagonist,,,,false,true,true,primary_fulltext_verified,primary_article,"Ecology abstract/full text; oviposition result",assistant_source_audit,2026-08-11,"Adult monarchs are ineffective pollinators and larval herbivores; flower-associated cardenolide treatment reduced egg laying."
MP008,Jones_Agrawal_2016_Asclepias,Jones_Agrawal_2016_Asclepias,10.1002/ecy.1483,2016,Asclepias spp.,2,,chemical_defence,floral_antagonist,D_to_antagonism,flower_foraging,choice_assay,,,,,,,cardenolide__no_detected_deterrence_of_monarch_flower_foraging,,,highest_reported_natural_range,,Danaus plexippus,specialist_antagonist,,,,false,true,false,primary_fulltext_verified,primary_article,"Ecology abstract/full text; flower-foraging result",assistant_source_audit,2026-08-11,"Within one consumer the outcome construct changes the apparent effect: flower foraging not deterred, oviposition reduced."
MP009,Kessler_Baldwin_2007_Nicotiana,Kessler_Baldwin_2007_Nicotiana,10.1111/j.1365-313X.2006.02995.x,2007,Nicotiana attenuata,2,,chemical_defence,pollinator,D_to_pollination,residence_time_and_nectar_removed,choice_assay,,,,,,,nectar_repellents__lower_nectaring_time_and_volume_removed,,,standardized_bioassay_concentration,,Manduca sexta_and_hummingbirds,pollinator_guilds,,,,false,true,true,primary_fulltext_verified,primary_article,"Plant Journal Summary; Influence of nectar VOCs on pollinators",assistant_source_audit,2026-08-11,"Pollinator response is negative for residence/consumption, showing interference on use intensity."
MP010,Kessler_Baldwin_2007_Nicotiana,Kessler_Baldwin_2007_Nicotiana,10.1111/j.1365-313X.2006.02995.x,2007,Nicotiana attenuata,2,,chemical_defence,pollinator,D_to_pollination,visit_number,choice_assay,,,,,,,nectar_repellents__higher_visit_number,,,standardized_bioassay_concentration,,Manduca sexta_and_hummingbirds,pollinator_guilds,,,,false,true,false,primary_fulltext_verified,primary_article,"Plant Journal Summary and visitor bioassays",assistant_source_audit,2026-08-11,"Opposite sign to residence time/nectar removal within the same study; outcome mixing would erase the mechanism."
MP011,Kessler_Baldwin_2007_Nicotiana,Kessler_Baldwin_2007_Nicotiana,10.1111/j.1365-313X.2006.02995.x,2007,Nicotiana attenuata,2,,chemical_defence,floral_antagonist,D_to_antagonism,nectar_thief_visitation,choice_assay,,,,,,,nectar_repellents__lower_ant_visitation,,,standardized_bioassay_concentration,,Solenopsis_xyloni,nectar_thief,,,,false,true,true,primary_fulltext_verified,primary_article,"Plant Journal Summary; visitor bioassays",assistant_source_audit,2026-08-11,"Same floral chemical/filter module reduces nectar-thief use while producing outcome-dependent pollinator effects."
MP012,Irwin_Adler_Brody_2004_Ipomopsis,Irwin_Adler_Brody_2004_Ipomopsis,10.1890/03-0390,2004,Ipomopsis aggregata,2,reward,nectar_access_resistance,floral_antagonist,D_to_antagonism,nectar_robbing,field_empirical_case_study,,,,,,,more_dilute_nectar__lower_bumblebee_robbing,,,natural_trait_variation,,Bombus occidentalis,nectar_robber,,,,false,true,true,repository_fulltext_verified,primary_article,"Virginia Tech repository article record/full file; empirical Ipomopsis case",assistant_source_audit,2026-08-11,"Operational D role is established by reduced nectar robbing. Nectar concentration is also a reward trait, so role overlap is recorded explicitly."
MP013,Irwin_Adler_Brody_2004_Ipomopsis,Irwin_Adler_Brody_2004_Ipomopsis,10.1890/03-0390,2004,Ipomopsis aggregata,2,reward,nectar_access_resistance,pollinator,D_to_pollination,pollinator_use,field_empirical_case_study,,,,,,,more_dilute_nectar__no_detected_deterrence_of_hummingbird_pollinators,,,natural_trait_variation,,hummingbird_pollinators,legitimate_pollinators,,,,false,true,true,repository_fulltext_verified,primary_article,"Virginia Tech repository article record/full file; empirical Ipomopsis case",assistant_source_audit,2026-08-11,"A same-system counterexample to universal D-to-pollinator cost: robber resistance occurs without detected hummingbird deterrence."
MP014,Gronquist_et_al_2001_Hypericum,Gronquist_2001_Hypericum,10.1073/pnas.231471698,2001,Hypericum calycinum,4,visual_UV_pattern,chemical_defence,floral_antagonist,D_to_antagonism,caterpillar_feeding_and_performance,feeding_assay,,,,,,,hypercalin_A__deterrent_and_toxic_to_caterpillar,,,,,,Utetheisa ornatrix,herbivore,,,,false,false,true,primary_fulltext_verified,primary_article,"PNAS/PMC full text; hypercalin A feeding tests",assistant_source_audit,2026-08-11,"The same DIP chemistry also contributes to a UV floral pattern, but pollinator response to that chemistry is not experimentally estimated in this paper; therefore it remains Tier 4 rather than Tier 2."
